Instrument,800N8573
Date,2023/02/23
Time,12:49:54
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),41.74s
Detector Temperature,-27.0°C
Ambient Temperature,51.44°C')
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,-0.18677371740341187,-0.22468970715999603,0.10360568016767502
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
2917.364057123661,75,52,828
2937.3472819924355,80,63,970
2957.33050686121,76,62,979
2977.3137317299843,84,61,922
2997.2969565987587,68,52,688
3017.280181467533,45,32,521
3037.2634063363075,55,38,338
3057.246631205082,35,46,216
3077.2298560738564,29,47,159
3097.2130809426308,42,35,152
3117.196305811405,38,45,188
3137.1795306801796,43,53,183
3157.162755548954,35,54,183
3177.1459804177284,57,56,252
3197.129205286503,59,54,255
3217.1124301552773,96,58,265
3237.0956550240517,131,80,335
3257.078879892826,190,108,373
3277.0621047616005,197,133,449
3297.045329630375,210,122,471
3317.0285544991493,187,103,446
3337.0117793679237,154,81,435
3356.995004236698,101,74,396
3376.9782291054726,76,84,370
3396.961453974247,55,54,331
3416.9446788430214,58,51,360
3436.927903711796,84,60,357
3456.91112858057,101,76,368
3476.8943534493446,131,73,445
3496.877578318119,148,92,453
3516.8608031868935,136,97,483
3536.844028055668,118,77,445
3556.8272529244423,109,68,495
3576.8104777932167,140,64,529
3596.793702661991,157,67,571
3616.7769275307655,220,98,718
3636.76015239954,238,122,853
3656.7433772683144,306,99,913
3676.726602137089,287,124,912
3696.709827005863,255,102,874
3716.6930518746376,190,90,769
3736.676276743412,143,84,644
3756.6595016121864,72,66,574
3776.642726480961,46,50,501
3796.6259513497353,43,43,466
3816.6091762185097,52,45,481
3836.592401087284,42,41,452
3856.5756259560585,39,39,466
3876.558850824833,41,44,458
3896.5420756936073,45,41,433
3916.5253005623817,34,45,435
3936.508525431156,43,35,445
3956.4917502999306,43,39,448
3976.474975168705,52,47,444
3996.4582000374794,37,36,421
4016.441424906254,42,48,388
4036.4246497750282,35,45,392
4056.4078746438026,43,44,389
4076.391099512577,56,49,407
4096.3743243813515,67,49,381
4116.357549250126,57,36,382
4136.3407741189,52,57,408
4156.323998987675,77,48,393
4176.307223856449,76,58,398
4196.2904487252235,70,43,376
4216.273673593998,75,46,355
4236.256898462772,68,38,361
4256.240123331547,67,34,330
4276.223348200321,41,32,274
4296.206573069096,42,45,273
4316.18979793787,51,35,243
4336.173022806644,43,44,240
4356.156247675419,48,44,231
4376.139472544193,38,54,215
4396.122697412968,46,38,215
4416.105922281742,45,48,252
4436.0891471505165,49,36,237
4456.072372019291,54,48,247
4476.055596888065,69,39,260
4496.03882175684,70,44,230
4516.022046625614,70,46,305
4536.005271494389,106,55,289
4555.988496363163,122,44,363
4575.971721231937,176,85,328
4595.954946100712,265,95,465
4615.938170969486,318,109,530
4635.921395838261,397,114,613
4655.904620707035,380,128,593
4675.8878455758095,365,104,589
4695.871070444584,300,103,496
4715.854295313358,222,87,422
4735.837520182133,168,66,343
4755.820745050907,104,45,258
4775.803969919682,71,52,235
4795.787194788456,55,46,234
4815.77041965723,59,47,201
4835.753644526005,60,38,222
4855.736869394779,55,40,226
4875.720094263554,66,43,256
4895.703319132328,94,44,296
4915.686544001102,103,54,306
4935.669768869877,121,54,339
4955.652993738651,137,60,346
4975.636218607426,98,36,337
4995.6194434762,94,46,326
5015.6026683449745,99,49,316
5035.585893213749,90,59,314
5055.569118082523,85,49,275
5075.552342951298,88,36,328
5095.535567820072,102,58,312
5115.518792688847,94,49,327
5135.502017557621,123,48,336
5155.485242426395,130,51,360
5175.46846729517,157,72,430
5195.451692163944,211,69,552
5215.434917032719,275,96,690
5235.418141901493,469,141,1017
5255.4013667702675,895,252,1733
5275.384591639042,1887,496,3576
