Instrument,800N10235
Date,2023/02/27
Time,14:41:36
Assay #,0011
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),82.98s
Temperature (Detector),-27.0 C
Temperature (Ambient),45.72 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.7uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 15.55uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 9.0uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.2752,0.2722
13,Al2O3,12.3404,0.1733
14,SiO2,37.4213,0.1939
15,P,0.0048,0.0057
16,S,0.0,0.0052
17,Cl,0.0122,0.0038
19,K2O,0.2577,0.0058
20,Ca,0.1663,0.0038
22,Ti,0.9726,0.0047
23,V,0.0229,0.0062
24,Cr,0.0784,0.0048
25,Mn,0.05,0.0025
26,Fe,18.3814,0.0259
27,Co,0.0476,0.0046
28,Ni,0.0477,0.0016
29,Cu,0.0768,0.0016
30,Zn,0.0033,0.0004
31,Ga,0.0017,0.0004
33,As,0.0018,0.0005
34,Se,0.0003,0.0001
37,Rb,0.0028,0.0003
38,Sr,0.0024,0.0003
39,Y,0.001,0.0002
40,Zr,0.014,0.0003
41,Nb,0.0009,0.0002
42,Mo,0.0044,0.0009
45,Rh,0.0,0.0004
46,Pd,0.0,0.0005
47,Ag,0.0,0.0006
48,Cd,0.0,0.0004
49,In,0.0096,0.0001
50,Sn,0.0,0.0015
51,Sb,0.0,0.0015
52,Te,0.0005,0.0001
56,Ba,0.0368,0.0048
57,La,0.0024,0.0068
58,Ce,0.0,0.0085
72,Hf,0.0001,0.0002
73,Ta,0.0,0.0031
74,W,0.0014,0.0015
79,Au,0.0,0.0004
80,Hg,0.0,0.0006
81,Tl,0.0,0.0007
82,Pb,0.0032,0.0007
83,Bi,0.0,0.0008
90,Th,0.0003,0.0005
92,U,0.0007,0.0004
 
 
SPECTRA:
eV Channel Start,0.024471789598464966,0.2851230502128601,-0.11229690164327621
eV per Channel,20.025529861450195,20.025529861450195,20.025529861450195
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.024471789598464966,0,0,0
20.05000165104866,0,0,0
40.075531512498856,0,0,0
60.10106137394905,0,0,0
80.12659123539925,0,0,0
100.15212109684944,0,0,0
120.17765095829964,0,0,0
140.20318081974983,0,0,0
160.22871068120003,0,0,0
180.25424054265022,0,0,0
200.27977040410042,0,0,0
220.3053002655506,0,0,0
240.3308301270008,0,0,0
260.356359988451,0,0,0
280.3818898499012,1,0,0
300.4074197113514,1,0,2
320.4329495728016,57,80,45
340.4584794342518,496,637,484
360.484009295702,2397,2594,2298
380.5095391571522,5175,5116,4966
400.53506901860237,5188,5153,5015
420.56059888005257,2370,2485,2346
440.58612874150276,506,598,473
460.61165860295296,51,101,76
480.63718846440315,3,4,3
500.66271832585335,0,0,1
520.6882481873035,0,2,0
540.7137780487537,0,0,0
560.7393079102039,0,1,0
580.7648377716541,56,114,17
600.7903676331043,44,120,20
620.8158974945545,39,135,19
640.8414273560047,29,128,19
660.8669572174549,42,121,14
680.8924870789051,37,111,17
700.9180169403553,39,113,17
720.9435468018055,47,134,18
740.9690766632557,41,107,13
760.9946065247059,41,129,18
781.0201363861561,30,110,14
801.0456662476063,34,124,14
821.0711961090565,46,130,22
841.0967259705067,46,131,20
861.1222558319569,40,132,26
881.1477856934071,41,121,27
901.1733155548573,36,110,34
921.1988454163074,41,131,58
941.2243752777576,36,128,64
961.2499051392078,39,104,60
981.275435000658,39,119,51
1001.3009648621082,47,116,29
1021.3264947235584,27,127,16
1041.3520245850086,39,116,33
1061.3775544464588,29,119,34
1081.403084307909,36,116,29
1101.4286141693592,37,111,39
1121.4541440308094,26,99,35
1141.4796738922596,40,116,36
1161.5052037537098,35,123,33
1181.53073361516,34,124,31
1201.5562634766102,33,109,41
1221.5817933380604,31,100,52
1241.6073231995106,32,113,55
1261.6328530609608,32,118,45
1281.658382922411,39,105,34
1301.6839127838612,23,96,35
1321.7094426453114,29,97,33
1341.7349725067616,24,107,27
1361.7605023682117,18,105,34
1381.786032229662,34,116,61
1401.8115620911121,29,122,127
1421.8370919525623,37,95,354
1441.8626218140125,52,106,791
1461.8881516754627,61,100,1343
1481.913681536913,64,134,1472
1501.939211398363,48,115,1281
1521.9647412598133,48,114,779
1541.9902711212635,40,97,374
1562.0158009827137,35,97,196
1582.041330844164,28,96,112
1602.066860705614,30,94,103
1622.0923905670643,39,112,143
1642.1179204285145,38,88,390
1662.1434502899647,29,82,1346
1682.1689801514149,65,94,3545
1702.194510012865,99,123,6918
1722.2200398743153,124,121,9800
1742.2455697357655,129,114,10493
1762.2710995972157,96,135,8045
1782.2966294586658,69,119,4500
1802.322159320116,58,96,2197
1822.3476891815662,46,85,1007
1842.3732190430164,32,108,623
1862.3987489044666,27,120,333
1882.4242787659168,42,95,204
1902.449808627367,29,96,123
1922.4753384888172,22,123,72
1942.5008683502674,28,123,54
1962.5263982117176,27,106,49
1982.5519280731678,24,122,64
2002.577457934618,23,95,63
2022.6029877960682,28,120,92
2042.6285176575184,29,119,58
2062.6540475189686,27,98,51
2082.679577380419,34,100,60
2102.705107241869,29,80,40
2122.730637103319,26,80,48
2142.7561669647694,22,84,54
2162.7816968262196,27,111,58
2182.8072266876698,29,95,59
2202.83275654912,28,82,62
2222.85828641057,19,96,67
2242.8838162720203,18,94,110
2262.9093461334705,25,102,154
2282.9348759949207,24,93,215
2302.960405856371,18,92,251
2322.985935717821,27,96,262
2343.0114655792713,24,82,208
2363.0369954407215,24,98,180
2383.0625253021717,23,97,171
2403.088055163622,30,84,150
2423.113585025072,19,103,163
2443.1391148865223,24,88,156
2463.1646447479725,17,86,152
2483.1901746094227,21,76,141
2503.215704470873,17,99,134
2523.241234332323,24,69,154
2543.2667641937733,13,96,134
2563.2922940552235,21,100,214
2583.3178239166737,15,90,312
2603.343353778124,19,84,486
2623.368883639574,27,84,857
2643.3944135010242,21,109,1418
2663.4199433624744,30,100,2168
2683.4454732239246,28,95,2755
2703.471003085375,22,104,2791
2723.496532946825,21,93,2417
2743.522062808275,23,84,1772
2763.5475926697254,28,85,1389
2783.5731225311756,36,92,1233
2803.598652392626,25,94,1427
2823.624182254076,16,95,1626
2843.649712115526,17,82,1688
2863.6752419769764,16,86,1552
2883.7007718384266,18,97,1398
2903.726301699877,28,85,1358
2923.751831561327,40,85,1460
2943.777361422777,47,80,1419
2963.8028912842274,56,103,1567
2983.8284211456776,44,85,1356
3003.8539510071278,25,87,1036
3023.879480868578,27,65,715
3043.905010730028,20,92,487
3063.9305405914783,21,90,317
3083.9560704529285,23,80,277
3103.9816003143787,16,71,256
3124.007130175829,29,69,264
3144.032660037279,28,82,288
3164.0581898987293,25,83,332
3184.0837197601795,38,97,331
3204.1092496216297,38,102,366
3224.13477948308,66,122,357
3244.16030934453,80,139,497
3264.1858392059803,100,145,633
3284.2113690674305,135,171,920
3304.2368989288807,168,180,1027
3324.262428790331,123,157,983
3344.287958651781,91,135,805
3364.3134885132313,60,120,611
3384.3390183746815,33,83,379
3404.3645482361317,27,90,256
3424.390078097582,32,89,227
3444.415607959032,51,81,199
3464.4411378204823,57,110,219
3484.4666676819324,65,101,235
3504.4921975433826,74,106,273
3524.517727404833,72,110,257
3544.543257266283,57,112,244
3564.5687871277332,46,94,293
3584.5943169891834,43,93,320
3604.6198468506336,44,89,398
3624.645376712084,35,72,481
3644.670906573534,63,85,581
3664.696436434984,71,106,765
3684.7219662964344,100,106,858
3704.7474961578846,85,87,797
3724.773026019335,78,96,731
3744.798555880785,47,98,548
3764.824085742235,40,62,346
3784.8496156036854,19,64,262
3804.8751454651356,19,78,187
3824.9006753265858,16,69,164
3844.926205188036,15,67,150
3864.951735049486,28,62,159
3884.9772649109364,18,73,164
3905.0027947723866,26,67,171
3925.0283246338367,25,61,187
3945.053854495287,19,62,241
3965.079384356737,21,65,227
3985.1049142181873,23,55,255
4005.1304440796375,23,52,294
4025.1559739410877,28,61,312
4045.181503802538,22,66,289
4065.207033663988,15,63,278
4085.2325635254383,16,54,273
4105.2580933868885,28,53,249
4125.283623248339,23,69,273
4145.309153109789,22,55,245
4165.334682971239,18,59,235
4185.360212832689,14,53,235
4205.3857426941395,25,51,239
4225.41127255559,12,60,230
4245.43680241704,12,61,215
4265.46233227849,22,52,247
4285.48786213994,11,41,278
4305.5133920013905,21,52,262
4325.538921862841,25,45,256
4345.564451724291,29,53,297
4365.589981585741,36,65,394
4385.615511447191,52,65,576
4405.641041308641,129,94,995
4425.666571170092,225,124,1855
4445.692101031542,393,185,3138
4465.717630892992,621,234,4638
4485.743160754442,803,263,6047
4505.768690615892,897,362,6906
4525.794220477343,858,309,6396
4545.819750338793,737,296,5442
4565.845280200243,501,214,3832
4585.870810061693,379,186,2538
4605.896339923143,343,163,1789
4625.921869784594,290,161,1198
4645.947399646044,303,184,1026
4665.972929507494,322,129,858
4685.998459368944,254,150,754
4706.023989230394,199,98,668
4726.049519091845,123,81,585
4746.075048953295,89,70,494
4766.100578814745,50,57,446
4786.126108676195,36,57,432
4806.151638537645,53,64,452
4826.1771683990955,65,67,557
4846.202698260546,66,62,691
4866.228228121996,106,74,921
4886.253757983446,149,77,1144
4906.279287844896,184,86,1367
4926.3048177063465,200,98,1586
4946.330347567797,226,89,1539
4966.355877429247,167,106,1376
4986.381407290697,140,81,1100
5006.406937152147,99,60,881
5026.4324670135975,65,58,664
5046.457996875048,50,58,519
5066.483526736498,40,50,430
5086.509056597948,22,43,399
5106.534586459398,23,40,408
5126.5601163208485,39,45,401
5146.585646182299,35,41,434
5166.611176043749,38,47,407
5186.636705905199,39,40,402
5206.662235766649,48,42,446
5226.687765628099,50,45,415
5246.71329548955,58,48,472
5266.738825351,65,60,487
5286.76435521245,91,53,546
5306.7898850739,108,52,623
5326.81541493535,121,80,736
5346.840944796801,142,75,916
5366.866474658251,172,91,1087
5386.892004519701,218,92,1301
5406.917534381151,197,108,1420
5426.943064242601,218,121,1376
5446.968594104052,184,95,1241
5466.994123965502,147,82,976
5487.019653826952,87,74,806
5507.045183688402,80,64,653
5527.070713549852,49,40,529
5547.096243411303,37,44,504
5567.121773272753,40,35,460
5587.147303134203,24,37,405
5607.172832995653,44,39,388
5627.198362857103,38,30,403
5647.2238927185535,40,32,402
5667.249422580004,50,22,441
5687.274952441454,23,24,397
5707.300482302904,23,27,423
5727.326012164354,29,29,432
5747.3515420258045,38,33,416
5767.377071887255,31,28,411
5787.402601748705,41,43,459
5807.428131610155,56,45,466
5827.453661471605,84,46,584
5847.4791913330555,91,66,671
5867.504721194506,137,79,783
5887.530251055956,142,64,850
5907.555780917406,154,65,849
5927.581310778856,147,69,817
5947.6068406403065,153,62,785
5967.632370501757,127,65,708
5987.657900363207,124,46,659
6007.683430224657,101,54,576
6027.708960086107,89,46,534
6047.734489947557,81,49,564
6067.760019809008,95,41,569
6087.785549670458,117,46,595
6107.811079531908,122,60,620
6127.836609393358,138,58,667
6147.862139254808,184,82,720
6167.887669116259,204,99,813
6187.913198977709,339,102,926
6207.938728839159,501,196,1386
6227.964258700609,1034,402,2476
6247.989788562059,2390,817,4813
6268.01531842351,5141,1707,10184
6288.04084828496,10162,3533,20566
6308.06637814641,18631,6287,37576
6328.09190800786,30401,10341,61936
6348.11743786931,44745,15428,90683
6368.142967730761,57851,19847,118074
6388.168497592211,67145,22928,136337
6408.194027453661,67789,23677,140163
6428.219557315111,60726,21251,126172
6448.245087176561,48522,17165,101076
6468.270617038012,34464,12275,71791
6488.296146899462,21779,7550,45611
6508.321676760912,12085,4377,25524
6528.347206622362,6085,2206,13108
6548.372736483812,2804,1104,6179
6568.3982663452625,1258,443,2804
6588.423796206713,556,197,1515
6608.449326068163,320,111,892
6628.474855929613,190,90,694
6648.500385791063,168,68,597
6668.5259156525135,129,71,564
6688.551445513964,146,68,578
6708.576975375414,151,60,523
6728.602505236864,154,58,602
6748.628035098314,130,71,543
6768.6535649597645,168,54,614
6788.679094821215,177,73,640
6808.704624682665,198,97,653
6828.730154544115,257,73,781
6848.755684405565,299,121,801
6868.7812142670155,441,167,1053
6888.806744128466,587,206,1311
6908.832273989916,951,334,1907
