Instrument,800N4143
Date,2023/05/16
Time,12:14:19
Assay #,0002
Application,GeoExploration
Method,Auto
Assay Duration (set),60s
Assay Duration (total actual),103.36s
Temperature (Detector),-27.0 C
Temperature (Ambient),41.94 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 21.9uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 25.9uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 17.75uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.653,0.2671
13,Al2O3,0.9632,0.0719
14,SiO2,0.9728,0.0391
15,P,0.0607,0.0077
16,S,0.0,0.0086
17,Cl,0.0,0.0074
19,K2O,0.0454,0.0034
20,Ca,0.0,0.0056
22,Ti,0.0002,0.0013
23,V,0.0131,0.0025
24,Cr,19.7387,0.0462
25,Mn,0.9138,0.0146
26,Fe,49.1785,0.0534
27,Co,0.0402,0.0049
28,Ni,4.1144,0.0173
29,Cu,0.2073,0.0025
30,Zn,0.0196,0.0007
31,Ga,0.0004,0.0008
33,As,0.0,0.0016
34,Se,0.0002,0.0002
37,Rb,0.0018,0.0005
38,Sr,0.0004,0.0004
39,Y,0.0002,0.0003
40,Zr,0.0,0.0001
41,Nb,0.0022,0.0003
42,Mo,2.671,0.0073
45,Rh,0.0,0.0004
47,Ag,0.0,0.0
48,Cd,0.0,0.0
50,Sn,0.0061,0.0019
51,Sb,0.0,0.0015
56,Ba,0.0055,0.0062
57,La,0.0,0.0139
58,Ce,0.0,0.0165
72,Hf,0.0039,0.0003
73,Ta,0.0,0.0048
74,W,0.258,0.0024
78,Pt,0.0,0.0014
79,Au,0.0,0.0003
80,Hg,0.0,0.0007
81,Tl,0.0015,0.0022
82,Pb,0.0084,0.0017
83,Bi,0.0,0.0024
90,Th,0.0,0.0007
92,U,0.0007,0.0004
 
 
SPECTRA:
eV Channel Start,-0.10811235755681992,0.01418134942650795,0.23674312233924866
eV per Channel,19.953594207763672,19.953594207763672,19.953594207763672
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.10811235755681992,0,0,0
19.845481850206852,0,0,0
39.799076057970524,0,0,0
59.752670265734196,0,0,0
79.70626447349787,0,0,0
99.65985868126154,0,0,0
119.61345288902521,0,0,0
139.56704709678888,0,0,0
159.52064130455256,0,0,0
179.47423551231623,0,0,0
199.4278297200799,0,0,0
219.38142392784357,0,0,0
239.33501813560724,0,0,0
259.2886123433709,0,0,0
279.2422065511346,0,0,0
299.19580075889826,8,14,11
319.14939496666193,131,146,134
339.1029891744256,878,965,784
359.0565833821893,3575,3876,3247
379.01017758995295,6969,7608,6569
398.9637717977166,7128,7467,6265
418.9173660054803,3521,3829,3179
438.87096021324396,945,1043,809
458.82455442100763,145,148,115
478.7781486287713,11,19,13
498.731742836535,3,0,3
518.6853370442986,0,0,1
538.6389312520623,0,0,0
558.592525459826,0,1,0
578.5461196675897,67,160,52
598.4997138753533,59,160,49
618.453308083117,78,181,58
638.4069022908807,70,181,55
658.3604964986444,57,151,58
678.314090706408,66,182,48
698.2676849141717,57,156,51
718.2212791219354,68,172,34
738.174873329699,70,164,32
758.1284675374627,66,176,41
778.0820617452264,76,178,34
798.03565595299,78,176,38
817.9892501607537,71,176,39
837.9428443685174,52,179,51
857.8964385762811,80,168,58
877.8500327840447,80,152,43
897.8036269918084,69,151,42
917.7572211995721,80,129,63
937.7108154073358,82,150,68
957.6644096150994,71,165,63
977.6180038228631,61,165,41
997.5715980306268,72,169,38
1017.5251922383904,74,156,52
1037.4787864461541,60,170,32
1057.4323806539178,60,161,39
1077.3859748616815,69,160,45
1097.3395690694451,66,154,42
1117.2931632772088,64,145,46
1137.2467574849725,78,149,41
1157.2003516927361,62,144,47
1177.1539459004998,53,141,58
1197.1075401082635,57,141,69
1217.0611343160272,55,144,69
1237.0147285237908,49,136,47
1256.9683227315545,52,131,50
1276.9219169393182,48,140,36
1296.8755111470819,49,127,39
1316.8291053548455,56,138,28
1336.7826995626092,45,140,42
1356.7362937703729,45,135,32
1376.6898879781365,42,125,30
1396.6434821859002,45,124,48
1416.5970763936639,66,130,64
1436.5506706014276,59,140,118
1456.5042648091912,86,169,152
1476.457859016955,94,149,151
1496.4114532247186,95,137,157
1516.3650474324822,74,140,100
1536.318641640246,63,132,87
1556.2722358480096,61,117,73
1576.2258300557733,50,119,45
1596.179424263537,39,121,47
1616.1330184713006,40,102,45
1636.0866126790643,47,115,70
1656.040206886828,45,114,82
1675.9938010945916,44,123,142
1695.9473953023553,60,145,241
1715.900989510119,52,117,375
1735.8545837178826,56,124,408
1755.8081779256463,60,126,351
1775.76177213341,50,127,276
1795.7153663411736,58,120,198
1815.6689605489373,41,123,105
1835.622554756701,55,128,81
1855.5761489644647,40,113,98
1875.5297431722283,44,102,76
1895.483337379992,51,98,96
1915.4369315877557,45,121,99
1935.3905257955194,51,119,110
1955.344120003283,56,120,147
1975.2977142110467,33,115,157
1995.2513084188104,45,107,210
2015.204902626574,51,115,222
2035.1584968343377,48,114,188
2055.1120910421014,56,116,163
2075.065685249865,56,115,153
2095.0192794576287,43,115,159
2114.9728736653924,61,115,150
2134.926467873156,58,98,172
2154.8800620809197,45,131,168
2174.8336562886834,50,106,213
2194.787250496447,55,121,386
2214.7408447042108,72,128,759
2234.6944389119744,88,133,1435
2254.648033119738,116,162,2512
2274.601627327502,173,175,3436
2294.5552215352654,198,188,3590
2314.508815743029,150,194,3247
2334.462409950793,133,180,2611
2354.4160041585565,117,147,2353
2374.36959836632,158,162,2146
2394.323192574084,115,186,2191
2414.2767867818475,117,157,1759
2434.230380989611,94,143,1362
2454.183975197375,86,126,942
2474.1375694051385,88,142,624
2494.091163612902,79,116,510
2514.044757820666,72,116,442
2533.9983520284295,47,120,424
2553.951946236193,58,120,416
2573.905540443957,58,121,546
2593.8591346517205,61,116,684
2613.812728859484,57,147,950
2633.766323067248,56,109,1316
2653.7199172750115,56,131,1799
2673.673511482775,47,104,2082
2693.627105690539,56,106,2258
2713.5806998983026,42,109,2084
2733.534294106066,50,116,1564
2753.48788831383,46,109,1106
2773.4414825215936,48,111,958
2793.3950767293572,56,97,931
2813.348670937121,37,111,1096
2833.3022651448846,41,106,1161
2853.2558593526483,49,98,1131
2873.209453560412,49,106,1074
2893.1630477681756,71,97,1084
2913.1166419759393,83,104,1381
2933.070236183703,84,132,1595
2953.0238303914666,94,108,1681
2972.9774245992303,83,117,1615
2992.931018806994,78,105,1283
3012.8846130147576,50,106,862
3032.8382072225213,65,99,520
3052.791801430285,46,102,333
3072.7453956380486,38,104,237
3092.6989898458123,44,119,219
3112.652584053576,36,108,239
3132.6061782613397,47,96,281
3152.5597724691033,53,99,300
3172.513366676867,51,126,347
3192.4669608846307,84,112,358
3212.4205550923944,101,145,367
3232.374149300158,130,154,468
3252.3277435079217,146,191,548
3272.2813377156854,229,227,654
3292.234931923449,229,228,648
3312.1885261312127,208,198,691
3332.1421203389764,179,167,639
3352.09571454674,117,133,534
3372.0493087545037,78,131,528
3392.0029029622674,77,118,440
3411.956497170031,81,106,489
3431.9100913777947,66,132,529
3451.8636855855584,115,141,607
3471.817279793322,141,156,684
3491.7708740010858,144,172,696
3511.7244682088494,164,150,732
3531.678062416613,153,153,791
3551.631656624377,151,165,784
3571.5852508321404,142,158,872
3591.538845039904,181,122,1052
3611.492439247668,267,173,1226
3631.4460334554315,303,198,1441
3651.399627663195,377,222,1616
3671.353221870959,354,219,1658
3691.3068160787225,339,221,1663
3711.260410286486,276,191,1425
3731.21400449425,193,139,1209
3751.1675987020135,133,127,967
3771.121192909777,65,106,896
3791.074787117541,61,88,772
3811.0283813253045,44,89,809
3830.981975533068,53,95,734
