Instrument,800N8573
Date,2023/02/23
Time,12:07:45
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),42.72s
Phase Count,3
eV Channel Start,0.2343602329492569,-0.6118354797363281,0.9316028952598572
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
""
Phases,"Phase 1(10s): 30.0kV, 40.0μA (Ti:25μm/Al:300μm)","Phase 2(10s): 50.0kV, 25.0μA (Cu:75μm/Ti:25μm/Al:200μm)","Phase 3(10s): 15.0kV, 32.5μA (No Filter)"
Energy (eV)
0.2343602329492569,0,0,0
20.21758510172367,0,0,0
40.200809970498085,0,0,0
60.1840348392725,0,0,0
80.16725970804691,0,0,0
100.15048457682133,0,0,0
120.13370944559574,0,0,0
140.11693431437016,0,0,0
160.10015918314457,0,0,0
180.08338405191898,0,0,0
200.0666089206934,0,0,0
220.0498337894678,0,0,0
240.03305865824223,0,0,0
260.01628352701664,0,0,0
279.99950839579105,0,0,0
299.98273326456547,2,3,0
319.9659581333399,36,30,28
339.9491830021143,205,266,139
359.9324078708887,754,1116,515
379.9156327396631,1393,2125,901
399.89885760843754,1404,2223,862
419.88208247721195,729,1160,442
439.86530734598637,197,310,149
459.8485322147608,16,59,21
479.8317570835352,5,5,3
499.8149819523096,2,0,4
519.798206821084,0,0,1
539.7814316898584,2,0,3
559.7646565586329,2,0,2
579.7478814274073,70,73,31
599.7311062961817,55,87,35
