Position,X,Y
F-3-08,657,105
F-3-09,657,140
F-3-10,657,175
F-3-11,657,210
F-3-12,657,245
F-3-13,692,70
F-3-14,692,105
F-3-15,692,140
F-3-16,692,175
F-3-17,692,210
F-3-18,692,245
G-1-01,402,306
G-1-02,402,341
G-1-03,402,376
G-1-04,402,411
G-1-05,402,446
G-1-06,402,481
G-1-07,437,306
G-1-08,437,341
G-1-09,437,376
G-1-10,437,411
G-1-11,437,446
G-1-12,437,481
G-1-13,472,306
G-1-14,472,341
G-1-15,472,376
G-1-16,472,411
G-1-17,472,446
G-1-18,472,481
G-2-01,512,306
G-2-02,512,341
G-2-03,512,376
G-2-04,512,411
G-2-05,512,446
G-2-06,512,481
G-2-07,547,306
G-2-08,547,341
G-2-09,547,376
G-2-10,547,411
G-2-11,547,446
G-2-12,547,481
G-2-13,582,306
G-2-14,582,341
G-2-15,582,376
G-2-16,582,411
G-2-17,582,446
G-2-18,582,481
G-3-01,622,306
G-3-02,622,341
G-3-03,622,376
G-3-04,622,411
G-3-05,622,446
G-3-06,622,481
G-3-07,657,306
G-3-08,657,341
G-3-09,657,376
G-3-10,657,411
G-3-11,657,446
G-3-12,657,481
G-3-13,692,306
G-3-14,692,341
G-3-15,692,376
G-3-16,692,411
G-3-17,692,446
G-3-18,692,481
H-1-01,402,542
H-1-02,402,577
H-1-03,402,612
H-1-04,402,647
H-1-05,402,682
H-1-06,402,717
H-1-07,437,542
H-1-08,437,577
H-1-09,437,612
H-1-10,437,647
H-1-11,437,682
H-1-12,437,717
H-1-13,472,542
H-1-14,472,577
H-1-15,472,612
H-1-16,472,647
H-1-17,472,682
H-1-18,472,717
H-2-01,512,542
H-2-02,512,577
H-2-03,512,612
H-2-04,512,647
H-2-05,512,682
H-2-06,512,717
H-2-07,547,542
H-2-08,547,577
H-2-09,547,612
H-2-10,547,647
H-2-11,547,682
H-2-12,547,717
H-2-13,582,542
H-2-14,582,577
H-2-15,582,612
H-2-16,582,647
H-2-17,582,682
H-2-18,582,717
H-3-01,622,542
H-3-02,622,577
H-3-03,622,612
H-3-04,622,647
H-3-05,622,682
H-3-06,622,717
H-3-07,657,542
H-3-08,657,577
H-3-09,657,612
H-3-10,657,647
H-3-11,657,682
H-3-12,657,717
H-3-13,692,542
H-3-14,692,577
H-3-15,692,612
H-3-16,692,647
