Instrument,800N10235
Date,2023/02/27
Time,13:51:17
Assay #,0001
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),77.83s
Temperature (Detector),-26.5 C
Temperature (Ambient),28.56 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.7uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 15.55uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 9.0uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.2217,0.3055
13,Al2O3,1.3842,0.0939
14,SiO2,1.6282,0.0468
15,P,0.0372,0.0071
16,S,0.0,0.0114
17,Cl,0.0,0.0038
19,K2O,0.0793,0.0049
20,Ca,0.0,0.0051
22,Ti,0.0062,0.0015
23,V,0.015,0.004
24,Cr,17.8039,0.0521
25,Mn,0.4619,0.0145
26,Fe,39.904,0.0543
27,Co,0.1002,0.0055
28,Ni,3.0289,0.016
29,Cu,0.1908,0.0031
30,Zn,0.0206,0.0008
31,Ga,0.0,0.001
33,As,0.0006,0.0017
34,Se,0.0,0.0002
37,Rb,0.0022,0.0005
38,Sr,0.0006,0.0004
39,Y,0.0,0.0003
40,Zr,0.0,0.0002
41,Nb,0.0021,0.0003
42,Mo,2.3112,0.0075
46,Pd,0.0016,0.0003
47,Ag,0.0,0.0002
48,Cd,0.0003,0.0002
49,In,0.0049,0.0001
50,Sn,0.0024,0.0022
51,Sb,0.0,0.0013
52,Te,0.0009,0.0001
56,Ba,0.0048,0.0069
57,La,0.0034,0.0132
58,Ce,0.0,0.0166
72,Hf,0.0052,0.0004
73,Ta,0.0,0.0042
74,W,0.2157,0.0032
78,Pt,0.0,0.0013
79,Au,0.0,0.0004
80,Hg,0.0,0.0007
81,Tl,0.0016,0.002
82,Pb,0.0107,0.002
83,Bi,0.0044,0.0022
90,Th,0.0,0.0007
92,U,0.0013,0.0006
 
 
SPECTRA:
eV Channel Start,0.20615459978580475,-0.26522767543792725,0.09644611179828644
eV per Channel,20.025529861450195,20.025529861450195,20.025529861450195
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.20615459978580475,0,0,0
20.231684461236,0,0,0
40.257214322686195,0,0,0
60.28274418413639,0,0,0
80.30827404558659,0,0,0
100.33380390703678,0,0,0
120.35933376848698,0,0,0
140.38486362993717,0,0,0
160.41039349138737,0,0,0
180.43592335283756,0,0,0
200.46145321428776,0,0,0
220.48698307573795,0,0,0
240.51251293718815,0,0,0
260.53804279863834,0,1,0
280.56357266008854,2,6,0
300.58910252153873,21,54,14
320.61463238298893,180,324,110
340.6401622444391,752,962,556
360.6656921058893,2324,2452,2135
380.6912219673395,4470,4347,4230
400.7167518287897,4437,4347,4300
420.7422816902399,2255,2516,2096
440.7678115516901,751,995,535
460.7933414131403,139,285,111
480.8188712745905,27,60,20
500.8444011360407,2,8,0
