Instrument,800N8731
Date,2023/05/11
Time,10:07:42
Assay #,0008
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),74.69s
Temperature (Detector),-27.0 C
Temperature (Ambient),42.44 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 10.8uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 15.65uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.2uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.2898,0.2882
13,Al2O3,15.8357,0.193
14,SiO2,47.0956,0.2327
15,P,0.028,0.0067
16,S,0.0103,0.0058
17,Cl,0.0,0.0042
19,K2O,0.5423,0.0065
20,Ca,0.2163,0.0042
22,Ti,0.9942,0.0048
23,V,0.042,0.0062
24,Cr,0.0766,0.0047
25,Mn,0.0597,0.0024
26,Fe,15.0863,0.0241
27,Co,0.029,0.0043
28,Ni,0.0249,0.0012
29,Cu,0.036,0.001
30,Zn,0.0035,0.0004
31,Ga,0.0016,0.0004
33,As,0.0005,0.0004
34,Se,0.0006,0.0001
37,Rb,0.0043,0.0003
38,Sr,0.0041,0.0003
39,Y,0.0014,0.0002
40,Zr,0.0188,0.0003
41,Nb,0.0014,0.0002
42,Mo,0.0103,0.001
46,Pd,0.0,0.0005
48,Cd,0.0002,0.0004
49,In,0.0016,0.0001
50,Sn,0.0,0.0015
51,Sb,0.0003,0.0015
52,Te,0.0002,0.0
56,Ba,0.024,0.004
57,La,0.0062,0.0061
58,Ce,0.0041,0.0071
72,Hf,0.0003,0.0001
73,Ta,0.0,0.0031
74,W,0.0043,0.0014
78,Pt,0.0,0.0009
79,Au,0.0,0.0005
80,Hg,0.0,0.0007
81,Tl,0.0,0.0006
82,Pb,0.0029,0.0007
83,Bi,0.0029,0.0008
90,Th,0.0004,0.0
92,U,0.0003,0.0002
 
 
SPECTRA:
eV Channel Start,-0.15634922683238983,-0.013200332410633564,0.16380755603313446
eV per Channel,19.964866638183594,19.964866638183594,19.964866638183594
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.15634922683238983,0,0,0
19.808517411351204,0,0,0
39.7733840495348,0,0,0
59.73825068771839,0,1,0
79.70311732590199,0,0,0
99.66798396408558,0,1,0
119.63285060226917,0,0,0
139.59771724045277,0,1,0
159.56258387863636,0,1,0
179.52745051681995,0,2,0
199.49231715500355,0,1,0
219.45718379318714,0,5,0
239.42205043137074,0,6,0
259.38691706955433,0,11,0
279.3517837077379,0,14,0
299.3166503459215,13,20,10
319.2815169841051,136,134,109
339.2463836222887,806,818,768
359.2112502604723,2551,2610,2581
379.1761168986559,4701,4837,4709
399.1409835368395,4826,4804,4622
419.1058501750231,2599,2657,2552
439.0707168132067,787,790,756
459.03558345139027,111,133,118
479.00045008957386,17,31,12
498.96531672775745,3,17,3
518.930183365941,0,11,0
538.8950500041246,1,4,0
558.8599166423082,0,2,0
578.8247832804918,45,137,13
598.7896499186754,41,139,18
618.754516556859,39,139,20
638.7193831950426,38,127,21
658.6842498332262,46,151,13
678.6491164714098,49,154,10
698.6139831095934,50,131,12
718.578849747777,49,138,16
738.5437163859606,51,157,23
758.5085830241442,58,129,19
778.4734496623278,40,134,16
798.4383163005114,39,148,15
818.403182938695,47,127,14
838.3680495768785,49,106,14
858.3329162150621,45,130,19
878.2977828532457,38,129,19
898.2626494914293,52,139,31
918.2275161296129,42,127,55
938.1923827677965,42,130,61
958.1572494059801,39,127,62
978.1221160441637,41,137,54
998.0869826823473,46,104,30
1018.0518493205309,41,137,28
1038.0167159587145,38,113,32
1057.981582596898,33,124,37
1077.9464492350817,46,133,37
1097.9113158732653,40,120,41
1117.8761825114489,41,120,29
1137.8410491496325,21,134,40
1157.805915787816,48,123,39
1177.7707824259996,47,108,36
1197.7356490641832,51,119,40
1217.7005157023668,41,110,65
1237.6653823405504,27,116,41
1257.630248978734,37,136,40
1277.5951156169176,29,125,37
1297.5599822551012,39,109,29
1317.5248488932848,48,97,26
1337.4897155314684,32,115,29
1357.454582169652,39,128,43
1377.4194488078356,48,104,63
1397.3843154460192,44,100,158
1417.3491820842028,39,108,376
1437.3140487223864,43,113,904
1457.27891536057,56,102,1454
1477.2437819987535,64,119,1861
1497.2086486369371,54,122,1687
1517.1735152751207,44,99,1160
1537.1383819133043,52,116,634
1557.103248551488,42,101,341
1577.0681151896715,27,106,165
1597.032981827855,29,103,133
1616.9978484660387,35,135,194
1636.9627151042223,35,95,474
1656.927581742406,30,92,1464
1676.8924483805895,74,126,3859
1696.857315018773,82,118,7160
1716.8221816569567,130,135,10933
1736.7870482951403,160,129,12088
1756.7519149333239,130,128,10377
1776.7167815715075,82,134,6701
1796.681648209691,69,117,3596
1816.6465148478746,42,117,1774
1836.6113814860582,29,127,896
1856.5762481242418,40,107,501
1876.5411147624254,34,107,324
1896.505981400609,22,112,161
1916.4708480387926,29,101,103
1936.4357146769762,28,105,79
1956.4005813151598,33,106,61
1976.3654479533434,32,96,85
1996.330314591527,38,123,100
2016.2951812297106,24,89,120
2036.2600478678942,30,111,102
2056.2249145060778,21,93,77
2076.1897811442614,25,82,76
2096.154647782445,20,98,54
2116.1195144206285,27,118,69
2136.084381058812,26,104,48
2156.0492476969957,25,98,59
2176.0141143351793,20,127,86
2195.978980973363,30,109,60
2215.9438476115465,31,97,89
2235.90871424973,39,112,103
2255.8735808879137,28,101,153
2275.8384475260973,22,131,209
2295.803314164281,26,116,265
2315.7681808024645,24,104,266
2335.733047440648,25,119,219
2355.6979140788317,27,98,206
2375.6627807170153,16,101,214
2395.627647355199,28,108,153
2415.5925139933825,19,86,138
2435.557380631566,18,91,123
2455.5222472697496,13,91,120
2475.4871139079332,18,80,136
2495.451980546117,20,94,129
2515.4168471843004,19,119,134
2535.381713822484,16,100,183
2555.3465804606676,18,81,190
2575.311447098851,16,91,281
2595.276313737035,18,102,440
2615.2411803752184,26,124,803
2635.206047013402,27,87,1303
2655.1709136515856,17,93,1945
2675.135780289769,17,114,2562
2695.1006469279528,23,99,2860
2715.0655135661364,28,102,2615
2735.03038020432,14,86,2048
2754.9952468425035,27,101,1544
2774.960113480687,22,104,1281
2794.9249801188707,20,88,1431
2814.8898467570543,21,94,1566
2834.854713395238,17,94,1611
2854.8195800334215,22,77,1616
2874.784446671605,15,85,1537
2894.7493133097887,29,88,1520
2914.7141799479723,53,103,1551
2934.679046586156,42,89,1678
2954.6439132243395,36,108,1748
2974.608779862523,47,89,1675
2994.5736465007067,44,95,1276
3014.5385131388903,28,83,945
3034.503379777074,21,94,648
3054.4682464152575,13,71,436
3074.433113053441,7,74,328
3094.3979796916246,10,73,296
3114.3628463298082,17,100,297
3134.327712967992,19,73,343
3154.2925796061754,20,77,367
3174.257446244359,26,75,378
3194.2223128825426,25,109,437
3214.187179520726,57,104,485
3234.15204615891,79,110,670
3254.1169127970934,101,164,954
3274.081779435277,147,187,1335
3294.0466460734606,156,178,1711
3314.011512711644,166,163,1762
3333.9763793498278,148,148,1585
3353.9412459880114,79,131,1227
3373.906112626195,60,109,804
3393.8709792643785,44,119,513
3413.835845902562,34,100,339
3433.8007125407457,24,90,257
3453.7655791789293,46,130,209
3473.730445817113,51,117,281
3493.6953124552965,53,136,269
3513.66017909348,63,134,273
3533.6250457316637,71,116,314
3553.5899123698473,43,100,353
3573.554779008031,49,96,450
3593.5196456462145,46,98,450
3613.484512284398,51,92,515
3633.4493789225817,65,97,707
3653.4142455607653,72,100,861
3673.379112198949,84,93,987
3693.3439788371325,78,110,1046
3713.308845475316,89,102,979
3733.2737121134996,70,89,740
3753.2385787516832,48,89,540
3773.203445389867,28,81,330
3793.1683120280504,16,67,243
3813.133178666234,14,70,188
3833.0980453044176,16,66,179
3853.062911942601,9,68,171
3873.027778580785,13,59,181
3892.9926452189684,16,66,185
3912.957511857152,12,56,192
3932.9223784953356,22,79,237
3952.887245133519,24,72,252
3972.8521117717028,15,78,288
3992.8169784098864,19,61,335
4012.78184504807,23,71,320
4032.7467116862535,26,59,316
4052.711578324437,20,67,295
4072.6764449626207,19,71,290
4092.6413116008043,14,65,262
4112.606178238988,19,67,234
4132.5710448771715,18,65,241
4152.535911515355,9,62,252
4172.500778153539,17,43,230
4192.465644791722,16,69,217
4212.430511429906,13,61,277
4232.3953780680895,13,60,223
4252.360244706273,17,58,244
4272.325111344457,12,44,275
4292.28997798264,9,64,245
4312.254844620824,12,56,285
4332.219711259007,15,50,301
4352.184577897191,18,58,355
4372.149444535375,31,53,453
4392.114311173558,77,57,746
4412.079177811742,133,93,1369
4432.044044449925,272,115,2242
4452.008911088109,419,174,3740
4471.973777726293,595,226,5091
4491.938644364476,788,267,6263
4511.90351100266,830,256,6711
4531.868377640843,768,297,6046
4551.833244279027,636,210,4858
4571.798110917211,453,165,3465
4591.762977555394,353,150,2377
4611.727844193578,250,128,1537
4631.692710831761,261,119,1125
4651.657577469945,251,99,892
4671.622444108129,214,113,848
4691.587310746312,153,89,695
4711.552177384496,118,82,604
4731.517044022679,74,63,470
4751.481910660863,59,57,463
4771.4467772990465,37,49,395
4791.41164393723,42,47,432
4811.376510575414,37,63,503
4831.341377213597,49,61,594
4851.306243851781,83,62,706
4871.2711104899645,91,63,967
4891.235977128148,138,72,1260
4911.200843766332,145,86,1445
4931.165710404515,173,88,1596
4951.130577042699,187,88,1476
4971.095443680882,155,81,1328
4991.060310319066,115,62,1021
5011.02517695725,72,63,857
5030.990043595433,57,45,586
5050.954910233617,40,49,492
5070.9197768718,26,44,411
5090.884643509984,20,38,406
5110.849510148168,18,33,416
5130.814376786351,29,33,378
5150.779243424535,22,39,405
5170.744110062718,28,53,385
5190.708976700902,30,29,391
5210.673843339086,25,54,415
5230.638709977269,35,34,454
5250.603576615453,39,42,497
5270.568443253636,49,45,473
5290.53330989182,61,41,507
5310.498176530004,68,71,636
5330.463043168187,100,47,786
5350.427909806371,139,74,923
5370.392776444554,160,80,1066
5390.357643082738,169,118,1235
5410.3225097209215,172,73,1318
5430.287376359105,191,93,1228
5450.252242997289,152,83,1127
5470.217109635472,114,73,979
5490.181976273656,80,65,723
5510.1468429118395,67,60,606
5530.111709550023,34,31,484
5550.076576188207,42,39,510
5570.04144282639,41,37,437
5590.006309464574,28,35,473
5609.971176102757,22,37,426
5629.936042740941,28,27,412
5649.900909379125,25,29,422
5669.865776017308,21,22,412
5689.830642655492,18,31,401
5709.795509293675,22,20,398
5729.760375931859,39,29,413
5749.725242570043,26,35,427
5769.690109208226,33,43,485
5789.65497584641,46,35,525
5809.619842484593,61,40,597
5829.584709122777,98,55,656
5849.549575760961,123,60,752
5869.514442399144,123,71,850
5889.479309037328,176,88,934
5909.444175675511,182,63,940
5929.409042313695,153,79,910
5949.373908951879,156,81,841
5969.338775590062,105,59,766
5989.303642228246,87,45,645
6009.268508866429,84,52,596
6029.233375504613,65,43,543
6049.1982421427965,59,35,542
6069.16310878098,83,40,523
6089.127975419164,77,57,558
6109.092842057347,90,39,601
6129.057708695531,132,63,579
6149.0225753337145,157,76,690
6168.987441971898,171,85,795
6188.952308610082,244,119,1020
6208.917175248265,474,209,1451
6228.882041886449,962,334,2546
6248.846908524632,2086,736,5036
6268.811775162816,4430,1479,10200
6288.776641801,8681,2860,19306
6308.741508439183,15524,5001,34199
6328.706375077367,24602,8092,54440
6348.67124171555,35182,11254,78372
6368.636108353734,44919,14636,99671
6388.600974991918,50933,16544,112673
6408.565841630101,51739,16788,114904
6428.530708268285,46475,14977,102984
6448.495574906468,37861,12083,83073
6468.460441544652,27032,8689,59496
6488.425308182836,17261,5638,38223
6508.390174821019,9867,3220,22059
6528.355041459203,5089,1689,11576
6548.319908097386,2411,814,5537
6568.28477473557,1049,423,2700
6588.249641373754,466,156,1345
6608.214508011937,239,97,879
6628.179374650121,144,65,651
6648.144241288304,149,71,561
6668.109107926488,103,58,539
6688.0739745646715,109,48,512
6708.038841202855,103,68,540
6728.003707841039,125,50,528
6747.968574479222,126,58,555
6767.933441117406,141,60,544
6787.8983077555895,144,57,604
6807.863174393773,153,66,632
6827.828041031957,182,93,694
6847.79290767014,238,97,773
6867.757774308324,307,130,865
6887.722640946507,415,176,1213
6907.687507584691,663,254,1765
6927.652374222875,1249,395,2759
6947.617240861058,1949,663,4320
6967.582107499242,3170,1032,6516
6987.546974137425,4596,1596,9450
7007.511840775609,6055,2015,12542
7027.476707413793,7339,2462,15236
7047.441574051976,8260,2795,16742
7067.40644069016,8169,2723,16893
7087.371307328343,7290,2482,14865
7107.336173966527,5714,1992,12127
7127.301040604711,4304,1541,8861
7147.265907242894,2888,1006,6005
7167.230773881078,1720,607,3464
7187.195640519261,950,338,2104
7207.160507157445,483,182,1102
7227.125373795629,219,81,585
7247.090240433812,113,33,321
7267.055107071996,48,22,225
7287.019973710179,29,14,236
7306.984840348363,15,15,200
7326.9497069865465,15,17,193
7346.91457362473,27,11,208
7366.879440262914,26,15,213
7386.844306901097,38,17,232
7406.809173539281,66,36,265
7426.7740401774645,67,36,303
7446.738906815648,95,41,315
7466.703773453832,101,50,344
7486.668640092015,82,56,320
7506.633506730199,75,46,307
7526.598373368382,72,32,265
7546.563240006566,53,40,260
7566.52810664475,34,22,233
7586.492973282933,32,18,211
7606.457839921117,17,16,215
7626.4227065593,11,11,186
7646.387573197484,14,13,165
7666.352439835668,4,12,182
7686.317306473851,7,9,202
7706.282173112035,5,12,201
7726.247039750218,5,11,188
7746.211906388402,4,12,185
7766.176773026586,4,9,169
7786.141639664769,8,13,156
7806.106506302953,6,9,207
7826.071372941136,6,7,183
7846.03623957932,14,9,226
7866.001106217504,13,8,222
7885.965972855687,16,17,201
7905.930839493871,25,21,234
7925.895706132054,40,31,229
7945.860572770238,57,27,278
7965.8254394084215,99,37,288
7985.790306046605,149,52,295
8005.755172684789,160,79,356
8025.720039322972,188,64,388
8045.684905961156,173,79,417
8065.6497725993395,172,73,392
8085.614639237523,137,54,379
8105.579505875707,119,62,369
8125.54437251389,101,37,367
8145.509239152074,60,32,352
8165.474105790257,38,30,313
8185.438972428441,32,19,307
8205.403839066625,21,12,273
8225.368705704808,30,11,275
8245.333572342992,24,22,243
8265.298438981175,19,11,236
8285.263305619359,28,15,218
8305.228172257543,18,8,242
8325.193038895726,21,12,207
8345.15790553391,19,12,211
8365.122772172093,10,10,195
8385.087638810277,6,11,160
8405.05250544846,11,14,171
8425.017372086644,7,13,177
8444.982238724828,6,5,195
8464.947105363011,14,12,202
8484.911972001195,9,12,218
8504.876838639379,11,15,204
8524.841705277562,17,14,191
8544.806571915746,18,17,172
8564.77143855393,19,18,218
8584.736305192113,25,18,203
8604.701171830297,31,15,201
8624.66603846848,31,27,197
8644.630905106664,34,21,195
8664.595771744847,38,23,186
8684.56063838303,32,27,200
8704.525505021214,35,17,204
8724.490371659398,28,10,182
8744.455238297582,19,20,198
8764.420104935765,19,11,205
8784.384971573949,19,14,197
8804.349838212132,17,11,209
8824.314704850316,21,17,188
8844.2795714885,27,16,212
8864.244438126683,32,16,227
8884.209304764867,39,25,207
8904.17417140305,41,23,236
8924.139038041234,29,23,208
8944.103904679418,38,14,230
8964.068771317601,23,14,218
8984.033637955785,26,12,201
9003.998504593968,18,9,164
9023.963371232152,15,10,209
9043.928237870336,11,5,200
9063.89310450852,12,9,182
9083.857971146703,16,10,238
9103.822837784886,17,9,200
9123.78770442307,15,8,224
9143.752571061254,16,6,191
9163.717437699437,19,7,208
9183.68230433762,25,7,204
9203.647170975804,28,13,217
9223.612037613988,25,16,217
9243.576904252172,26,14,170
9263.541770890355,29,13,201
9283.506637528539,22,12,209
9303.471504166722,25,7,187
9323.436370804906,16,7,188
9343.40123744309,23,10,184
9363.366104081273,14,8,211
9383.330970719457,16,8,181
9403.29583735764,15,8,156
9423.260703995824,18,6,201
9443.225570634007,14,9,184
9463.190437272191,19,8,175
9483.155303910375,12,14,173
9503.120170548558,11,7,159
9523.085037186742,15,11,210
9543.049903824925,21,13,174
9563.014770463109,21,12,200
9582.979637101293,21,19,182
9602.944503739476,20,23,181
9622.90937037766,24,19,176
9642.874237015843,21,19,198
9662.839103654027,29,16,191
9682.80397029221,23,30,182
9702.768836930394,30,32,194
9722.733703568578,28,31,201
9742.698570206761,32,21,186
9762.663436844945,29,23,181
9782.628303483129,28,22,182
9802.593170121312,18,16,157
9822.558036759496,22,11,196
9842.52290339768,20,6,175
9862.487770035863,19,10,172
9882.452636674047,25,12,176
9902.41750331223,21,10,170
9922.382369950414,13,7,157
9942.347236588597,18,12,157
9962.31210322678,23,6,172
9982.276969864964,14,11,180
10002.241836503148,18,5,162
10022.206703141332,21,1,186
10042.171569779515,15,10,187
10062.136436417699,17,4,163
10082.101303055882,29,11,164
10102.066169694066,19,10,174
10122.03103633225,19,9,183
10141.995902970433,22,5,180
10161.960769608617,19,5,135
10181.9256362468,20,6,170
10201.890502884984,22,14,158
10221.855369523168,28,9,148
10241.820236161351,19,8,156
10261.785102799535,29,13,171
10281.749969437718,25,6,147
10301.714836075902,22,10,179
10321.679702714086,26,6,168
10341.64456935227,24,9,173
10361.609435990453,19,10,144
10381.574302628636,35,17,133
10401.53916926682,24,8,164
10421.504035905004,38,9,169
10441.468902543187,30,13,162
10461.43376918137,39,10,169
10481.398635819554,37,15,157
10501.363502457738,45,14,172
10521.328369095922,64,15,145
10541.293235734105,71,21,158
10561.258102372289,69,24,181
10581.222969010472,54,14,148
10601.187835648656,32,14,159
10621.15270228684,30,9,151
10641.117568925023,49,9,160
10661.082435563207,26,14,145
10681.04730220139,38,5,153
10701.012168839574,30,2,162
10720.977035477757,46,14,130
10740.941902115941,33,5,159
10760.906768754125,28,3,144
10780.871635392308,47,9,147
10800.836502030492,31,12,196
10820.801368668675,41,8,155
10840.766235306859,31,6,194
10860.731101945043,47,7,156
10880.695968583226,42,8,180
10900.66083522141,45,13,176
10920.625701859593,40,12,213
10940.590568497777,36,10,209
10960.55543513596,38,7,210
10980.520301774144,49,6,191
11000.485168412328,37,7,166
11020.450035050511,48,8,157
11040.414901688695,40,8,139
11060.379768326879,41,8,160
11080.344634965062,41,9,142
11100.309501603246,46,11,140
11120.27436824143,54,7,137
11140.239234879613,51,8,136
11160.204101517797,54,2,134
11180.16896815598,50,15,154
11200.133834794164,54,8,134
11220.098701432347,54,7,130
11240.06356807053,56,13,129
11260.028434708714,52,12,154
11279.993301346898,57,17,144
11299.958167985082,45,16,124
11319.923034623265,46,9,132
11339.887901261449,47,21,122
11359.852767899632,63,16,150
11379.817634537816,51,13,141
11399.782501176,56,18,160
11419.747367814183,58,28,134
11439.712234452367,61,22,143
11459.67710109055,54,22,130
11479.641967728734,60,25,147
11499.606834366918,76,16,127
11519.571701005101,61,31,152
11539.536567643285,55,14,126
11559.501434281468,58,18,155
11579.466300919652,59,17,136
11599.431167557836,55,18,140
11619.39603419602,46,16,128
11639.360900834203,67,19,131
11659.325767472386,64,14,123
11679.29063411057,90,17,129
11699.255500748754,65,13,129
11719.220367386937,58,13,137
11739.18523402512,56,8,115
11759.150100663304,85,10,124
11779.114967301488,69,21,116
11799.079833939672,71,7,108
11819.044700577855,67,12,129
11839.009567216039,82,10,134
11858.974433854222,68,14,127
11878.939300492406,66,23,99
11898.90416713059,86,23,98
11918.869033768773,81,10,115
11938.833900406957,75,17,122
11958.79876704514,77,23,122
11978.763633683324,83,11,109
11998.728500321507,73,13,113
12018.693366959691,70,12,112
12038.658233597875,77,7,118
12058.623100236058,81,10,132
12078.587966874242,59,5,102
12098.552833512425,65,8,125
12118.517700150609,80,2,119
12138.482566788793,67,7,89
12158.447433426976,70,8,115
12178.41230006516,79,3,97
12198.377166703343,86,10,109
12218.342033341527,65,9,98
12238.30689997971,73,7,117
12258.271766617894,78,8,110
12278.236633256078,76,9,109
12298.201499894261,72,8,103
12318.166366532445,73,6,85
12338.131233170629,85,5,99
