Instrument,800C10455
Date,2023/05/05
Time,12:27:40
Assay #,0026
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.7s
Temperature (Detector),-27.0 C
Temperature (Ambient),41.06 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 4.5uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.7uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.8662,0.2284
13,Al2O3,0.7379,0.0742
14,SiO2,0.5973,0.0393
15,P,0.0415,0.0079
16,S,0.0,0.0232
17,Cl,0.0,0.003
19,K2O,0.1069,0.0049
20,Ca,0.0,0.0061
22,Ti,0.0038,0.0063
23,V,0.0598,0.007
24,Cr,19.4311,0.0488
25,Mn,0.3111,0.0251
26,Fe,33.2496,0.044
27,Co,0.3607,0.005
28,Ni,4.9186,0.0318
29,Cu,0.6317,0.0038
30,Zn,0.0169,0.0008
31,Ga,0.0005,0.0009
33,As,0.0684,0.0318
34,Se,0.0,0.0013
37,Rb,0.0028,0.0029
38,Sr,0.0,0.0007
39,Y,0.0006,0.0006
40,Zr,0.0,0.0013
41,Nb,0.0082,0.0032
42,Mo,7.3243,0.0415
45,Rh,0.0,0.0007
46,Pd,0.0019,0.0005
48,Cd,0.0,0.0003
50,Sn,0.0,0.0031
51,Sb,0.005,0.0034
56,Ba,0.008,0.0044
57,La,0.0003,0.0143
58,Ce,0.0,0.0172
72,Hf,0.0,0.0022
73,Ta,0.0,0.008
74,W,0.2297,0.0033
78,Pt,0.0,0.0027
79,Au,0.0,0.0004
80,Hg,0.0,0.0014
81,Tl,0.0076,0.0124
82,Pb,0.0,0.0157
83,Bi,0.0291,0.0127
90,Th,0.0,0.0136
92,U,0.0,0.0013
 
 
SPECTRA:
eV Channel Start,0.055646222084760666,0.11401563137769699,0.22078712284564972
eV per Channel,20.02122688293457,20.02122688293457,20.02122688293457
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.055646222084760666,0,0,0
20.07687310501933,0,0,0
40.0980999879539,0,0,0
60.11932687088847,0,0,0
80.14055375382304,0,0,0
100.16178063675761,0,0,0
120.18300751969218,0,0,0
140.20423440262675,0,0,0
160.22546128556132,0,0,0
180.2466881684959,0,0,0
200.26791505143046,0,0,0
220.28914193436503,0,0,0
240.3103688172996,0,0,0
260.3315957002342,0,0,0
280.35282258316875,3,1,3
300.3740494661033,21,19,24
320.3952763490379,200,195,176
340.41650323197246,912,979,854
360.437730114907,2469,2773,2248
380.4589569978416,4092,4724,3792
400.48018388077617,3841,4602,3589
420.50141076371074,2469,2812,2241
440.5226376466453,972,936,857
460.5438645295799,195,209,182
480.56509141251445,26,27,28
500.586318295449,1,1,3
520.6075451783836,1,0,0
540.6287720613182,0,0,0
560.6499989442527,0,0,1
580.6712258271873,57,28,36
600.6924527101219,38,39,36
620.7136795930564,63,28,31
640.734906475991,49,39,44
660.7561333589256,38,35,30
680.7773602418602,47,34,25
700.7985871247947,46,23,28
720.8198140077293,47,32,18
740.8410408906639,49,30,20
760.8622677735984,38,36,23
780.883494656533,40,33,18
800.9047215394676,54,35,17
820.9259484224021,49,27,19
840.9471753053367,42,36,30
860.9684021882713,42,32,29
880.9896290712059,37,23,34
901.0108559541404,45,31,26
921.032082837075,50,32,28
941.0533097200096,51,39,37
961.0745366029441,45,22,31
981.0957634858787,54,32,38
1001.1169903688133,39,36,34
1021.1382172517478,51,39,26
1041.1594441346824,52,21,29
1061.180671017617,34,31,31
1081.2018979005516,43,25,34
1101.2231247834861,46,32,32
1121.2443516664207,42,32,26
1141.2655785493553,36,35,16
1161.2868054322898,41,31,43
1181.3080323152244,50,28,35
1201.329259198159,34,24,62
1221.3504860810935,46,35,37
1241.3717129640281,45,32,29
1261.3929398469627,31,25,33
1281.4141667298973,35,30,30
1301.4353936128318,26,21,23
1321.4566204957664,28,28,18
1341.477847378701,40,27,21
1361.4990742616355,32,24,24
1381.52030114457,23,20,23
1401.5415280275047,40,34,42
1421.5627549104393,27,25,48
1441.5839817933738,46,21,70
1461.6052086763084,62,25,68
1481.626435559243,61,30,105
1501.6476624421775,54,26,93
1521.668889325112,47,26,65
1541.6901162080467,37,19,60
1561.7113430909812,39,17,34
1581.7325699739158,32,16,38
1601.7537968568504,18,19,35
1621.775023739785,22,18,32
1641.7962506227195,20,17,49
1661.817477505654,26,22,56
1681.8387043885887,21,26,100
1701.8599312715232,22,19,161
1721.8811581544578,29,22,207
1741.9023850373924,34,21,222
1761.923611920327,30,19,193
1781.9448388032615,33,22,148
1801.966065686196,30,22,89
1821.9872925691307,24,16,70
1842.0085194520652,31,29,58
1862.0297463349998,32,23,59
1882.0509732179344,33,31,62
1902.072200100869,36,22,56
1922.0934269838035,37,17,60
1942.114653866738,29,22,69
1962.1358807496727,30,22,83
1982.1571076326072,49,23,126
2002.1783345155418,34,17,140
2022.1995613984764,37,24,131
2042.220788281411,37,32,107
2062.2420151643455,33,18,107
2082.26324204728,30,25,103
2102.2844689302146,24,18,107
2122.305695813149,37,23,89
2142.326922696084,31,15,100
2162.3481495790184,29,21,122
2182.369376461953,28,20,155
2202.3906033448875,35,28,300
2222.411830227822,44,31,633
2242.4330571107566,55,29,1020
2262.454283993691,89,25,1716
2282.475510876626,94,22,2112
2302.4967377595603,112,33,2107
2322.517964642495,97,26,1882
2342.5391915254295,98,35,1593
2362.560418408364,94,29,1474
2382.5816452912986,75,38,1350
2402.602872174233,69,40,1190
2422.6240990571678,86,31,1070
2442.6453259401023,60,36,794
2462.666552823037,58,26,493
2482.6877797059715,48,28,378
2502.709006588906,51,30,342
2522.7302334718406,56,25,300
2542.751460354775,35,23,233
2562.7726872377098,44,24,283
2582.7939141206443,36,21,310
2602.815141003579,35,28,417
2622.8363678865135,47,26,623
2642.857594769448,40,18,845
2662.8788216523826,38,16,1217
2682.900048535317,32,23,1337
2702.9212754182518,27,24,1365
2722.9425023011863,31,26,1224
2742.963729184121,29,19,884
2762.9849560670555,30,26,677
2783.00618294999,35,23,618
2803.0274098329246,28,16,644
2823.048636715859,41,19,671
2843.0698635987937,29,21,749
2863.0910904817283,44,25,761
2883.112317364663,46,11,725
2903.1335442475975,53,16,802
2923.154771130532,70,21,1022
2943.1759980134666,67,31,1063
2963.197224896401,55,23,1148
2983.2184517793357,70,31,1010
3003.2396786622703,38,22,724
3023.260905545205,41,20,499
3043.2821324281394,37,28,326
3063.303359311074,36,24,205
3083.3245861940086,32,22,163
3103.345813076943,26,21,160
3123.3670399598777,27,24,161
3143.3882668428123,20,11,201
3163.409493725747,36,10,214
3183.4307206086814,55,24,259
3203.451947491616,71,27,306
3223.4731743745506,89,34,333
3243.494401257485,119,36,402
3263.5156281404197,156,38,485
3283.5368550233543,175,52,543
3303.558081906289,211,57,587
3323.5793087892234,166,38,559
3343.600535672158,104,37,524
3363.6217625550926,68,37,468
3383.642989438027,55,23,490
3403.6642163209617,44,22,462
3423.6854432038963,54,18,496
3443.706670086831,103,42,531
3463.7278969697654,97,39,565
3483.7491238527,99,30,655
3503.7703507356346,121,55,715
3523.791577618569,102,33,706
3543.8128045015037,98,34,680
3563.8340313844383,104,31,727
3583.855258267373,136,34,770
3603.8764851503074,160,36,915
3623.897712033242,200,40,1102
3643.9189389161766,218,45,1129
3663.940165799111,229,43,1259
3683.9613926820457,207,56,1226
3703.9826195649803,198,45,1087
3724.003846447915,148,36,952
3744.0250733308494,112,28,843
3764.046300213784,98,25,721
3784.0675270967185,47,27,725
3804.088753979653,43,17,623
3824.1099808625877,36,16,663
3844.1312077455223,32,16,594
3864.152434628457,22,17,592
3884.1736615113914,29,22,607
3904.194888394326,35,18,574
3924.2161152772605,41,12,580
3944.237342160195,34,14,551
3964.2585690431297,32,16,534
3984.2797959260643,33,16,507
4004.301022808999,28,14,506
4024.3222496919334,33,13,482
