Instrument,800C10455
Date,2023/05/05
Time,12:23:58
Assay #,0023
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.39s
Temperature (Detector),-27.0 C
Temperature (Ambient),40.72 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 4.5uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.7uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.5677,0.2206
13,Al2O3,0.8368,0.0739
14,SiO2,0.5513,0.0388
15,P,0.0416,0.0082
16,S,0.0,0.0234
17,Cl,0.0,0.003
19,K2O,0.1043,0.0049
20,Ca,0.0,0.0061
22,Ti,0.0,0.0065
23,V,0.0463,0.0073
24,Cr,19.5484,0.0489
25,Mn,0.25,0.0251
26,Fe,33.4176,0.0442
27,Co,0.3666,0.005
28,Ni,4.849,0.0314
29,Cu,0.631,0.0038
30,Zn,0.0173,0.0007
31,Ga,0.0016,0.0009
33,As,0.0859,0.0344
34,Se,0.0,0.0012
37,Rb,0.0067,0.0029
38,Sr,0.0022,0.0007
39,Y,0.0005,0.0006
40,Zr,0.0,0.0013
41,Nb,0.009,0.0035
42,Mo,7.5772,0.0428
45,Rh,0.0,0.0007
47,Ag,0.0,0.0016
48,Cd,0.0,0.0003
50,Sn,0.0,0.0032
51,Sb,0.0025,0.0034
56,Ba,0.0006,0.0045
57,La,0.0349,0.0155
58,Ce,0.0,0.0174
72,Hf,0.0,0.0021
73,Ta,0.0,0.0076
74,W,0.2194,0.0032
78,Pt,0.0,0.0024
79,Au,0.0,0.0004
80,Hg,0.0,0.0011
81,Tl,0.0065,0.013
82,Pb,0.0,0.0182
83,Bi,0.0156,0.0113
90,Th,0.0,0.0132
92,U,0.0014,0.0012
 
 
SPECTRA:
eV Channel Start,-0.009882459416985512,0.11188806593418121,0.6978992223739624
eV per Channel,20.02122688293457,20.02122688293457,20.02122688293457
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.009882459416985512,0,0,0
20.011344423517585,0,0,0
40.032571306452155,0,0,0
60.053798189386725,0,0,0
80.0750250723213,0,0,0
100.09625195525587,0,0,0
120.11747883819044,0,0,0
140.138705721125,0,0,0
160.15993260405958,0,0,0
180.18115948699415,0,0,0
200.20238636992872,0,0,0
220.2236132528633,0,0,0
240.24484013579786,0,0,0
260.26606701873243,0,0,0
280.287293901667,1,0,2
300.30852078460157,11,7,11
320.32974766753614,135,138,121
340.3509745504707,748,768,703
360.3722014334053,2368,2787,2320
380.39342831633985,4341,4947,4090
400.4146551992744,4355,4956,3836
420.435882082209,2313,2682,2161
440.45710896514356,798,815,695
460.47833584807813,147,152,134
480.4995627310127,20,26,15
500.5207896139473,4,2,3
520.5420164968818,1,0,1
540.5632433798164,1,0,1
560.584470262751,0,0,2
580.6056971456856,39,32,36
600.6269240286201,53,32,30
620.6481509115547,41,34,42
640.6693777944893,50,30,40
660.6906046774238,39,33,33
680.7118315603584,40,30,38
700.733058443293,36,39,23
720.7542853262275,53,33,18
740.7755122091621,46,45,19
760.7967390920967,45,29,28
780.8179659750313,63,36,15
800.8391928579658,54,32,14
820.8604197409004,54,26,26
840.881646623835,57,25,23
860.9028735067695,47,34,21
880.9241003897041,53,35,22
900.9453272726387,52,33,38
920.9665541555732,51,31,37
940.9877810385078,47,29,51
961.0090079214424,47,37,41
981.030234804377,50,23,31
1001.0514616873115,46,33,26
1021.0726885702461,52,41,25
1041.0939154531807,44,27,15
1061.1151423361152,36,28,23
1081.1363692190498,41,29,33
1101.1575961019844,43,31,25
1121.178822984919,33,33,40
1141.2000498678535,42,35,27
1161.221276750788,35,21,29
1181.2425036337227,38,32,36
1201.2637305166572,54,29,41
1221.2849573995918,24,23,35
1241.3061842825264,32,31,28
1261.327411165461,37,22,22
1281.3486380483955,33,28,33
1301.36986493133,36,28,27
1321.3910918142647,30,27,22
1341.4123186971992,35,21,21
1361.4335455801338,32,21,19
1381.4547724630684,27,29,20
1401.475999346003,31,27,31
1421.4972262289375,44,28,40
1441.518453111872,51,24,80
1461.5396799948066,69,24,88
1481.5609068777412,53,22,105
1501.5821337606758,63,22,101
1521.6033606436104,41,26,59
1541.624587526545,36,25,50
1561.6458144094795,21,23,28
1581.667041292414,25,23,32
1601.6882681753486,28,26,27
1621.7094950582832,27,29,40
1641.7307219412178,21,23,36
1661.7519488241524,28,21,55
1681.773175707087,24,27,107
1701.7944025900215,25,19,157
1721.815629472956,25,28,196
1741.8368563558906,29,13,216
1761.8580832388252,31,31,183
1781.8793101217598,27,12,143
1801.9005370046943,23,24,78
1821.921763887629,37,28,72
1841.9429907705635,25,28,51
1861.964217653498,36,17,89
1881.9854445364326,26,13,58
1902.0066714193672,34,18,65
1922.0278983023018,30,28,68
1942.0491251852363,34,34,75
1962.070352068171,25,18,98
1982.0915789511055,42,26,104
2002.11280583404,32,21,115
2022.1340327169746,30,12,161
2042.1552595999092,26,21,141
2062.1764864828438,29,28,121
2082.1977133657783,35,25,113
2102.218940248713,23,18,96
2122.2401671316475,28,29,107
2142.261394014582,34,25,107
2162.2826208975166,23,21,90
2182.303847780451,31,22,156
2202.3250746633857,35,16,283
2222.3463015463203,45,40,611
2242.367528429255,70,40,1185
2262.3887553121895,93,38,1774
2282.409982195124,107,25,2119
2302.4312090780586,111,47,2258
2322.452435960993,101,47,1895
2342.4736628439277,94,38,1543
2362.4948897268623,78,38,1385
2382.516116609797,81,25,1362
2402.5373434927315,81,31,1272
2422.558570375666,81,30,1036
2442.5797972586006,50,27,711
2462.601024141535,54,22,553
2482.6222510244697,42,21,346
2502.6434779074043,51,34,295
2522.664704790339,43,17,285
2542.6859316732734,33,28,270
2562.707158556208,23,31,249
2582.7283854391426,54,21,301
2602.749612322077,32,22,410
2622.7708392050117,42,20,547
2642.7920660879463,41,19,841
2662.813292970881,40,16,1157
2682.8345198538154,50,23,1411
2702.85574673675,31,21,1400
2722.8769736196846,25,21,1230
2742.898200502619,29,20,936
