Instrument,800C10455
Date,2023/05/05
Time,12:15:18
Assay #,0016
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.4s
Temperature (Detector),-27.0 C
Temperature (Ambient),40.06 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 4.5uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.7uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.1901,0.2283
13,Al2O3,0.7719,0.0766
14,SiO2,0.705,0.0404
15,P,0.047,0.0078
16,S,0.0,0.0236
17,Cl,0.0,0.003
19,K2O,0.1086,0.0049
20,Ca,0.0,0.0061
22,Ti,0.0,0.0064
23,V,0.0463,0.0071
24,Cr,19.6613,0.049
25,Mn,0.2916,0.0253
26,Fe,33.4618,0.0443
27,Co,0.3596,0.005
28,Ni,4.7546,0.0308
29,Cu,0.6118,0.0036
30,Zn,0.0145,0.0007
31,Ga,0.001,0.0009
33,As,0.0568,0.0342
34,Se,0.0,0.0012
37,Rb,0.0017,0.0032
38,Sr,0.0004,0.0007
39,Y,0.0013,0.0006
40,Zr,0.0,0.0013
41,Nb,0.0174,0.0035
42,Mo,7.8455,0.0443
45,Rh,0.0,0.0007
47,Ag,0.0,0.0016
48,Cd,0.0005,0.0003
50,Sn,0.0,0.0031
51,Sb,0.0,0.0033
56,Ba,0.009,0.0045
57,La,0.002,0.0152
58,Ce,0.0,0.0178
72,Hf,0.0,0.0022
73,Ta,0.0,0.0071
74,W,0.2184,0.0032
78,Pt,0.0,0.0023
79,Au,0.0,0.0004
80,Hg,0.0,0.0013
81,Tl,0.0149,0.0143
82,Pb,0.0,0.0203
83,Bi,0.0078,0.0136
90,Th,0.0,0.015
92,U,0.0004,0.0014
 
 
SPECTRA:
eV Channel Start,0.4247671961784363,0.17054569721221924,0.048324666917324066
eV per Channel,20.02122688293457,20.02122688293457,20.02122688293457
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.4247671961784363,0,0,0
20.445994079113007,0,0,0
40.46722096204758,0,0,0
60.48844784498215,0,0,0
80.50967472791672,0,0,0
100.53090161085129,0,0,0
120.55212849378586,0,0,0
140.57335537672043,0,0,0
