Instrument,800C10455
Date,2023/05/05
Time,12:30:08
Assay #,0028
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.46s
Temperature (Detector),-27.0 C
Temperature (Ambient),40.83 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 4.5uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.7uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.3537,0.2302
13,Al2O3,0.7148,0.0761
14,SiO2,0.5907,0.0402
15,P,0.0426,0.0082
16,S,0.0,0.0234
17,Cl,0.0,0.003
19,K2O,0.1081,0.0049
20,Ca,0.0,0.0061
22,Ti,0.0,0.0063
23,V,0.0551,0.007
24,Cr,19.4378,0.0489
25,Mn,0.2586,0.025
26,Fe,33.2176,0.044
27,Co,0.376,0.005
28,Ni,4.7996,0.031
29,Cu,0.6176,0.0037
30,Zn,0.0153,0.0007
31,Ga,0.0007,0.0009
33,As,0.0591,0.0332
34,Se,0.0,0.0013
37,Rb,0.0046,0.003
38,Sr,0.0007,0.0007
39,Y,0.0,0.0006
40,Zr,0.0,0.0012
41,Nb,0.0066,0.0033
42,Mo,7.129,0.0405
48,Cd,0.0006,0.0003
50,Sn,0.0,0.0032
51,Sb,0.0023,0.0033
56,Ba,0.0073,0.0042
57,La,0.0074,0.0152
58,Ce,0.0,0.0172
72,Hf,0.0,0.0021
73,Ta,0.0,0.0079
74,W,0.2163,0.0033
78,Pt,0.0,0.0026
79,Au,0.0,0.0004
80,Hg,0.0,0.0013
81,Tl,0.0054,0.012
82,Pb,0.0,0.0165
83,Bi,0.0179,0.0123
90,Th,0.0,0.0137
92,U,0.0,0.0013
 
 
SPECTRA:
eV Channel Start,-0.04394720122218132,0.3562706410884857,0.37288200855255127
eV per Channel,20.02122688293457,20.02122688293457,20.02122688293457
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.04394720122218132,0,0,0
19.97727968171239,0,0,0
39.99850656464696,0,0,0
60.01973344758153,0,0,0
80.0409603305161,0,0,0
100.06218721345067,0,0,0
120.08341409638524,0,0,0
140.1046409793198,0,0,0
160.12586786225438,0,0,0
180.14709474518895,0,0,0
200.16832162812352,0,0,0
220.1895485110581,0,0,0
240.21077539399266,0,0,0
260.23200227692723,0,0,0
280.2532291598618,0,1,2
300.2744560427964,19,23,18
320.29568292573094,186,199,192
340.3169098086655,910,903,849
360.3381366916001,2416,2817,2308
380.35936357453465,4069,4790,3696
400.3805904574692,4065,4676,3739
420.4018173404038,2442,2677,2194
440.42304422333837,902,928,829
460.44427110627294,177,208,186
480.4654979892075,25,37,27
500.4867248721421,2,1,2
520.5079517550766,0,0,2
540.5291786380112,2,0,0
560.5504055209458,0,0,0
580.5716324038804,53,28,40
600.5928592868149,34,33,42
620.6140861697495,37,34,41
640.6353130526841,51,25,46
660.6565399356186,44,38,37
680.6777668185532,51,34,33
700.6989937014878,49,29,32
720.7202205844223,31,29,21
740.7414474673569,46,33,39
760.7626743502915,43,41,27
780.7839012332261,45,26,19
800.8051281161606,42,30,23
820.8263549990952,50,28,18
840.8475818820298,50,35,18
860.8688087649643,45,46,29
880.8900356478989,43,35,19
900.9112625308335,48,24,26
920.932489413768,51,29,32
940.9537162967026,37,31,48
960.9749431796372,49,35,35
980.9961700625718,50,25,30
1001.0173969455063,59,30,21
1021.0386238284409,49,33,22
1041.0598507113755,47,35,24
1061.08107759431,46,23,28
1081.1023044772446,55,26,27
1101.1235313601792,44,33,36
1121.1447582431138,38,25,25
1141.1659851260483,43,30,31
1161.187212008983,44,19,31
1181.2084388919175,43,22,36
1201.229665774852,39,30,37
1221.2508926577866,27,38,40
1241.2721195407212,43,27,31
1261.2933464236557,37,23,31
1281.3145733065903,33,22,30
1301.335800189525,36,34,24
1321.3570270724595,38,33,25
1341.378253955394,31,27,29
1361.3994808383286,41,24,21
1381.4207077212632,35,21,31
1401.4419346041977,45,23,58
1421.4631614871323,54,28,56
1441.4843883700669,48,20,76
1461.5056152530015,60,39,90
1481.526842135936,68,27,98
1501.5480690188706,54,28,88
1521.5692959018052,50,29,69
1541.5905227847397,47,31,49
1561.6117496676743,25,22,42
1581.6329765506089,35,18,40
1601.6542034335434,30,23,33
1621.675430316478,24,17,43
1641.6966571994126,24,20,46
1661.7178840823472,24,15,63
1681.7391109652817,37,22,101
1701.7603378482163,31,27,155
1721.7815647311509,30,18,224
1741.8027916140854,24,27,247
1761.82401849702,31,20,195
1781.8452453799546,20,30,140
1801.8664722628891,38,20,84
1821.8876991458237,24,24,80
1841.9089260287583,27,19,63
1861.9301529116929,29,25,54
1881.9513797946274,32,26,72
1901.972606677562,42,23,79
1921.9938335604966,29,31,58
1942.0150604434311,32,28,80
1962.0362873263657,28,22,83
1982.0575142093003,32,31,115
2002.0787410922348,25,21,145
2022.0999679751694,36,18,157
2042.121194858104,38,16,113
2062.1424217410386,32,21,128
2082.163648623973,30,27,102
2102.1848755069077,40,29,110
2122.2061023898423,31,29,106
2142.227329272777,25,24,99
2162.2485561557114,29,18,106
2182.269783038646,31,15,176
2202.2910099215806,40,15,365
2222.312236804515,43,24,631
2242.3334636874497,67,36,1131
2262.3546905703843,94,31,1698
2282.375917453319,98,51,2152
2302.3971443362534,112,39,2106
2322.418371219188,126,33,1952
2342.4395981021225,83,54,1663
2362.460824985057,82,53,1434
2382.4820518679917,88,31,1330
2402.5032787509263,69,25,1178
2422.524505633861,60,22,988
2442.5457325167954,58,29,758
2462.56695939973,48,32,500
2482.5881862826645,41,23,405
2502.609413165599,34,33,318
2522.6306400485337,38,20,266
2542.6518669314682,43,26,275
2562.673093814403,31,22,257
2582.6943206973374,41,31,336
2602.715547580272,47,28,388
2622.7367744632065,33,22,574
2642.758001346141,47,27,855
2662.7792282290757,28,19,1146
2682.8004551120102,31,20,1344
2702.821681994945,37,21,1378
2722.8429088778794,26,28,1119
2742.864135760814,33,16,881
2762.8853626437485,27,22,754
