Instrument,800C10455
Date,2023/05/05
Time,12:21:28
Assay #,0021
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.64s
Temperature (Detector),-27.0 C
Temperature (Ambient),40.22 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 4.5uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.7uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.703,0.2202
13,Al2O3,0.7842,0.0723
14,SiO2,0.6012,0.0393
15,P,0.0453,0.0083
16,S,0.0,0.0232
17,Cl,0.0,0.003
19,K2O,0.1097,0.0049
20,Ca,0.0,0.0062
22,Ti,0.0009,0.0065
23,V,0.0554,0.007
24,Cr,19.5443,0.0489
25,Mn,0.2952,0.0252
26,Fe,33.3426,0.0441
27,Co,0.3621,0.005
28,Ni,4.7717,0.031
29,Cu,0.618,0.0037
30,Zn,0.0145,0.0007
31,Ga,0.0004,0.0009
33,As,0.105,0.0342
34,Se,0.0,0.0013
37,Rb,0.0059,0.0028
38,Sr,0.0009,0.0007
39,Y,0.0009,0.0006
40,Zr,0.0,0.0012
41,Nb,0.0124,0.0032
42,Mo,7.1157,0.0403
45,Rh,0.0,0.0007
47,Ag,0.0,0.0016
48,Cd,0.0001,0.0003
50,Sn,0.0,0.003
51,Sb,0.0015,0.0033
56,Ba,0.006,0.0045
57,La,0.0004,0.0151
58,Ce,0.0,0.0172
72,Hf,0.0,0.0022
73,Ta,0.0,0.0078
74,W,0.2294,0.0032
78,Pt,0.0,0.0025
79,Au,0.0,0.0004
80,Hg,0.0,0.0013
81,Tl,0.0,0.0122
82,Pb,0.0,0.0177
83,Bi,0.0305,0.0112
90,Th,0.0,0.0134
92,U,0.0011,0.0013
 
 
SPECTRA:
eV Channel Start,0.35795143246650696,0.2295932024717331,0.6562322378158569
eV per Channel,20.02122688293457,20.02122688293457,20.02122688293457
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.35795143246650696,0,0,0
20.379178315401077,0,0,0
40.40040519833565,0,0,0
60.42163208127022,0,0,0
80.44285896420479,0,0,0
100.46408584713936,0,0,0
120.48531273007393,0,0,0
140.5065396130085,0,0,0
160.52776649594307,0,0,0
180.54899337887764,0,0,0
200.5702202618122,0,0,0
220.59144714474678,0,0,0
240.61267402768135,0,0,0
260.6339009106159,0,0,0
280.6551277935505,1,2,1
300.67635467648506,26,20,19
320.69758155941963,200,177,173
340.7188084423542,862,1018,872
360.7400353252888,2536,2791,2329
380.76126220822334,4048,4696,3690
400.7824890911579,4032,4624,3706
420.8037159740925,2393,2819,2222
440.82494285702705,881,925,767
460.8461697399616,205,189,190
480.8673966228962,21,26,27
500.88862350583076,2,0,2
520.9098503887653,0,0,0
540.9310772716999,0,0,0
560.9523041546345,1,0,0
580.973531037569,50,27,33
600.9947579205036,37,33,32
621.0159848034382,39,33,47
641.0372116863728,52,31,46
661.0584385693073,43,40,32
681.0796654522419,46,34,32
701.1008923351765,45,33,31
721.122119218111,54,33,27
741.1433461010456,48,31,18
761.1645729839802,45,41,22
781.1857998669147,43,36,13
801.2070267498493,49,39,19
821.2282536327839,49,29,11
841.2494805157185,54,26,25
861.270707398653,45,31,27
881.2919342815876,49,25,29
901.3131611645222,43,26,30
921.3343880474567,54,34,30
941.3556149303913,60,25,43
961.3768418133259,49,34,40
981.3980686962605,49,26,36
