Instrument,800C10455
Date,2023/05/05
Time,12:12:49
Assay #,0014
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.25s
Temperature (Detector),-27.0 C
Temperature (Ambient),39.44 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.45uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 4.5uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.7uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.4504,0.2338
13,Al2O3,0.7878,0.0767
14,SiO2,0.6128,0.0398
15,P,0.0527,0.0081
16,S,0.0,0.0232
17,Cl,0.0,0.003
19,K2O,0.1071,0.0048
20,Ca,0.0,0.0062
22,Ti,0.0,0.0064
23,V,0.0557,0.0072
24,Cr,19.3911,0.0488
25,Mn,0.2967,0.0251
26,Fe,33.1863,0.044
27,Co,0.3742,0.005
28,Ni,4.7495,0.0308
29,Cu,0.6095,0.0036
30,Zn,0.0172,0.0007
31,Ga,0.0012,0.0009
33,As,0.0452,0.0342
34,Se,0.0,0.0013
37,Rb,0.0008,0.0026
38,Sr,0.0017,0.0007
39,Y,0.0011,0.0006
40,Zr,0.0,0.0012
41,Nb,0.0158,0.0034
42,Mo,7.4124,0.0417
45,Rh,0.0,0.0007
46,Pd,0.0015,0.0005
47,Ag,0.0,0.0015
48,Cd,0.0006,0.0003
50,Sn,0.0,0.003
51,Sb,0.0052,0.0034
56,Ba,0.006,0.0045
57,La,0.0009,0.015
58,Ce,0.0,0.0178
72,Hf,0.0,0.0021
73,Ta,0.0,0.0064
74,W,0.2141,0.0031
78,Pt,0.0,0.0027
79,Au,0.0,0.0004
80,Hg,0.0,0.0012
81,Tl,0.0,0.013
82,Pb,0.0,0.0181
83,Bi,0.0142,0.0109
90,Th,0.0,0.0132
92,U,0.0018,0.0013
 
 
SPECTRA:
eV Channel Start,-0.12178990244865417,0.13270393013954163,0.23357117176055908
eV per Channel,20.02122688293457,20.02122688293457,20.02122688293457
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.12178990244865417,0,0,0
19.899436980485916,0,0,0
39.92066386342049,0,0,0
59.94189074635506,0,0,0
79.96311762928963,0,0,0
99.9843445122242,0,0,0
120.00557139515877,0,0,0
140.02679827809334,0,0,0
160.0480251610279,0,0,0
180.06925204396248,0,0,0
200.09047892689705,0,0,0
220.11170580983162,0,0,0
240.1329326927662,0,0,0
260.15415957570076,0,0,0
280.17538645863533,0,3,3
300.1966133415699,28,18,20
320.21784022450447,178,165,157
340.23906710743904,916,989,872
360.2602939903736,2370,2851,2275
380.2815208733082,4111,4598,3657
400.30274775624275,4082,4755,3708
420.3239746391773,2455,2680,2214
440.3452015221119,886,1047,842
460.36642840504646,199,201,183
480.38765528798103,31,22,27
500.4088821709156,2,2,4
520.4301090538502,2,0,0
540.4513359367847,0,0,0
560.4725628197193,0,1,0
580.4937897026539,41,34,34
600.5150165855885,38,30,34
620.536243468523,45,28,34
640.5574703514576,49,40,38
660.5786972343922,49,38,38
680.5999241173267,57,27,28
700.6211510002613,46,22,21
720.6423778831959,40,33,25
740.6636047661304,52,25,18
760.684831649065,46,32,26
780.7060585319996,51,40,26
800.7272854149342,48,38,17
820.7485122978687,49,33,16
840.7697391808033,55,37,21
860.7909660637379,59,35,26
880.8121929466724,50,33,22
900.833419829607,48,34,26
920.8546467125416,46,29,33
940.8758735954762,59,31,37
960.8971004784107,49,30,36
980.9183273613453,58,35,39
1000.9395542442799,36,28,20
1020.9607811272144,43,29,12
1040.982008010149,47,36,30
1061.0032348930836,32,32,23
1081.0244617760181,54,35,27
1101.0456886589527,52,36,22
1121.0669155418873,39,32,25
1141.0881424248219,28,32,26
1161.1093693077564,41,38,38
1181.130596190691,51,24,30
1201.1518230736256,41,34,53
1221.1730499565601,39,24,36
1241.1942768394947,37,18,33
1261.2155037224293,34,37,24
1281.2367306053638,54,21,31
1301.2579574882984,28,28,32
1321.279184371233,35,30,23
1341.3004112541676,39,22,34
1361.3216381371021,29,21,24
1381.3428650200367,34,30,28
1401.3640919029713,29,21,27
1421.3853187859058,40,23,43
1441.4065456688404,61,28,86
1461.427772551775,48,34,106
1481.4489994347095,74,33,92
1501.4702263176441,56,29,93
1521.4914532005787,43,24,71
1541.5126800835133,45,14,52
1561.5339069664478,25,25,45
1581.5551338493824,34,20,30
1601.576360732317,26,23,36
1621.5975876152515,27,24,39
1641.618814498186,25,26,42
1661.6400413811207,24,23,71
1681.6612682640553,37,25,87
1701.6824951469898,27,26,180
1721.7037220299244,28,22,224
1741.724948912859,32,17,216
1761.7461757957935,25,18,177
1781.767402678728,36,20,150
1801.7886295616627,32,15,106
1821.8098564445972,31,20,72
1841.8310833275318,40,15,58
1861.8523102104664,25,32,63
1881.873537093401,30,16,60
1901.8947639763355,34,25,55
1921.91599085927,36,19,68
1941.9372177422047,27,22,83
1961.9584446251392,29,19,92
1981.9796715080738,29,18,126
2002.0008983910084,24,18,126
2022.022125273943,26,21,153
2042.0433521568775,36,30,140
2062.064579039812,32,24,107
2082.0858059227467,28,11,114
2102.1070328056812,37,27,96
2122.128259688616,34,17,109
2142.1494865715504,29,33,103
2162.170713454485,27,20,112
2182.1919403374195,30,24,178
2202.213167220354,34,19,323
2222.2343941032887,56,26,706
2242.255620986223,68,22,1093
2262.276847869158,84,28,1672
2282.2980747520924,110,38,2048
2302.319301635027,99,38,2075
2322.3405285179615,112,34,1870
2342.361755400896,102,41,1620
2362.3829822838306,108,40,1499
2382.404209166765,69,35,1340
2402.4254360497,87,35,1213
2422.4466629326344,51,36,1017
2442.467889815569,61,39,789
2462.4891166985035,58,23,558
2482.510343581438,52,21,391
2502.5315704643726,47,26,329
2522.552797347307,35,25,256
2542.574024230242,40,18,277
2562.5952511131763,42,22,271
2582.616477996111,37,21,303
2602.6377048790455,31,20,423
2622.65893176198,32,26,641
2642.6801586449146,32,17,850
2662.701385527849,35,26,1143
2682.7226124107838,29,19,1373
2702.7438392937183,35,20,1379
2722.765066176653,31,14,1153
2742.7862930595875,32,17,988
2762.807519942522,27,23,730
2782.8287468254566,19,13,586
2802.849973708391,21,22,641
2822.8712005913258,31,20,668
2842.8924274742603,27,21,713
2862.913654357195,38,18,754
2882.9348812401295,36,15,722
2902.956108123064,56,27,856
2922.9773350059986,67,25,992
2942.998561888933,61,17,1120
2963.0197887718678,86,26,1120
2983.0410156548023,62,22,1018
3003.062242537737,50,24,762
3023.0834694206715,32,29,520
3043.104696303606,47,25,331
3063.1259231865406,31,15,192
3083.147150069475,28,23,128
3103.1683769524097,31,21,150
3123.1896038353443,38,22,152
3143.210830718279,38,21,237
3163.2320576012135,31,25,253
3183.253284484148,47,17,229
3203.2745113670826,63,26,298
3223.295738250017,75,46,335
3243.3169651329517,150,37,396
3263.3381920158863,159,62,479
3283.359418898821,196,45,533
3303.3806457817554,169,48,552
3323.40187266469,127,47,552
3343.4230995476246,113,29,544
