Instrument,800N8573,,RESULTS:,Z,Compound,Concentration(%),Error(1SD)
15366.96499,170,13,16,,,,
15386.94821,187,9,16,,,,
15406.93144,171,11,21,,,,
15426.91466,167,8,29,,,,
15446.89789,167,8,21,,,,
15466.88111,208,11,26,,,,
15486.86434,226,9,22,,,,
15506.84756,227,20,20,,,,
15526.83079,175,32,33,,,,
15546.81401,221,21,14,,,,
15566.79724,245,34,18,,,,
15586.78046,252,49,16,,,,
15606.76368,296,51,25,,,,
15626.74691,312,63,27,,,,
15646.73013,352,100,26,,,,
15666.71336,385,121,29,,,,
15686.69658,421,128,31,,,,
15706.67981,431,165,32,,,,
15726.66303,445,167,26,,,,
15746.64626,472,203,41,,,,
15766.62948,483,181,29,,,,
15786.61271,502,168,18,,,,
15806.59593,464,160,22,,,,
15826.57916,395,146,36,,,,
15846.56238,356,130,31,,,,
15866.54561,335,68,35,,,,
15886.52883,278,71,18,,,,
15906.51206,282,53,13,,,,
15926.49528,229,56,29,,,,
15946.47851,238,29,24,,,,
15966.46173,244,31,18,,,,
15986.44496,217,23,19,,,,
16006.42818,241,15,23,,,,
16026.41141,194,17,16,,,,
16046.39463,199,22,28,,,,
16066.37786,212,10,15,,,,
16086.36108,201,18,21,,,,
16106.34431,194,17,23,,,,
16126.32753,232,11,14,,,,
16146.31076,220,19,25,,,,
16166.29398,208,20,24,,,,
16186.27721,231,20,22,,,,
16206.26043,231,10,27,,,,
16226.24366,238,21,17,,,,
16246.22688,227,18,29,,,,
16266.21011,214,17,20,,,,
16286.19333,211,20,12,,,,
16306.17656,212,17,26,,,,
16326.15978,203,17,16,,,,
16346.14301,218,18,12,,,,
16366.12623,200,24,24,,,,
16386.10945,234,26,17,,,,
16406.09268,214,13,23,,,,
16426.0759,209,25,20,,,,
16446.05913,188,24,13,,,,
16466.04235,220,22,14,,,,
16486.02558,231,17,30,,,,
16506.0088,266,24,20,,,,
16525.99203,256,36,19,,,,
16545.97525,221,26,13,,,,
16565.95848,242,32,12,,,,
16585.9417,254,32,11,,,,
16605.92493,214,32,18,,,,
16625.90815,267,26,14,,,,
16645.89138,226,37,21,,,,
16665.8746,219,43,20,,,,
16685.85783,247,33,22,,,,
16705.84105,214,23,14,,,,
16725.82428,230,23,19,,,,
16745.8075,211,15,12,,,,
16765.79073,223,21,24,,,,
16785.77395,233,22,22,,,,
16805.75718,175,12,23,,,,
16825.7404,215,17,20,,,,
16845.72363,214,25,16,,,,
16865.70685,225,24,20,,,,
16885.69008,226,17,16,,,,
16905.6733,233,16,22,,,,
16925.65653,215,18,22,,,,
16945.63975,236,23,18,,,,
16965.62298,234,25,11,,,,
16985.6062,204,17,14,,,,
17005.58943,225,23,22,,,,
17025.57265,229,22,11,,,,
17045.55588,220,24,16,,,,
17065.5391,226,26,14,,,,
17085.52233,249,19,16,,,,
17105.50555,219,23,15,,,,
17125.48877,221,24,25,,,,
17145.472,227,23,17,,,,
17165.45522,211,19,12,,,,
17185.43845,241,20,23,,,,
17205.42167,250,34,27,,,,
17225.4049,235,33,15,,,,
17245.38812,208,43,26,,,,
17265.37135,231,53,31,,,,
17285.35457,250,66,22,,,,
17305.3378,269,73,21,,,,
17325.32102,245,97,31,,,,
17345.30425,235,103,25,,,,
17365.28747,250,121,31,,,,
17385.2707,279,143,28,,,,
17405.25392,270,135,26,,,,
17425.23715,267,151,20,,,,
17445.22037,255,180,26,,,,
17465.2036,263,167,11,,,,
17485.18682,230,171,31,,,,
17505.17005,270,158,26,,,,
17525.15327,243,165,26,,,,
17545.1365,277,120,12,,,,
17565.11972,288,124,19,,,,
17585.10295,259,116,26,,,,
17605.08617,264,88,16,,,,
17625.0694,273,87,22,,,,
17645.05262,261,67,29,,,,
17665.03585,306,74,19,,,,
17685.01907,250,72,22,,,,
17705.0023,266,63,18,,,,
17724.98552,263,53,15,,,,
17744.96875,235,46,19,,,,
17764.95197,253,41,18,,,,
17784.9352,269,37,17,,,,
17804.91842,258,41,26,,,,
17824.90165,263,47,14,,,,
17844.88487,245,35,16,,,,
17864.8681,242,33,14,,,,
17884.85132,230,37,13,,,,
17904.83454,247,43,14,,,,
17924.81777,289,40,21,,,,
17944.80099,218,45,17,,,,
17964.78422,275,44,15,,,,
17984.76744,279,42,17,,,,
18004.75067,238,31,11,,,,
18024.73389,245,42,12,,,,
18044.71712,254,38,15,,,,
18064.70034,250,50,21,,,,
18084.68357,233,47,12,,,,
18104.66679,240,31,21,,,,
18124.65002,250,42,16,,,,
18144.63324,273,40,20,,,,
18164.61647,222,34,15,,,,
18184.59969,231,38,11,,,,
18204.58292,256,34,20,,,,
18224.56614,253,34,18,,,,
18244.54937,292,33,14,,,,
18264.53259,261,31,21,,,,
18284.51582,286,37,15,,,,
18304.49904,231,46,22,,,,
18324.48227,270,39,25,,,,
18344.46549,258,37,12,,,,
18364.44872,265,49,28,,,,
18384.43194,264,43,16,,,,
18404.41517,259,43,12,,,,
18424.39839,276,51,22,,,,
18444.38162,289,57,19,,,,
18464.36484,277,52,14,,,,
18484.34807,275,54,14,,,,
18504.33129,319,53,13,,,,
18524.31452,285,51,12,,,,
18544.29774,304,61,13,,,,
18564.28097,298,64,19,,,,
18584.26419,326,58,14,,,,
18604.24742,294,65,20,,,,
18624.23064,343,62,17,,,,
18644.21387,376,89,19,,,,
18664.19709,339,78,25,,,,
18684.18031,365,72,17,,,,
18704.16354,378,80,25,,,,
18724.14676,357,81,20,,,,
18744.12999,389,91,30,,,,
18764.11321,396,106,24,,,,
18784.09644,368,98,23,,,,
18804.07966,373,102,21,,,,
18824.06289,389,112,24,,,,
18844.04611,382,112,19,,,,
18864.02934,414,100,29,,,,
18884.01256,452,110,20,,,,
18903.99579,413,123,27,,,,
18923.97901,427,136,17,,,,
18943.96224,451,128,29,,,,
18963.94546,463,124,23,,,,
18983.92869,467,135,25,,,,
19003.91191,444,125,32,,,,
19023.89514,447,154,30,,,,
19043.87836,483,138,30,,,,
19063.86159,492,139,44,,,,
19083.84481,481,144,41,,,,
19103.82804,491,126,34,,,,
19123.81126,517,125,58,,,,
19143.79449,468,144,60,,,,
19163.77771,466,120,61,,,,
19183.76094,489,135,67,,,,
19203.74416,471,153,81,,,,
19223.72739,484,144,81,,,,
19243.71061,465,138,72,,,,
19263.69384,440,133,86,,,,
19283.67706,435,126,80,,,,
19303.66029,419,137,58,,,,
19323.64351,434,133,71,,,,
19343.62674,421,123,40,,,,
19363.60996,429,135,59,,,,
19383.59319,368,111,32,,,,
19403.57641,374,121,35,,,,
19423.55963,361,108,32,,,,
19443.54286,388,111,32,,,,
19463.52608,359,121,20,,,,
19483.50931,356,112,13,,,,
19503.49253,350,108,18,,,,
19523.47576,360,108,13,,,,
19543.45898,329,99,18,,,,
19563.44221,359,120,20,,,,
19583.42543,350,104,14,,,,
19603.40866,361,111,13,,,,
19623.39188,342,112,15,,,,
19643.37511,343,97,19,,,,
19663.35833,326,105,15,,,,
19683.34156,302,113,12,,,,
19703.32478,280,84,23,,,,
19723.30801,282,90,21,,,,
19743.29123,318,80,26,,,,
19763.27446,328,78,29,,,,
19783.25768,305,89,25,,,,
19803.24091,300,83,39,,,,
19823.22413,294,87,34,,,,
19843.20736,301,75,29,,,,
19863.19058,309,90,32,,,,
19883.17381,370,88,33,,,,
19903.15703,375,92,35,,,,
19923.14026,352,108,36,,,,
19943.12348,383,85,37,,,,
19963.10671,404,128,39,,,,
19983.08993,458,121,33,,,,
20003.07316,437,149,32,,,,
20023.05638,487,147,37,,,,
20043.03961,532,135,33,,,,
20063.02283,559,168,23,,,,
20083.00606,575,197,31,,,,
20102.98928,603,192,34,,,,
20122.97251,663,210,34,,,,
20142.95573,628,195,37,,,,
20162.93896,653,232,23,,,,
20182.92218,703,227,40,,,,
20202.9054,670,204,24,,,,
20222.88863,621,237,27,,,,
20242.87185,599,216,29,,,,
20262.85508,571,182,24,,,,
20282.8383,521,177,26,,,,
20302.82153,478,165,27,,,,
20322.80475,424,168,18,,,,
20342.78798,376,134,19,,,,
20362.7712,361,111,18,,,,
20382.75443,337,98,18,,,,
20402.73765,301,88,11,,,,
20422.72088,253,65,19,,,,
20442.7041,236,71,9,,,,
20462.68733,258,69,13,,,,
20482.67055,249,61,17,,,,
20502.65378,239,54,21,,,,
20522.637,250,59,7,,,,
20542.62023,236,70,4,,,,
20562.60345,238,62,9,,,,
20582.58668,221,44,8,,,,
20602.5699,259,65,11,,,,
20622.55313,232,72,8,,,,
20642.53635,225,64,8,,,,
20662.51958,267,79,9,,,,
20682.5028,231,59,6,,,,
20702.48603,244,84,14,,,,
20722.46925,224,74,3,,,,
20742.45248,238,62,12,,,,
20762.4357,209,65,6,,,,
20782.41893,229,71,4,,,,
20802.40215,265,80,4,,,,
20822.38538,275,72,10,,,,
20842.3686,250,74,10,,,,
20862.35183,239,76,8,,,,
20882.33505,254,61,8,,,,
20902.31828,244,70,5,,,,
20922.3015,230,62,13,,,,
20942.28472,257,102,4,,,,
20962.26795,249,68,5,,,,
20982.25117,241,68,13,,,,
21002.2344,270,104,13,,,,
21022.21762,253,72,10,,,,
21042.20085,245,92,6,,,,
21062.18407,258,99,6,,,,
21082.1673,263,89,4,,,,
21102.15052,250,102,8,,,,
21122.13375,270,95,9,,,,
21142.11697,274,89,8,,,,
21162.1002,259,94,9,,,,
21182.08342,241,95,11,,,,
21202.06665,238,98,4,,,,
21222.04987,236,97,4,,,,
21242.0331,234,92,13,,,,
21262.01632,269,99,5,,,,
21281.99955,273,109,9,,,,
21301.98277,270,97,9,,,,
21321.966,241,94,12,,,,
21341.94922,269,108,9,,,,
21361.93245,255,111,8,,,,
21381.91567,261,111,12,,,,
21401.8989,264,102,12,,,,
21421.88212,276,123,10,,,,
21441.86535,247,86,7,,,,
21461.84857,266,101,12,,,,
21481.8318,267,89,12,,,,
21501.81502,279,115,9,,,,
21521.79825,249,103,5,,,,
21541.78147,250,95,8,,,,
21561.7647,216,111,10,,,,
21581.74792,268,96,6,,,,
21601.73115,290,101,11,,,,
21621.71437,279,107,11,,,,
21641.6976,267,105,9,,,,
21661.68082,265,104,6,,,,
21681.66405,257,108,7,,,,
21701.64727,259,86,9,,,,
21721.63049,247,89,6,,,,
21741.61372,233,99,5,,,,
21761.59694,249,91,4,,,,
21781.58017,262,99,6,,,,
21801.56339,238,85,10,,,,
21821.54662,265,120,12,,,,
21841.52984,243,82,7,,,,
21861.51307,223,88,3,,,,
21881.49629,234,97,9,,,,
21901.47952,243,76,9,,,,
21921.46274,209,83,5,,,,
21941.44597,243,83,6,,,,
21961.42919,221,101,6,,,,
21981.41242,235,96,13,,,,
22001.39564,244,88,3,,,,
22021.37887,209,94,9,,,,
22041.36209,232,82,13,,,,
22061.34532,234,95,10,,,,
22081.32854,227,76,4,,,,
22101.31177,235,75,6,,,,
22121.29499,228,72,13,,,,
22141.27822,218,88,6,,,,
22161.26144,217,85,11,,,,
22181.24467,222,81,5,,,,
22201.22789,221,81,7,,,,
22221.21112,201,78,7,,,,
22241.19434,196,97,6,,,,
22261.17757,225,70,6,,,,
22281.16079,221,93,5,,,,
22301.14402,225,80,6,,,,
22321.12724,238,93,7,,,,
22341.11047,218,85,6,,,,
22361.09369,230,88,8,,,,
22381.07692,215,74,6,,,,
22401.06014,188,83,6,,,,
22421.04337,230,85,8,,,,
22441.02659,224,94,5,,,,
22461.00981,203,103,3,,,,
22480.99304,221,84,9,,,,
22500.97626,221,87,9,,,,
22520.95949,220,83,4,,,,
22540.94271,215,93,5,,,,
22560.92594,227,109,10,,,,
22580.90916,253,106,5,,,,
22600.89239,288,113,10,,,,
22620.87561,256,118,10,,,,
22640.85884,282,106,11,,,,
22660.84206,287,147,7,,,,
22680.82529,263,154,11,,,,
22700.80851,293,150,4,,,,
22720.79174,288,157,13,,,,
22740.77496,299,126,13,,,,
22760.75819,283,155,9,,,,
22780.74141,290,126,7,,,,
22800.72464,262,156,13,,,,
22820.70786,251,121,5,,,,
22840.69109,267,117,9,,,,
22860.67431,229,108,5,,,,
22880.65754,229,107,6,,,,
22900.64076,217,108,9,,,,
22920.62399,235,93,4,,,,
22940.60721,204,85,6,,,,
22960.59044,204,90,7,,,,
22980.57366,186,84,6,,,,
23000.55689,194,101,5,,,,
23020.54011,190,103,6,,,,
23040.52334,196,86,4,,,,
23060.50656,175,93,11,,,,
23080.48979,222,86,5,,,,
23100.47301,205,89,11,,,,
23120.45624,197,98,8,,,,
23140.43946,163,102,7,,,,
23160.42269,190,93,4,,,,
23180.40591,193,99,4,,,,
23200.38914,188,95,4,,,,
23220.37236,194,83,5,,,,
23240.35558,196,92,6,,,,
23260.33881,176,76,4,,,,
23280.32203,199,95,5,,,,
23300.30526,194,108,8,,,,
23320.28848,192,86,6,,,,
23340.27171,181,96,8,,,,
23360.25493,192,92,8,,,,
23380.23816,171,82,5,,,,
23400.22138,176,94,10,,,,
23420.20461,177,72,3,,,,
23440.18783,163,83,3,,,,
23460.17106,157,78,4,,,,
23480.15428,164,92,7,,,,
23500.13751,171,81,7,,,,
23520.12073,168,77,4,,,,
23540.10396,172,82,9,,,,
23560.08718,169,84,6,,,,
23580.07041,173,86,6,,,,
23600.05363,181,76,4,,,,
23620.03686,153,85,4,,,,
23640.02008,184,89,6,,,,
23660.00331,187,82,12,,,,
23679.98653,179,90,3,,,,
23699.96976,202,95,5,,,,
23719.95298,187,88,8,,,,
23739.93621,163,100,3,,,,
23759.91943,180,108,8,,,,
23779.90266,181,102,8,,,,
23799.88588,176,120,8,,,,
23819.86911,174,121,7,,,,
23839.85233,192,109,6,,,,
23859.83556,179,125,7,,,,
23879.81878,144,166,6,,,,
23899.80201,156,179,7,,,,
23919.78523,190,175,3,,,,
23939.76846,171,209,13,,,,
23959.75168,164,245,9,,,,
23979.7349,198,235,8,,,,
23999.71813,169,258,7,,,,
24019.70135,177,254,11,,,,
24039.68458,165,276,7,,,,
24059.6678,167,293,7,,,,
24079.65103,183,310,13,,,,
24099.63425,184,313,13,,,,
24119.61748,183,348,13,,,,
24139.6007,160,347,9,,,,
24159.58393,155,347,16,,,,
24179.56715,181,370,14,,,,
24199.55038,172,352,12,,,,
24219.5336,180,399,6,,,,
24239.51683,157,360,15,,,,
24259.50005,164,349,13,,,,
24279.48328,162,295,7,,,,
24299.4665,154,291,8,,,,
24319.44973,169,295,10,,,,
24339.43295,135,212,12,,,,
24359.41618,143,181,7,,,,
24379.3994,152,163,7,,,,
24399.38263,163,140,5,,,,
24419.36585,160,137,5,,,,
24439.34908,140,135,4,,,,
24459.3323,147,140,5,,,,
24479.31553,165,119,12,,,,
24499.29875,163,107,5,,,,
24519.28198,127,116,2,,,,
24539.2652,141,82,5,,,,
24559.24843,135,86,5,,,,
24579.23165,134,96,10,,,,
24599.21488,158,102,6,,,,
24619.1981,125,92,5,,,,
24639.18133,129,87,2,,,,
24659.16455,131,102,3,,,,
24679.14778,155,99,4,,,,
24699.131,137,83,3,,,,
24719.11423,138,93,4,,,,
24739.09745,145,96,5,,,,
24759.08067,152,101,6,,,,
24779.0639,144,105,2,,,,
24799.04712,142,118,4,,,,
24819.03035,118,99,4,,,,
24839.01357,109,103,9,,,,
24858.9968,139,116,5,,,,
24878.98002,136,98,8,,,,
24898.96325,153,110,2,,,,
24918.94647,134,108,6,,,,
24938.9297,144,114,7,,,,
24958.91292,134,111,9,,,,
24978.89615,130,116,0,,,,
24998.87937,138,106,10,,,,
25018.8626,133,128,5,,,,
25038.84582,110,140,9,,,,
25058.82905,149,147,3,,,,
25078.81227,132,130,1,,,,
25098.7955,139,165,4,,,,
25118.77872,128,145,3,,,,
25138.76195,102,161,4,,,,
25158.74517,154,161,11,,,,
25178.7284,141,153,5,,,,
25198.71162,148,147,7,,,,
25218.69485,128,167,5,,,,
25238.67807,149,148,9,,,,
25258.6613,122,158,10,,,,
25278.64452,126,167,13,,,,
25298.62775,127,140,4,,,,
25318.61097,114,163,12,,,,
25338.5942,109,138,7,,,,
25358.57742,114,127,6,,,,
25378.56065,119,142,10,,,,
25398.54387,124,120,6,,,,
25418.5271,110,112,4,,,,
25438.51032,116,133,9,,,,
25458.49355,149,124,4,,,,
25478.47677,129,130,8,,,,
25498.46,98,123,4,,,,
25518.44322,119,121,4,,,,
25538.42644,135,115,3,,,,
25558.40967,103,106,7,,,,
25578.39289,113,119,9,,,,
25598.37612,127,90,11,,,,
25618.35934,104,103,5,,,,
25638.34257,119,127,10,,,,
25658.32579,127,93,5,,,,
25678.30902,106,100,6,,,,
25698.29224,118,95,7,,,,
25718.27547,100,93,3,,,,
25738.25869,107,112,10,,,,
25758.24192,110,97,12,,,,
25778.22514,126,104,7,,,,
25798.20837,110,131,7,,,,
25818.19159,95,96,5,,,,
25838.17482,111,109,6,,,,
25858.15804,101,95,3,,,,
25878.14127,105,122,2,,,,
25898.12449,84,109,5,,,,
25918.10772,110,110,6,,,,
25938.09094,96,111,5,,,,
25958.07417,102,110,7,,,,
25978.05739,101,112,4,,,,
25998.04062,106,90,4,,,,
26018.02384,92,107,5,,,,
26038.00707,96,113,6,,,,
26057.99029,86,110,4,,,,
26077.97352,81,98,5,,,,
26097.95674,89,104,6,,,,
26117.93997,99,101,14,,,,
26137.92319,95,115,6,,,,
26157.90642,107,103,5,,,,
26177.88964,103,93,3,,,,
26197.87287,76,107,2,,,,
26217.85609,96,114,4,,,,
26237.83932,89,103,6,,,,
26257.82254,84,121,4,,,,
26277.80576,100,101,4,,,,
26297.78899,75,124,4,,,,
26317.77221,83,111,2,,,,
26337.75544,82,120,8,,,,
26357.73866,69,94,7,,,,
26377.72189,84,120,7,,,,
26397.70511,87,114,9,,,,
26417.68834,74,104,8,,,,
26437.67156,83,113,5,,,,
26457.65479,79,114,4,,,,
26477.63801,74,111,8,,,,
26497.62124,75,104,12,,,,
26517.60446,76,105,5,,,,
26537.58769,80,88,7,,,,
26557.57091,70,109,6,,,,
26577.55414,78,118,8,,,,
26597.53736,79,104,9,,,,
26617.52059,79,111,9,,,,
26637.50381,84,103,9,,,,
26657.48704,68,103,5,,,,
26677.47026,69,97,9,,,,
26697.45349,69,113,7,,,,
26717.43671,75,102,8,,,,
26737.41994,64,114,3,,,,
26757.40316,82,117,3,,,,
26777.38639,73,114,5,,,,
26797.36961,76,112,5,,,,
26817.35284,63,100,7,,,,
26837.33606,52,97,6,,,,
26857.31929,49,95,4,,,,
26877.30251,50,112,6,,,,
26897.28574,55,116,6,,,,
26917.26896,28,105,4,,,,
26937.25219,53,113,8,,,,
26957.23541,57,113,5,,,,
26977.21864,55,130,4,,,,
26997.20186,43,104,2,,,,
27017.18509,65,119,5,,,,
27037.16831,50,117,3,,,,
27057.15153,54,116,6,,,,
27077.13476,41,127,8,,,,
27097.11798,46,124,5,,,,
27117.10121,52,123,4,,,,
27137.08443,46,155,6,,,,
27157.06766,46,153,3,,,,
27177.05088,51,154,3,,,,
27197.03411,43,153,6,,,,
27217.01733,53,161,4,,,,
27237.00056,53,181,5,,,,
27256.98378,48,188,5,,,,
27276.96701,43,184,3,,,,
27296.95023,42,174,9,,,,
27316.93346,47,199,4,,,,
27336.91668,37,172,1,,,,
27356.89991,43,172,6,,,,
27376.88313,45,180,6,,,,
27396.86636,45,144,4,,,,
27416.84958,44,152,2,,,,
27436.83281,40,175,5,,,,
27456.81603,46,127,5,,,,
27476.79926,40,140,3,,,,
27496.78248,36,144,1,,,,
27516.76571,31,127,4,,,,
27536.74893,15,139,1,,,,
27556.73216,27,121,6,,,,
27576.71538,38,127,5,,,,
27596.69861,24,114,1,,,,
27616.68183,28,124,5,,,,
27636.66506,41,114,3,,,,
27656.64828,37,109,3,,,,
27676.63151,33,111,5,,,,
27696.61473,29,141,3,,,,
27716.59796,28,124,6,,,,
27736.58118,27,134,5,,,,
27756.56441,24,118,8,,,,
27776.54763,32,115,2,,,,
27796.53085,29,101,6,,,,
27816.51408,30,129,3,,,,
27836.4973,38,142,3,,,,
27856.48053,32,135,6,,,,
27876.46375,30,121,2,,,,
27896.44698,27,130,9,,,,
27916.4302,23,118,3,,,,
27936.41343,28,115,2,,,,
27956.39665,23,107,3,,,,
27976.37988,31,94,6,,,,
27996.3631,26,98,2,,,,
28016.34633,24,113,2,,,,
28036.32955,27,128,3,,,,
28056.31278,24,108,6,,,,
28076.296,25,124,3,,,,
28096.27923,21,104,5,,,,
28116.26245,23,107,1,,,,
28136.24568,28,93,4,,,,
28156.2289,19,113,7,,,,
28176.21213,27,94,1,,,,
28196.19535,14,92,2,,,,
28216.17858,21,109,1,,,,
28236.1618,23,91,5,,,,
28256.14503,13,115,4,,,,
28276.12825,19,100,3,,,,
28296.11148,26,106,1,,,,
28316.0947,19,106,5,,,,
28336.07793,23,118,4,,,,
28356.06115,26,122,4,,,,
28376.04438,17,108,5,,,,
28396.0276,22,115,1,,,,
28416.01083,20,120,3,,,,
28435.99405,18,109,6,,,,
28455.97728,24,130,6,,,,
28475.9605,20,118,2,,,,
28495.94373,15,130,1,,,,
28515.92695,22,124,3,,,,
28535.91018,12,105,6,,,,
28555.8934,17,129,2,,,,
28575.87662,16,97,4,,,,
28595.85985,21,128,4,,,,
28615.84307,21,120,3,,,,
28635.8263,14,107,2,,,,
28655.80952,18,87,1,,,,
28675.79275,12,99,0,,,,
28695.77597,16,137,4,,,,
28715.7592,13,110,5,,,,
28735.74242,13,99,3,,,,
28755.72565,11,107,6,,,,
28775.70887,12,100,4,,,,
28795.6921,13,108,3,,,,
28815.67532,14,84,2,,,,
28835.65855,20,118,4,,,,
28855.64177,17,83,4,,,,
28875.625,17,112,4,,,,
28895.60822,13,110,5,,,,
28915.59145,6,93,5,,,,
28935.57467,10,102,5,,,,
28955.5579,15,102,2,,,,
28975.54112,13,134,4,,,,
28995.52435,14,106,3,,,,
29015.50757,12,102,0,,,,
29035.4908,14,124,3,,,,
29055.47402,11,112,3,,,,
29075.45725,11,110,2,,,,
29095.44047,9,132,3,,,,
29115.4237,10,113,4,,,,
29135.40692,10,87,1,,,,
29155.39015,8,112,5,,,,
29175.37337,11,106,2,,,,
29195.3566,11,110,1,,,,
29215.33982,13,124,4,,,,
29235.32305,8,98,2,,,,
29255.30627,12,126,1,,,,
29275.2895,9,114,4,,,,
29295.27272,13,102,1,,,,
29315.25594,10,88,3,,,,
29335.23917,5,101,1,,,,
29355.22239,10,113,2,,,,
29375.20562,7,96,1,,,,
29395.18884,10,105,4,,,,
29415.17207,7,98,2,,,,
29435.15529,10,93,2,,,,
29455.13852,2,97,5,,,,
29475.12174,5,117,0,,,,
29495.10497,4,107,0,,,,
29515.08819,7,121,2,,,,
29535.07142,6,87,4,,,,
29555.05464,7,109,3,,,,
29575.03787,2,100,3,,,,
29595.02109,2,106,3,,,,
29615.00432,5,109,2,,,,
29634.98754,8,89,4,,,,
29654.97077,5,119,2,,,,
29674.95399,4,103,2,,,,
29694.93722,1,107,2,,,,
29714.92044,2,113,1,,,,
29734.90367,2,124,3,,,,
29754.88689,7,118,2,,,,
29774.87012,3,102,4,,,,
29794.85334,6,107,1,,,,
29814.83657,6,112,1,,,,
29834.81979,12,100,2,,,,
29854.80302,4,110,2,,,,
29874.78624,4,120,6,,,,
29894.76947,5,125,1,,,,
29914.75269,6,92,1,,,,
29934.73592,0,108,3,,,,
29954.71914,4,110,2,,,,
29974.70237,5,90,2,,,,
29994.68559,8,119,4,,,,
30014.66882,4,98,2,,,,
30034.65204,6,96,5,,,,
30054.63527,6,89,1,,,,
30074.61849,3,118,6,,,,
30094.60171,5,91,6,,,,
30114.58494,6,100,2,,,,
30134.56816,2,100,2,,,,
30154.55139,6,118,6,,,,
30174.53461,4,94,3,,,,
30194.51784,4,104,1,,,,
30214.50106,6,111,3,,,,
30234.48429,3,114,2,,,,
30254.46751,3,130,5,,,,
30274.45074,5,106,3,,,,
30294.43396,8,99,4,,,,
30314.41719,3,96,2,,,,
30334.40041,5,103,2,,,,
30354.38364,2,110,4,,,,
30374.36686,1,115,4,,,,
30394.35009,0,95,2,,,,
30414.33331,3,107,1,,,,
30434.31654,4,113,2,,,,
30454.29976,4,132,6,,,,
30474.28299,4,77,5,,,,
30494.26621,5,100,7,,,,
30514.24944,7,103,7,,,,
30534.23266,3,102,6,,,,
30554.21589,6,102,4,,,,
30574.19911,4,120,1,,,,
30594.18234,1,107,4,,,,
30614.16556,1,107,5,,,,
30634.14879,3,89,2,,,,
30654.13201,9,101,2,,,,
30674.11524,0,104,3,,,,
30694.09846,4,125,3,,,,
30714.08169,4,105,3,,,,
30734.06491,5,96,3,,,,
30754.04814,6,105,1,,,,
30774.03136,7,108,2,,,,
30794.01459,4,116,3,,,,
30813.99781,7,133,2,,,,
30833.98103,2,110,1,,,,
30853.96426,5,92,0,,,,
30873.94748,8,97,7,,,,
30893.93071,2,89,3,,,,
30913.91393,3,119,0,,,,
30933.89716,1,106,3,,,,
30953.88038,5,102,2,,,,
30973.86361,2,112,3,,,,
30993.84683,3,102,2,,,,
31013.83006,6,109,4,,,,
31033.81328,4,98,3,,,,
31053.79651,4,106,3,,,,
31073.77973,5,112,2,,,,
31093.76296,1,118,1,,,,
31113.74618,3,104,2,,,,
31133.72941,3,87,5,,,,
31153.71263,5,98,2,,,,
31173.69586,4,107,6,,,,
31193.67908,5,96,6,,,,
31213.66231,6,96,5,,,,
31233.64553,6,96,2,,,,
31253.62876,4,93,0,,,,
31273.61198,7,123,3,,,,
31293.59521,5,112,4,,,,
31313.57843,5,118,4,,,,
31333.56166,3,124,4,,,,
31353.54488,4,97,2,,,,
31373.52811,5,88,0,,,,
31393.51133,5,93,4,,,,
31413.49456,5,124,0,,,,
31433.47778,5,99,2,,,,
31453.46101,2,106,4,,,,
31473.44423,3,125,3,,,,
31493.42746,6,108,1,,,,
31513.41068,5,103,2,,,,
31533.39391,1,112,1,,,,
31553.37713,3,98,3,,,,
31573.36036,1,116,4,,,,
31593.34358,4,112,1,,,,
31613.3268,3,135,2,,,,
31633.31003,2,94,2,,,,
31653.29325,3,117,0,,,,
31673.27648,4,118,1,,,,
31693.2597,7,111,3,,,,
31713.24293,4,112,4,,,,
31733.22615,2,123,2,,,,
31753.20938,1,118,2,,,,
31773.1926,3,129,1,,,,
31793.17583,1,119,1,,,,
31813.15905,4,118,4,,,,
31833.14228,2,124,1,,,,
31853.1255,6,126,2,,,,
31873.10873,1,139,1,,,,
31893.09195,2,105,4,,,,
31913.07518,2,115,2,,,,
31933.0584,4,110,1,,,,
31953.04163,3,100,3,,,,
31973.02485,1,112,5,,,,
31993.00808,3,125,0,,,,
32012.9913,5,117,3,,,,
32032.97453,5,132,2,,,,
32052.95775,3,117,1,,,,
32072.94098,4,118,0,,,,
32092.9242,3,126,1,,,,
32112.90743,3,132,4,,,,
32132.89065,1,121,2,,,,
32152.87388,8,126,4,,,,
32172.8571,7,141,3,,,,
32192.84033,1,150,5,,,,
32212.82355,4,129,3,,,,
32232.80678,4,139,4,,,,
32252.79,4,124,2,,,,
32272.77323,4,127,2,,,,
32292.75645,3,142,3,,,,
32312.73968,3,123,3,,,,
32332.7229,0,140,3,,,,
32352.70612,1,112,4,,,,
32372.68935,0,120,6,,,,
32392.67257,3,120,2,,,,
32412.6558,3,125,1,,,,
32432.63902,4,105,3,,,,
32452.62225,3,97,3,,,,
32472.60547,0,100,3,,,,
32492.5887,1,101,1,,,,
32512.57192,4,99,2,,,,
32532.55515,2,91,5,,,,
32552.53837,3,112,2,,,,
32572.5216,3,100,4,,,,
32592.50482,5,110,5,,,,
32612.48805,7,108,2,,,,
32632.47127,2,89,3,,,,
32652.4545,3,103,2,,,,
32672.43772,1,78,0,,,,
32692.42095,3,109,5,,,,
32712.40417,2,89,1,,,,
32732.3874,3,108,4,,,,
32752.37062,2,115,3,,,,
32772.35385,0,119,2,,,,
32792.33707,4,97,4,,,,
