Instrument,800N10666
Date,2023/05/18
Time,11:53:09
Assay #,0020
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),71.77s
Temperature (Detector),-27.0 C
Temperature (Ambient),42.72 C
Phase Count,3
Phases,"Phase 1(20s): 15.0kV, 20.0uA (No Filter)","Phase 2(20s): 50.0kV, 20.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 30.0kV, 25.0uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.7696,0.2286
13,Al2O3,13.3265,0.155
14,SiO2,39.3893,0.1718
15,P,0.0178,0.0054
16,S,0.0,0.0072
17,Cl,0.0,0.0028
19,K2O,0.3002,0.0051
20,Ca,0.1139,0.0036
22,Ti,1.2223,0.0114
23,V,0.0,0.0051
24,Cr,0.0851,0.0029
25,Mn,0.0555,0.0025
26,Fe,19.6867,0.0171
27,Co,0.089,0.003
28,Ni,0.0502,0.0014
29,Cu,0.0763,0.0009
30,Zn,0.0041,0.0003
31,Ga,0.0013,0.0003
33,As,0.0027,0.0016
34,Se,0.0001,0.0002
37,Rb,0.003,0.0002
38,Sr,0.0027,0.0002
39,Y,0.001,0.0002
40,Zr,0.0189,0.0003
41,Nb,0.001,0.0001
42,Mo,0.0012,0.0006
45,Rh,0.0,0.0004
46,Pd,0.0,0.0004
48,Cd,0.0,0.0001
50,Sn,0.0,0.0019
51,Sb,0.0,0.0007
56,Ba,0.0217,0.0026
57,La,0.0,0.0074
58,Ce,0.0104,0.0049
72,Hf,0.0,0.002
73,Ta,0.0,0.0025
74,W,0.0007,0.001
78,Pt,0.0,0.0006
79,Au,0.0,0.0003
80,Hg,0.0002,0.0004
81,Tl,0.0,0.0005
82,Pb,0.0,0.0011
83,Bi,0.0034,0.0005
90,Th,0.0007,0.0004
92,U,0.0009,0.0003
 
 
SPECTRA:
eV Channel Start,0.1608538031578064,0.15610980987548828,-0.13984590768814087
eV per Channel,19.995704650878906,19.995704650878906,19.995704650878906
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.1608538031578064,0,0,0
20.156558454036713,0,0,0
40.15226310491562,0,0,0
60.147967755794525,0,0,0
80.14367240667343,0,0,0
100.13937705755234,0,0,0
120.13508170843124,0,0,0
140.13078635931015,0,0,0
160.12649101018906,0,0,0
180.12219566106796,0,0,0
200.11790031194687,0,0,0
220.11360496282578,0,0,0
240.10930961370468,0,0,0
260.1050142645836,0,0,0
280.1007189154625,0,0,0
300.0964235663414,3,2,1
320.0921282172203,36,50,37
340.0878328680992,388,432,404
360.0835375189781,1822,2280,2144
380.079242169857,4098,5275,4433
400.07494682073593,4030,5100,4600
420.07065147161484,1781,2222,2066
440.06635612249374,389,468,481
460.06206077337265,39,46,40
480.05776542425156,2,3,4
500.05347007513046,2,3,1
520.0491747260094,0,1,1
540.0448793768883,0,2,0
560.0405840277672,1,1,1
580.0362886786461,24,209,105
600.031993329525,21,192,112
620.0276979804039,20,237,88
640.0234026312828,28,213,87
660.0191072821617,25,223,99
680.0148119330406,18,236,86
700.0105165839195,18,196,105
720.0062212347984,24,211,92
740.0019258856773,29,242,75
759.9976305365562,17,212,92
779.9933351874352,19,235,102
799.989039838314,22,219,93
819.984744489193,21,199,85
839.9804491400719,26,205,94
859.9761537909508,26,205,77
879.9718584418297,33,185,94
899.9675630927086,49,224,94
919.9632677435875,96,169,77
939.9589723944664,75,184,75
959.9546770453453,81,166,94
979.9503816962242,58,199,98
999.9460863471031,48,195,99
1019.941790997982,41,199,98
1039.937495648861,49,159,74
1059.9332002997398,51,204,92
1079.9289049506187,64,172,95
1099.9246096014977,58,176,78
1119.9203142523766,52,174,82
1139.9160189032555,46,201,99
