Instrument,800N10666
Date,2023/05/18
Time,11:39:31
Assay #,0009
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.7s
Temperature (Detector),-27.0 C
Temperature (Ambient),37.44 C
Phase Count,3
Phases,"Phase 1(20s): 15.0kV, 20.0uA (No Filter)","Phase 2(20s): 50.0kV, 20.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 30.0kV, 25.0uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.6689,0.2261
13,Al2O3,13.0229,0.1529
14,SiO2,38.88,0.1704
15,P,0.0127,0.0053
16,S,0.0,0.0071
17,Cl,0.0028,0.0028
19,K2O,0.2976,0.005
20,Ca,0.1163,0.0036
22,Ti,1.2162,0.0113
23,V,0.0,0.005
24,Cr,0.0844,0.0029
25,Mn,0.0634,0.0025
26,Fe,19.5159,0.017
27,Co,0.0887,0.003
28,Ni,0.0514,0.0014
29,Cu,0.0781,0.0009
30,Zn,0.004,0.0003
31,Ga,0.0013,0.0003
33,As,0.005,0.0018
34,Se,0.0001,0.0002
37,Rb,0.003,0.0002
38,Sr,0.0028,0.0002
39,Y,0.0011,0.0002
40,Zr,0.0193,0.0003
41,Nb,0.0009,0.0001
42,Mo,0.0025,0.0006
45,Rh,0.0,0.0004
46,Pd,0.0,0.0004
48,Cd,0.0,0.0001
50,Sn,0.0,0.0019
51,Sb,0.0,0.0008
56,Ba,0.0221,0.0026
57,La,0.0076,0.0074
58,Ce,0.003,0.005
72,Hf,0.0,0.002
73,Ta,0.001,0.0024
74,W,0.0,0.0009
78,Pt,0.0,0.0007
79,Au,0.0,0.0003
80,Hg,0.0003,0.0004
81,Tl,0.0,0.0005
82,Pb,0.0,0.0012
83,Bi,0.003,0.0005
90,Th,0.0006,0.0004
92,U,0.0009,0.0003
 
 
SPECTRA:
eV Channel Start,-0.002341214334592223,-0.11964856088161469,0.167933851480484
eV per Channel,19.995704650878906,19.995704650878906,19.995704650878906
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.002341214334592223,0,0,0
19.993363436544314,0,0,0
39.98906808742322,0,0,0
59.98477273830213,0,0,0
79.98047738918103,0,0,0
99.97618204005994,0,0,0
119.97188669093885,0,0,0
139.96759134181775,0,0,0
159.96329599269666,0,0,0
179.95900064357556,0,0,0
199.95470529445447,0,0,0
219.95040994533338,0,0,0
239.94611459621228,0,0,0
259.9418192470912,0,0,0
279.9375238979701,0,0,0
299.933228548849,1,3,1
319.9289331997279,38,36,37
339.9246378506068,353,449,418
359.9203425014857,1822,2349,1991
379.9160471523646,4068,5095,4696
399.91175180324353,3947,5183,4525
419.90745645412244,1847,2319,1964
439.90316110500135,368,504,427
459.89886575588025,41,52,46
479.89457040675916,6,2,6
499.89027505763806,1,2,1
519.885979708517,2,0,1
539.8816843593959,1,0,1
559.8773890102748,0,1,0
579.8730936611537,24,207,103
599.8687983120326,33,203,90
619.8645029629115,28,205,91
639.8602076137904,16,238,91
659.8559122646693,26,210,88
679.8516169155482,18,178,107
699.8473215664271,25,212,82
719.843026217306,25,227,103
739.8387308681849,17,204,88
759.8344355190638,19,208,91
779.8301401699428,18,199,101
799.8258448208217,28,224,93
819.8215494717006,43,173,98
839.8172541225795,22,176,89
859.8129587734584,29,206,106
879.8086634243373,33,210,79
899.8043680752162,69,178,98
919.8000727260951,78,184,91
939.795777376974,67,195,91
959.7914820278529,85,211,94
979.7871866787318,54,190,72
999.7828913296107,51,183,94
1019.7785959804896,32,184,79
1039.7743006313685,42,203,91
1059.7700052822474,61,193,80
1079.7657099331263,51,181,87
1099.7614145840053,63,184,79
1119.7571192348842,43,168,89
1139.752823885763,43,178,84
1159.748528536642,41,188,96
1179.7442331875209,45,185,87
1199.7399378383998,55,177,93
1219.7356424892787,62,189,101
1239.7313471401576,70,162,86
1259.7270517910365,59,196,79
1279.7227564419154,50,196,75
1299.7184610927943,40,187,80
1319.7141657436732,35,151,83
1339.7098703945521,47,175,77
1359.705575045431,39,187,64
1379.70127969631,72,188,80
1399.6969843471888,157,173,79
1419.6926889980678,432,172,105
1439.6883936489467,969,196,129
1459.6840982998256,1599,199,145
1479.6798029507045,1996,181,143
1499.6755076015834,1744,168,133
1519.6712122524623,1141,180,115
1539.6669169033412,577,164,79
1559.66262155422,273,170,86
1579.658326205099,167,176,67
1599.654030855978,142,164,68
1619.6497355068568,193,151,67
1639.6454401577357,458,167,68
1659.6411448086146,1544,155,83
1679.6368494594935,4109,200,132
1699.6325541103724,8523,192,226
1719.6282587612513,12644,205,272
1739.6239634121303,13986,216,323
1759.6196680630092,11160,207,283
1779.615372713888,6694,172,189
1799.611077364767,3309,183,140
1819.6067820156459,1631,158,96
1839.6024866665248,921,172,77
1859.5981913174037,599,177,80
1879.5938959682826,360,176,68
1899.5896006191615,182,180,60
1919.5853052700404,127,153,59
1939.5810099209193,107,177,53
1959.5767145717982,103,165,73
1979.5724192226771,91,164,60
1999.568123873556,85,162,70
2019.563828524435,105,151,75
2039.5595331753138,107,167,66
2059.5552378261928,87,167,62
2079.5509424770717,92,171,63
2099.5466471279506,68,171,69
2119.5423517788295,66,171,67
2139.5380564297084,77,175,52
2159.5337610805873,95,169,52
2179.529465731466,68,147,65
2199.525170382345,91,166,61
2219.520875033224,101,142,63
2239.516579684103,155,166,45
2259.512284334982,201,173,76
2279.5079889858607,292,166,46
2299.5036936367396,360,167,74
2319.4993982876185,337,135,43
2339.4951029384974,346,187,54
2359.4908075893763,274,162,43
2379.4865122402553,218,174,41
2399.482216891134,179,140,64
2419.477921542013,179,145,48
2439.473626192892,178,152,49
2459.469330843771,163,155,51
2479.46503549465,193,161,39
2499.4607401455287,167,154,61
2519.4564447964076,197,179,45
2539.4521494472865,196,166,45
2559.4478540981654,261,167,55
2579.4435587490443,392,149,47
2599.439263399923,623,164,52
2619.434968050802,1072,161,63
2639.430672701681,1745,167,52
2659.42637735256,2869,154,46
2679.422082003439,3516,146,50
2699.4177866543178,3782,154,45
2719.4134913051967,3377,141,55
2739.4091959560756,2595,145,61
2759.4049006069545,1873,147,55
2779.4006052578334,1720,162,59
2799.3963099087123,1911,154,42
2819.392014559591,2256,144,45
2839.38771921047,2291,127,56
2859.383423861349,2223,137,51
2879.379128512228,2118,157,77
2899.374833163107,1933,130,89
2919.3705378139857,2034,181,107
2939.3662424648646,2280,167,164
2959.3619471157435,2325,167,154
2979.3576517666224,2185,158,132
2999.3533564175013,1633,143,104
3019.3490610683803,1184,127,64
3039.344765719259,768,128,62
3059.340470370138,512,161,55
3079.336175021017,428,122,50
3099.331879671896,365,126,48
3119.327584322775,395,136,46
3139.3232889736537,501,128,57
3159.3189936245326,494,126,59
3179.3146982754115,518,129,61
3199.3104029262904,523,170,83
3219.3061075771693,549,182,123
3239.301812228048,710,250,212
3259.297516878927,975,280,291
3279.293221529806,1194,300,355
3299.288926180685,1419,312,395
3319.284630831564,1445,267,337
3339.2803354824428,1251,237,285
3359.2760401333217,930,175,182
3379.2717447842006,595,153,118
3399.2674494350795,378,166,105
3419.2631540859584,361,130,89
3439.2588587368373,294,177,106
3459.254563387716,369,199,149
3479.250268038595,364,192,168
3499.245972689474,384,217,188
3519.241677340353,396,194,159
3539.237381991232,371,186,177
3559.2330866421107,354,185,132
3579.2287912929896,422,143,111
3599.2244959438685,478,148,131
3619.2202005947474,611,156,109
3639.2159052456263,828,152,162
3659.2116098965053,1082,146,200
3679.207314547384,1311,152,215
3699.203019198263,1278,164,239
3719.198723849142,1127,154,191
3739.194428500021,826,144,136
3759.1901331509,615,135,104
3779.1858378017787,383,121,78
3799.1815424526576,270,115,58
3819.1772471035365,247,108,39
3839.1729517544154,203,88,51
3859.1686564052943,169,109,46
3879.164361056173,192,105,37
3899.160065707052,224,114,57
3919.155770357931,244,95,52
3939.15147500881,281,105,44
3959.147179659689,302,104,70
3979.1428843105678,345,102,65
3999.1385889614467,337,108,63
4019.1342936123256,394,100,61
4039.1299982632045,401,88,69
4059.1257029140834,402,100,69
4079.1214075649623,374,85,58
4099.117112215841,360,117,57
4119.11281686672,330,79,75
4139.108521517599,334,107,41
4159.104226168478,306,102,37
4179.099930819357,279,90,57
4199.095635470236,272,75,58
4219.091340121115,318,94,50
4239.0870447719935,285,86,47
