Instrument,800N10666
Date,2023/05/18
Time,11:33:18
Assay #,0004
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),72.6s
Temperature (Detector),-27.0 C
Temperature (Ambient),33.33 C
Phase Count,3
Phases,"Phase 1(20s): 15.0kV, 20.0uA (No Filter)","Phase 2(20s): 50.0kV, 20.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 30.0kV, 25.0uA (Ti:25um/Al:300um)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,1.1642,0.2319
13,Al2O3,12.7755,0.1518
14,SiO2,38.3421,0.1688
15,P,0.0149,0.0053
16,S,0.0,0.0071
17,Cl,0.0005,0.0027
19,K2O,0.284,0.005
20,Ca,0.1073,0.0035
22,Ti,1.2047,0.0112
23,V,0.0,0.005
24,Cr,0.0861,0.0028
25,Mn,0.0611,0.0025
26,Fe,19.4283,0.0169
27,Co,0.0728,0.0029
28,Ni,0.0517,0.0014
29,Cu,0.0759,0.0009
30,Zn,0.0035,0.0003
31,Ga,0.0009,0.0003
33,As,0.0015,0.0016
34,Se,0.0002,0.0002
37,Rb,0.0031,0.0002
38,Sr,0.0024,0.0002
39,Y,0.0009,0.0002
40,Zr,0.0194,0.0003
41,Nb,0.0009,0.0001
42,Mo,0.0008,0.0006
46,Pd,0.0,0.0004
48,Cd,0.0001,0.0001
50,Sn,0.0,0.0018
51,Sb,0.0,0.0008
56,Ba,0.0162,0.0026
57,La,0.0072,0.0074
58,Ce,0.0,0.0052
72,Hf,0.0,0.002
73,Ta,0.0,0.0024
74,W,0.0027,0.001
78,Pt,0.0,0.0006
79,Au,0.0,0.0003
80,Hg,0.0,0.0004
81,Tl,0.0,0.0005
82,Pb,0.0,0.0011
83,Bi,0.0031,0.0004
90,Th,0.0002,0.0004
92,U,0.0009,0.0003
 
 
SPECTRA:
eV Channel Start,-0.2338280975818634,-0.11670487374067307,0.7664414048194885
eV per Channel,19.995704650878906,19.995704650878906,19.995704650878906
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.2338280975818634,0,0,0
19.761876553297043,0,0,0
39.75758120417595,0,0,0
59.753285855054855,0,0,0
79.74899050593376,0,0,0
99.74469515681267,0,0,0
119.74039980769157,0,0,0
139.73610445857048,0,0,0
159.7318091094494,0,0,0
179.7275137603283,0,0,0
199.7232184112072,0,0,0
219.7189230620861,0,0,0
239.714627712965,0,0,0
259.7103323638439,0,0,0
279.7060370147228,0,0,0
299.70174166560173,2,0,4
319.69744631648064,26,39,37
339.69315096735954,392,482,449
359.68885561823845,1840,2312,2205
379.68456026911736,3998,5089,4674
399.68026491999626,3999,5042,4455
419.67596957087517,1895,2383,2020
439.6716742217541,423,483,375
459.667378872633,47,50,42
479.6630835235119,6,3,5
499.6587881743908,0,0,0
519.6544928252697,1,2,0
539.6501974761486,1,0,0
559.6459021270275,0,1,1
579.6416067779064,19,241,77
599.6373114287853,23,194,94
619.6330160796642,19,231,97
639.6287207305431,24,225,97
659.624425381422,25,215,72
679.620130032301,28,207,110
699.6158346831799,22,187,92
719.6115393340588,20,197,94
739.6072439849377,24,225,92
759.6029486358166,15,202,108
779.5986532866955,22,179,83
799.5943579375744,22,191,92
819.5900625884533,21,207,87
839.5857672393322,33,189,85
859.5814718902111,34,215,97
879.57717654109,38,195,88
899.5728811919689,60,172,79
919.5685858428478,59,205,88
939.5642904937267,98,168,85
959.5599951446056,90,191,84
979.5556997954845,66,207,80
999.5514044463634,46,182,78
1019.5471090972424,41,186,91
1039.5428137481213,40,173,84
1059.5385183990002,57,197,98
1079.534223049879,56,220,85
1099.529927700758,51,209,93
1119.525632351637,32,183,90
1139.5213370025158,42,181,96
1159.5170416533947,42,193,94
1179.5127463042736,70,171,89
1199.5084509551525,83,168,86
1219.5041556060314,65,187,83
1239.4998602569103,58,192,84
1259.4955649077892,73,169,72
1279.4912695586681,42,162,73
1299.486974209547,41,166,89
1319.482678860426,39,173,61
1339.4783835113049,42,165,85
1359.4740881621838,39,143,81
1379.4697928130627,77,189,53
1399.4654974639416,155,173,88
1419.4612021148205,427,185,109
1439.4569067656994,983,198,114
1459.4526114165783,1602,191,128
1479.4483160674572,1881,228,141
1499.444020718336,1699,180,149
1519.439725369215,1080,174,108
1539.435430020094,574,179,75
1559.4311346709728,273,167,71
1579.4268393218517,166,167,69
1599.4225439727306,143,156,67
1619.4182486236095,170,166,63
1639.4139532744884,470,148,63
1659.4096579253674,1485,176,73
1679.4053625762463,4075,184,132
1699.4010672271252,8410,206,225
1719.396771878004,12547,220,298
1739.392476528883,13687,236,360
1759.388181179762,11066,214,251
1779.3838858306408,6726,170,204
1799.3795904815197,3331,192,117
1819.3752951323986,1567,194,80
1839.3709997832775,919,166,80
1859.3667044341564,547,152,66
1879.3624090850353,330,186,66
1899.3581137359142,202,175,69
1919.3538183867931,129,163,53
1939.349523037672,103,151,82
1959.345227688551,84,159,71
1979.3409323394299,90,155,64
1999.3366369903088,102,175,63
2019.3323416411877,134,162,71
2039.3280462920666,112,178,61
2059.3237509429455,68,184,55
2079.3194555938244,78,164,55
2099.3151602447033,66,174,65
2119.310864895582,71,168,45
2139.306569546461,81,171,56
2159.30227419734,80,178,59
2179.297978848219,93,177,53
2199.293683499098,84,166,51
2219.2893881499767,93,159,49
2239.2850928008556,144,141,42
2259.2807974517345,225,152,42
2279.2765021026134,274,160,53
2299.2722067534924,365,169,40
2319.2679114043713,356,155,48
2339.26361605525,301,167,58
2359.259320706129,279,151,56
2379.255025357008,223,148,66
2399.250730007887,211,168,46
2419.246434658766,166,166,57
2439.2421393096447,183,160,54
2459.2378439605236,140,154,41
2479.2335486114025,202,153,48
2499.2292532622814,196,161,47
2519.2249579131603,189,161,43
2539.2206625640392,226,157,50
2559.216367214918,269,154,44
2579.212071865797,365,166,61
2599.207776516676,578,162,64
2619.203481167555,1079,148,64
2639.1991858184338,1779,145,51
2659.1948904693127,2812,160,38
2679.1905951201916,3603,170,56
2699.1862997710705,3800,143,36
2719.1820044219494,3459,146,46
2739.1777090728283,2450,156,46
2759.173413723707,1912,141,61
2779.169118374586,1725,147,54
2799.164823025465,1938,141,72
2819.160527676344,2325,134,65
2839.156232327223,2312,148,41
2859.1519369781017,2298,122,49
2879.1476416289806,2030,130,74
2899.1433462798595,1990,161,75
2919.1390509307384,2013,192,117
2939.1347555816174,2263,147,140
2959.1304602324963,2360,175,143
2979.126164883375,2061,145,166
2999.121869534254,1675,165,92
3019.117574185133,1195,135,76
3039.113278836012,818,121,51
3059.108983486891,578,125,50
3079.1046881377697,417,125,42
3099.1003927886486,393,138,38
3119.0960974395275,448,138,54
3139.0918020904064,470,135,55
3159.0875067412853,571,145,60
3179.0832113921642,497,126,48
3199.078916043043,487,173,107
3219.074620693922,537,181,153
3239.070325344801,664,231,231
3259.06602999568,1037,290,297
3279.0617346465588,1213,287,331
3299.0574392974377,1383,305,372
3319.0531439483166,1430,292,329
3339.0488485991955,1188,241,274
3359.0445532500744,887,206,180
3379.0402579009533,561,167,108
3399.035962551832,381,156,101
3419.031667202711,309,143,98
3439.02737185359,303,144,115
3459.023076504469,311,193,158
