Instrument,800N10235
Date,2023/02/27
Time,15:34:15
Assay #,0002
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),84.31s
Temperature (Detector),-27.0 C
Temperature (Ambient),48.33 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.7uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 15.55uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 9.0uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.5884,0.264
13,Al2O3,12.185,0.1712
14,SiO2,36.4547,0.1909
15,P,0.0071,0.006
16,S,0.0,0.0052
17,Cl,0.0081,0.0038
19,K2O,0.2493,0.0058
20,Ca,0.157,0.0038
22,Ti,0.9412,0.0047
23,V,0.0165,0.0062
24,Cr,0.0954,0.0048
25,Mn,0.0496,0.0026
26,Fe,17.9533,0.0256
27,Co,0.0367,0.0045
28,Ni,0.0415,0.0015
29,Cu,0.0732,0.0015
30,Zn,0.0033,0.0004
31,Ga,0.0018,0.0004
33,As,0.0007,0.0005
34,Se,0.0001,0.0001
37,Rb,0.0024,0.0002
38,Sr,0.0033,0.0003
39,Y,0.001,0.0002
40,Zr,0.0138,0.0003
41,Nb,0.0009,0.0002
42,Mo,0.0032,0.0009
45,Rh,0.0,0.0004
46,Pd,0.0,0.0004
48,Cd,0.0001,0.0004
49,In,0.0103,0.0001
50,Sn,0.0,0.0016
51,Sb,0.0007,0.0015
52,Te,0.0004,0.0001
56,Ba,0.0403,0.005
57,La,0.0079,0.007
58,Ce,0.0133,0.0088
72,Hf,0.0003,0.0002
73,Ta,0.0011,0.0029
74,W,0.0004,0.0014
79,Au,0.0,0.0004
80,Hg,0.0001,0.0005
81,Tl,0.0001,0.0007
82,Pb,0.0036,0.0007
83,Bi,0.0013,0.0008
90,Th,0.0009,0.0004
92,U,0.0008,0.0004
 
 
SPECTRA:
eV Channel Start,-0.04798823595046997,-0.19223308563232422,0.1919993907213211
eV per Channel,20.025529861450195,20.025529861450195,20.025529861450195
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.04798823595046997,0,0,0
19.977541625499725,0,0,0
40.00307148694992,0,0,0
60.028601348400116,0,0,0
80.05413120985031,0,0,0
100.0796610713005,0,0,0
120.1051909327507,0,0,0
140.1307207942009,0,0,0
160.1562506556511,0,0,0
180.1817805171013,0,0,0
200.20731037855148,0,0,0
220.23284024000168,0,0,0
240.25837010145187,0,0,0
260.28389996290207,0,0,0
280.30942982435226,0,0,0
300.33495968580246,2,2,2
320.36048954725266,53,69,47
340.38601940870285,505,570,480
360.41154927015305,2382,2508,2337
380.43707913160324,5138,5088,5092
400.46260899305344,5230,5328,5117
420.48813885450363,2338,2523,2270
440.5136687159538,539,570,447
460.539198577404,65,71,52
480.5647284388542,5,7,4
500.5902583003044,1,1,1
520.6157881617546,0,0,0
540.6413180232048,0,0,0
560.666847884655,0,0,0
580.6923777461052,33,114,16
600.7179076075554,43,120,11
620.7434374690056,34,126,15
640.7689673304558,46,138,20
660.794497191906,44,127,15
680.8200270533562,45,125,14
700.8455569148064,52,116,22
720.8710867762566,31,139,19
740.8966166377068,25,132,17
760.922146499157,39,100,23
780.9476763606071,44,127,17
800.9732062220573,49,111,24
820.9987360835075,39,133,20
841.0242659449577,39,128,18
861.0497958064079,38,140,21
881.0753256678581,33,103,20
901.1008555293083,32,116,33
921.1263853907585,45,126,58
941.1519152522087,38,124,52
961.1774451136589,36,119,63
981.2029749751091,33,120,54
1001.2285048365593,31,127,29
1021.2540346980095,22,111,27
1041.2795645594597,49,112,26
1061.3050944209099,33,118,32
1081.33062428236,39,115,50
1101.3561541438103,35,79,35
1121.3816840052605,30,112,37
1141.4072138667107,30,111,34
1161.4327437281609,34,112,22
1181.458273589611,28,110,38
1201.4838034510612,33,108,50
1221.5093333125114,43,112,48
1241.5348631739616,34,78,48
1261.5603930354118,38,99,43
1281.585922896862,37,92,41
1301.6114527583122,36,90,28
1321.6369826197624,28,104,20
1341.6625124812126,26,108,26
1361.6880423426628,33,96,23
1381.713572204113,37,93,49
1401.7391020655632,39,87,125
1421.7646319270134,36,108,335
1441.7901617884636,46,118,772
1461.8156916499138,76,92,1326
1481.841221511364,56,114,1492
1501.8667513728142,62,119,1238
1521.8922812342644,55,108,750
1541.9178110957146,39,94,422
1561.9433409571648,19,90,180
1581.968870818615,30,99,118
1601.9944006800652,24,102,95
1622.0199305415154,22,95,149
1642.0454604029655,25,83,425
1662.0709902644157,48,65,1334
1682.096520125866,62,104,3377
1702.1220499873161,98,117,6759
1722.1475798487663,127,130,9718
1742.1731097102165,98,128,10054
1762.1986395716667,81,116,7715
1782.224169433117,68,98,4540
1802.249699294567,46,118,2170
1822.2752291560173,34,103,1016
1842.3007590174675,30,92,589
1862.3262888789177,19,86,333
1882.351818740368,28,100,195
1902.377348601818,29,109,133
1922.4028784632683,28,95,92
1942.4284083247185,34,100,70
1962.4539381861687,25,107,70
1982.4794680476189,22,77,65
2002.504997909069,25,91,77
2022.5305277705193,34,87,68
2042.5560576319695,28,95,64
2062.5815874934196,24,100,73
2082.60711735487,12,78,60
2102.63264721632,25,91,58
2122.6581770777702,26,90,57
2142.6837069392204,28,91,55
2162.7092368006706,18,96,58
2182.734766662121,22,85,68
2202.760296523571,23,97,60
2222.785826385021,21,100,84
2242.8113562464714,22,88,109
2262.8368861079216,23,83,162
2282.862415969372,24,111,193
2302.887945830822,17,93,210
2322.913475692272,23,88,261
2342.9390055537224,30,78,245
2362.9645354151726,25,85,195
2382.9900652766228,23,71,167
2403.015595138073,25,85,164
2423.041124999523,16,95,159
2443.0666548609734,25,102,128
2463.0921847224236,23,90,134
2483.1177145838737,20,89,142
2503.143244445324,28,89,120
2523.168774306774,20,80,143
2543.1943041682243,23,90,141
2563.2198340296745,20,105,200
2583.2453638911247,16,87,264
2603.270893752575,12,82,465
2623.296423614025,27,87,848
2643.3219534754753,24,92,1420
2663.3474833369255,18,81,2274
2683.3730131983757,29,92,2710
2703.398543059826,22,77,2796
2723.424072921276,27,84,2359
2743.4496027827263,22,82,1767
2763.4751326441765,24,80,1329
2783.5006625056267,29,90,1274
2803.526192367077,24,81,1413
2823.551722228527,18,86,1666
2843.5772520899773,17,77,1651
2863.6027819514275,20,77,1566
2883.6283118128777,33,81,1380
2903.653841674328,42,77,1335
2923.679371535778,48,88,1463
2943.7049013972282,60,69,1531
2963.7304312586784,60,89,1551
2983.7559611201286,38,104,1323
3003.781490981579,41,84,1016
3023.807020843029,28,70,745
3043.832550704479,20,72,462
3063.8580805659294,17,71,351
3083.8836104273796,16,75,267
3103.90914028883,17,74,270
3123.93467015028,19,74,286
3143.96020001173,14,88,302
3163.9857298731804,29,86,337
3184.0112597346306,33,97,329
3204.036789596081,35,100,370
3224.062319457531,63,113,384
3244.087849318981,83,134,480
3264.1133791804314,133,161,690
3284.1389090418816,126,157,850
3304.1644389033318,121,154,1017
3324.189968764782,114,156,987
3344.215498626232,97,133,793
3364.2410284876823,72,105,595
3384.2665583491325,53,97,396
3404.2920882105827,29,92,271
3424.317618072033,39,88,219
3444.343147933483,42,101,218
3464.3686777949333,61,108,217
3484.3942076563835,69,122,241
3504.4197375178337,73,119,221
3524.445267379284,76,98,227
3544.470797240734,55,96,263
3564.4963271021843,56,105,270
3584.5218569636345,39,97,313
3604.5473868250847,34,85,357
3624.572916686535,49,86,478
3644.598446547985,52,88,567
3664.6239764094353,80,90,759
3684.6495062708855,78,89,794
3704.6750361323357,74,115,807
3724.700565993786,78,75,715
3744.726095855236,53,83,550
3764.7516257166862,38,81,337
3784.7771555781364,22,61,276
3804.8026854395866,11,82,181
3824.828215301037,18,59,180
3844.853745162487,18,60,155
3864.879275023937,16,59,178
3884.9048048853874,21,53,155
3904.9303347468376,15,54,195
3924.955864608288,29,84,182
3944.981394469738,32,54,218
3965.006924331188,18,47,230
3985.0324541926384,32,66,308
4005.0579840540886,34,67,287
4025.083513915539,21,68,305
4045.109043776989,25,62,301
4065.134573638439,24,49,282
4085.1601034998894,22,60,258
4105.18563336134,18,45,233
4125.21116322279,29,58,256
4145.23669308424,18,67,243
4165.26222294569,18,54,227
4185.28775280714,23,62,211
4205.313282668591,23,62,226
4225.338812530041,17,62,245
4245.364342391491,21,46,257
4265.389872252941,20,51,258
4285.415402114391,19,61,268
4305.4409319758415,14,58,268
4325.466461837292,22,48,298
4345.491991698742,22,54,263
4365.517521560192,32,43,369
4385.543051421642,43,61,561
4405.5685812830925,124,71,1002
4425.594111144543,250,135,1787
4445.619641005993,348,159,3019
4465.645170867443,599,232,4516
4485.670700728893,810,294,5904
4505.6962305903435,836,326,6532
4525.721760451794,852,305,6244
4545.747290313244,693,259,5268
4565.772820174694,507,221,3916
4585.798350036144,409,189,2581
4605.823879897594,323,152,1701
4625.849409759045,327,136,1214
4645.874939620495,337,144,1049
4665.900469481945,314,131,923
4685.925999343395,231,111,790
4705.951529204845,180,91,683
4725.977059066296,111,87,532
4746.002588927746,76,61,479
4766.028118789196,49,63,490
4786.053648650646,61,50,458
4806.079178512096,50,51,519
4826.104708373547,55,65,585
4846.130238234997,86,63,690
4866.155768096447,111,74,878
4886.181297957897,132,84,1172
