Instrument,800N10235
Date,2023/02/27
Time,15:38:15
Assay #,0005
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),77.98s
Temperature (Detector),-27.0 C
Temperature (Ambient),49.22 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.7uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 15.55uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 9.0uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.7333,0.2731
13,Al2O3,12.1125,0.1713
14,SiO2,36.7368,0.1917
15,P,0.0016,0.0059
16,S,0.0,0.0052
17,Cl,0.0159,0.0038
19,K2O,0.2568,0.0057
20,Ca,0.1585,0.0037
22,Ti,0.9544,0.0047
23,V,0.027,0.0061
24,Cr,0.0812,0.0046
25,Mn,0.0562,0.0025
26,Fe,17.9945,0.0256
27,Co,0.0349,0.0045
28,Ni,0.0463,0.0015
29,Cu,0.074,0.0016
30,Zn,0.0028,0.0004
31,Ga,0.001,0.0004
33,As,0.0016,0.0005
34,Se,0.0002,0.0001
37,Rb,0.0024,0.0003
38,Sr,0.0024,0.0003
39,Y,0.001,0.0002
40,Zr,0.0132,0.0003
41,Nb,0.0014,0.0002
42,Mo,0.0042,0.0009
45,Rh,0.0,0.0004
48,Cd,0.0011,0.0004
49,In,0.01,0.0001
50,Sn,0.0017,0.0016
51,Sb,0.0007,0.0015
52,Te,0.0004,0.0
56,Ba,0.0418,0.005
57,La,0.0102,0.007
58,Ce,0.0113,0.0088
72,Hf,0.0005,0.0002
73,Ta,0.0027,0.0032
74,W,0.0,0.0014
80,Hg,0.0002,0.0006
81,Tl,0.0,0.0007
82,Pb,0.0032,0.0008
83,Bi,0.0006,0.0008
90,Th,0.0006,0.0005
92,U,0.0003,0.0004
 
 
SPECTRA:
eV Channel Start,0.14626578986644745,-0.2622590661048889,-0.05582890287041664
eV per Channel,20.025529861450195,20.025529861450195,20.025529861450195
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
0.14626578986644745,0,0,0
20.171795651316643,0,0,0
40.19732551276684,0,0,0
60.22285537421703,0,0,0
80.24838523566723,0,0,0
100.27391509711742,0,0,0
120.29944495856762,0,0,0
140.32497482001781,0,0,0
160.350504681468,0,0,0
180.3760345429182,0,0,0
200.4015644043684,0,0,0
220.4270942658186,0,0,0
240.4526241272688,0,0,0
260.478153988719,0,0,0
280.5036838501692,1,0,0
300.5292137116194,5,3,5
320.5547435730696,44,75,42
340.58027343451977,479,606,503
360.60580329596996,2442,2452,2365
380.63133315742016,5260,5107,4946
400.65686301887035,5073,5322,5119
420.68239288032055,2444,2506,2337
440.70792274177074,467,609,500
460.73345260322094,58,76,54
480.75898246467113,6,2,2
500.78451232612133,1,0,0
520.8100421875715,0,0,1
540.8355720490217,0,0,0
560.8611019104719,0,0,0
580.8866317719221,31,117,21
600.9121616333723,42,127,19
620.9376914948225,36,129,14
640.9632213562727,36,119,18
660.9887512177229,38,127,22
681.0142810791731,33,125,14
701.0398109406233,36,118,13
721.0653408020735,42,100,16
741.0908706635237,41,115,9
761.1164005249739,47,121,16
781.1419303864241,37,110,19
801.1674602478743,34,99,14
821.1929901093245,41,110,15
841.2185199707747,32,113,18
861.2440498322248,44,112,29
881.269579693675,29,122,25
901.2951095551252,31,120,38
921.3206394165754,41,117,42
941.3461692780256,41,120,66
961.3716991394758,29,111,57
981.397229000926,30,117,47
1001.4227588623762,33,109,26
1021.4482887238264,33,106,20
1041.4738185852766,40,128,24
1061.4993484467268,40,123,33
1081.524878308177,35,106,49
1101.5504081696272,47,107,44
1121.5759380310774,33,88,32
1141.6014678925276,38,122,33
1161.6269977539778,34,118,33
1181.652527615428,27,93,29
1201.6780574768782,29,103,44
1221.7035873383284,30,93,48
1241.7291171997786,28,104,60
1261.7546470612288,33,91,66
1281.780176922679,36,113,36
1301.8057067841291,32,82,34
1321.8312366455793,33,94,28
1341.8567665070295,35,103,28
1361.8822963684797,32,81,26
1381.90782622993,34,113,60
1401.9333560913801,32,91,119
1421.9588859528303,40,101,339
1441.9844158142805,47,96,828
1462.0099456757307,65,104,1291
1482.035475537181,60,114,1441
1502.061005398631,52,99,1239
1522.0865352600813,41,100,779
1542.1120651215315,41,104,384
1562.1375949829817,33,93,194
1582.1631248444319,35,92,111
1602.188654705882,25,94,86
1622.2141845673323,32,82,132
1642.2397144287825,37,78,403
1662.2652442902327,26,93,1333
1682.2907741516829,59,104,3405
1702.316304013133,83,112,6812
1722.3418338745832,105,110,9741
1742.3673637360334,104,145,10116
1762.3928935974836,107,136,7916
1782.4184234589338,84,104,4597
1802.443953320384,44,103,2122
1822.4694831818342,49,100,1098
1842.4950130432844,40,107,578
1862.5205429047346,30,98,356
1882.5460727661848,30,87,231
1902.571602627635,37,96,113
1922.5971324890852,26,116,70
1942.6226623505354,28,105,56
1962.6481922119856,31,90,63
1982.6737220734358,25,104,57
2002.699251934886,35,91,76
2022.7247817963362,24,84,66
2042.7503116577864,39,79,73
2062.7758415192366,30,97,55
2082.8013713806868,20,112,61
2102.826901242137,26,91,61
2122.852431103587,31,89,64
2142.8779609650373,26,85,59
2162.9034908264875,17,106,50
2182.9290206879377,20,87,62
2202.954550549388,29,101,62
2222.980080410838,24,109,57
2243.0056102722883,19,68,99
2263.0311401337385,26,99,159
2283.0566699951887,20,91,205
2303.082199856639,22,83,248
2323.107729718089,17,88,244
2343.1332595795393,15,83,250
2363.1587894409895,27,108,191
2383.1843193024397,19,82,164
2403.20984916389,22,85,160
2423.23537902534,19,74,136
2443.2609088867903,15,84,121
2463.2864387482405,22,91,126
2483.3119686096907,19,83,137
2503.337498471141,21,79,128
2523.363028332591,14,83,142
2543.3885581940413,18,79,153
2563.4140880554914,19,101,177
2583.4396179169416,20,99,271
2603.465147778392,20,99,512
2623.490677639842,24,88,883
2643.5162075012922,23,96,1494
2663.5417373627424,24,78,2208
2683.5672672241926,23,93,2773
2703.592797085643,13,85,2869
2723.618326947093,19,101,2437
2743.643856808543,30,96,1772
2763.6693866699934,25,86,1321
2783.6949165314436,24,82,1238
2803.720446392894,18,90,1476
2823.745976254344,16,85,1672
2843.771506115794,19,86,1735
2863.7970359772444,17,91,1583
2883.8225658386946,22,71,1462
2903.8480957001448,35,104,1340
