Instrument,800N10235
Date,2023/02/27
Time,15:39:34
Assay #,0006
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),78.02s
Temperature (Detector),-27.0 C
Temperature (Ambient),49.44 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 11.7uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 15.55uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 9.0uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.695,0.2751
13,Al2O3,12.3082,0.1727
14,SiO2,36.743,0.1918
15,P,0.0075,0.006
16,S,0.0,0.0052
17,Cl,0.0106,0.0038
19,K2O,0.2461,0.0057
20,Ca,0.1552,0.0038
22,Ti,0.9673,0.0047
23,V,0.0184,0.0061
24,Cr,0.0905,0.0048
25,Mn,0.0466,0.0024
26,Fe,18.0255,0.0256
27,Co,0.0321,0.0045
28,Ni,0.0488,0.0016
29,Cu,0.0776,0.0016
30,Zn,0.0034,0.0004
31,Ga,0.0006,0.0004
33,As,0.0029,0.0005
34,Se,0.0,0.0001
37,Rb,0.0024,0.0003
38,Sr,0.0032,0.0003
39,Y,0.001,0.0002
40,Zr,0.0129,0.0003
41,Nb,0.0009,0.0002
42,Mo,0.0023,0.0009
45,Rh,0.0,0.0004
46,Pd,0.0,0.0005
48,Cd,0.0005,0.0004
49,In,0.0103,0.0001
50,Sn,0.0002,0.0015
51,Sb,0.0006,0.0015
52,Te,0.0004,0.0001
56,Ba,0.0374,0.005
57,La,0.0018,0.0071
58,Ce,0.0109,0.0087
72,Hf,0.0005,0.0002
73,Ta,0.0038,0.003
74,W,0.0,0.0014
80,Hg,0.0008,0.0005
81,Tl,0.0,0.0007
82,Pb,0.0029,0.0007
83,Bi,0.0001,0.0008
90,Th,0.0014,0.0005
92,U,0.0005,0.0004
 
 
SPECTRA:
eV Channel Start,-0.00265330052934587,-0.24893434345722198,-0.19965055584907532
eV per Channel,20.025529861450195,20.025529861450195,20.025529861450195
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.00265330052934587,0,0,0
20.02287656092085,0,0,0
40.048406422371045,0,0,0
60.07393628382124,0,0,0
80.09946614527144,0,0,0
100.12499600672163,0,0,0
120.15052586817183,0,0,0
140.17605572962202,0,0,0
160.20158559107222,0,0,0
180.2271154525224,0,0,0
200.2526453139726,0,0,0
220.2781751754228,0,0,0
240.303705036873,0,0,0
260.3292348983232,0,0,0
280.3547647597734,0,0,0
300.3802946212236,5,2,1
320.4058244826738,54,48,40
340.431354344124,484,619,461
360.45688420557417,2460,2410,2275
380.48241406702437,5127,5262,5028
400.50794392847456,5127,5190,5103
420.53347378992476,2430,2571,2314
440.55900365137495,513,605,491
460.58453351282515,57,75,56
480.61006337427534,1,5,5
500.63559323572554,1,0,0
520.6611230971757,1,1,0
540.6866529586259,0,0,1
560.7121828200761,0,0,0
580.7377126815263,34,108,20
600.7632425429765,43,107,23
620.7887724044267,39,115,11
640.8143022658769,35,129,17
660.8398321273271,49,115,10
680.8653619887773,44,125,8
700.8908918502275,26,132,16
720.9164217116777,40,127,17
740.9419515731279,46,107,20
760.9674814345781,38,138,22
780.9930112960283,42,130,17
801.0185411574785,36,134,12
821.0440710189287,33,102,13
841.0696008803789,41,123,22
861.095130741829,27,114,31
881.1206606032792,41,105,34
901.1461904647294,34,111,32
921.1717203261796,35,120,62
941.1972501876298,35,108,68
961.22278004908,34,130,41
981.2483099105302,32,141,41
1001.2738397719804,43,113,35
1021.2993696334306,33,112,10
1041.3248994948808,43,100,40
1061.350429356331,34,95,44
1081.3759592177812,45,98,34
1101.4014890792314,42,109,42
1121.4270189406816,34,121,34
1141.4525488021318,36,114,34
1161.478078663582,25,101,32
1181.5036085250322,33,115,37
1201.5291383864824,43,99,41
1221.5546682479326,36,109,54
1241.5801981093828,29,111,56
1261.605727970833,37,93,51
1281.6312578322832,44,110,37
1301.6567876937333,41,109,44
1321.6823175551835,34,118,26
1341.7078474166337,35,118,19
1361.733377278084,35,89,28
1381.7589071395341,39,102,56
1401.7844370009843,43,100,114
1421.8099668624345,40,117,336
1441.8354967238847,51,120,813
1461.861026585335,62,108,1342
1481.886556446785,69,102,1443
1501.9120863082353,53,110,1245
1521.9376161696855,53,110,801
1541.9631460311357,53,104,403
1561.988675892586,25,87,212
1582.014205754036,25,102,129
1602.0397356154863,29,98,99
1622.0652654769365,28,96,134
1642.0907953383867,28,96,390
1662.1163251998369,44,98,1296
1682.141855061287,51,107,3449
1702.1673849227373,111,115,6881
1722.1929147841875,97,126,9565
1742.2184446456376,116,117,10111
1762.2439745070878,106,107,7836
1782.269504368538,73,105,4573
1802.2950342299882,41,101,2268
1822.3205640914384,42,113,1073
1842.3460939528886,37,103,624
1862.3716238143388,28,110,360
1882.397153675789,27,109,181
1902.4226835372392,27,99,136
1922.4482133986894,26,112,56
1942.4737432601396,26,94,63
1962.4992731215898,31,94,66
1982.52480298304,27,99,77
2002.5503328444902,18,96,73
2022.5758627059404,32,95,71
2042.6013925673906,29,78,70
2062.6269224288408,26,109,58
2082.652452290291,22,111,57
2102.677982151741,33,100,38
2122.7035120131914,24,76,60
2142.7290418746416,24,94,71
2162.7545717360917,29,97,59
2182.780101597542,27,96,69
2202.805631458992,23,79,55
2222.8311613204423,21,79,86
2242.8566911818925,18,110,102
2262.8822210433427,28,94,172
2282.907750904793,19,105,196
2302.933280766243,28,95,258
2322.9588106276933,23,84,243
2342.9843404891435,29,116,230
2363.0098703505937,26,97,213
2383.035400212044,28,79,155
2403.060930073494,23,78,147
2423.0864599349443,17,89,156
2443.1119897963945,16,90,116
2463.1375196578447,20,87,135
2483.163049519295,24,87,145
2503.188579380745,17,66,126
2523.2141092421953,18,87,122
2543.2396391036455,21,101,169
2563.2651689650957,20,81,199
2583.290698826546,17,81,259
2603.316228687996,26,72,492
2623.3417585494462,18,84,817
2643.3672884108964,15,90,1488
2663.3928182723466,22,96,2199
2683.418348133797,19,78,2725
2703.443877995247,19,71,2846
2723.469407856697,22,91,2432
2743.4949377181474,31,90,1739
2763.5204675795976,21,97,1280
2783.545997441048,24,85,1285
2803.571527302498,23,87,1448
2823.597057163948,25,73,1639
2843.6225870253984,22,91,1731
2863.6481168868486,22,90,1629
2883.673646748299,26,84,1463
2903.699176609749,42,99,1358
2923.724706471199,46,98,1519
2943.7502363326494,52,91,1560
2963.7757661940996,58,96,1595
2983.8012960555498,48,78,1346
3003.826825917,30,87,1031
3023.85235577845,24,84,733
3043.8778856399003,17,65,469
3063.9034155013505,11,65,318
3083.9289453628007,12,80,286
3103.954475224251,20,74,251
3123.980005085701,18,73,309
3144.0055349471513,13,77,333
3164.0310648086015,27,70,356
3184.0565946700517,26,72,349
3204.082124531502,28,89,364
3224.107654392952,52,107,410
3244.1331842544023,98,125,496
3264.1587141158525,113,168,672
3284.1842439773027,140,162,825
3304.209773838753,139,152,998
3324.235303700203,95,147,992
3344.2608335616533,80,130,785
3364.2863634231035,62,93,562
3384.3118932845537,36,87,418
3404.337423146004,28,86,287
3424.362953007454,37,85,233
3444.3884828689042,42,102,205
3464.4140127303544,68,111,213
3484.4395425918046,70,122,258
3504.465072453255,62,140,247
3524.490602314705,39,107,255
3544.516132176155,48,103,252
3564.5416620376054,55,87,287
3584.5671918990556,37,87,300
3604.592721760506,44,88,335
3624.618251621956,61,81,392
3644.643781483406,47,105,618
3664.6693113448564,68,94,762
3684.6948412063066,83,94,841
3704.720371067757,83,105,830
3724.745900929207,74,96,728
3744.771430790657,49,86,518
3764.7969606521074,56,65,352
3784.8224905135576,21,69,248
3804.8480203750078,24,65,176
3824.873550236458,18,58,180
3844.899080097908,13,71,176
3864.9246099593583,18,83,169
3884.9501398208085,12,63,179
3904.9756696822587,19,60,178
3925.001199543709,18,65,223
3945.026729405159,22,59,241
3965.0522592666093,13,72,242
3985.0777891280595,24,51,289
4005.1033189895097,23,56,306
4025.12884885096,28,66,294
4045.15437871241,34,55,279
4065.1799085738603,28,65,272
4085.2054384353105,24,70,243
4105.230968296761,20,74,282
4125.256498158211,26,61,228
4145.282028019661,16,55,244
4165.307557881111,18,66,258
4185.3330877425615,25,44,213
4205.358617604012,24,70,262
4225.384147465462,16,60,215
4245.409677326912,15,59,270
