Instrument,800N8731
Date,2023/05/11
Time,12:36:36
Assay #,0001
Application,GeoExploration
Method,Oxide3phase
Assay Duration (set),60s
Assay Duration (total actual),74.51s
Temperature (Detector),-27.0 C
Temperature (Ambient),44.33 C
Phase Count,3
Phases,"Phase 1(20s): 30.0kV, 10.8uA (Ti:25um/Al:300um)","Phase 2(20s): 50.0kV, 15.6uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(20s): 15.0kV, 8.15uA (No Filter)"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
12,MgO,0.0423,0.3197
13,Al2O3,20.5619,0.2214
14,SiO2,46.0454,0.2308
15,P,0.0089,0.0064
16,S,0.0,0.0054
17,Cl,0.0,0.0042
19,K2O,0.3448,0.0056
20,Ca,0.133,0.0037
22,Ti,1.3884,0.0054
23,V,0.0552,0.007
24,Cr,0.0638,0.0044
25,Mn,0.0305,0.002
26,Fe,15.4489,0.0243
27,Co,0.0439,0.0044
28,Ni,0.028,0.0013
29,Cu,0.0338,0.001
30,Zn,0.0027,0.0004
31,Ga,0.0022,0.0004
33,As,0.0008,0.0004
34,Se,0.0002,0.0002
37,Rb,0.003,0.0003
38,Sr,0.0033,0.0003
39,Y,0.0019,0.0002
40,Zr,0.0119,0.0002
41,Nb,0.002,0.0002
42,Mo,0.009,0.0009
46,Pd,0.0,0.0005
48,Cd,0.0007,0.0004
49,In,0.0017,0.0001
50,Sn,0.0,0.0015
51,Sb,0.0002,0.0015
52,Te,0.0002,0.0
56,Ba,0.0206,0.0037
57,La,0.0074,0.0061
58,Ce,0.0121,0.007
72,Hf,0.0002,0.0001
73,Ta,0.0013,0.0033
74,W,0.0,0.0013
78,Pt,0.0,0.0009
80,Hg,0.0006,0.0007
81,Tl,0.0,0.0007
82,Pb,0.0016,0.0007
83,Bi,0.0009,0.0008
90,Th,0.0005,0.0
92,U,0.0002,0.0002
 
 
SPECTRA:
eV Channel Start,-0.19959837198257446,-0.3393805921077728,0.061651282012462616
eV per Channel,19.964866638183594,19.964866638183594,19.964866638183594
 
Energy (eV),Counts (Phase 1),Counts (Phase 2),Counts (Phase 3)
-0.19959837198257446,0,0,0
19.76526826620102,0,0,0
39.73013490438461,0,0,0
59.69500154256821,0,0,0
79.6598681807518,0,0,0
99.6247348189354,0,0,0
119.58960145711899,0,2,0
139.55446809530258,0,0,0
159.51933473348618,0,0,0
179.48420137166977,0,0,0
199.44906800985336,0,0,0
219.41393464803696,0,0,0
239.37880128622055,0,1,0
259.34366792440414,0,3,0
279.30853456258774,0,1,1
299.27340120077133,5,11,5
319.2382678389549,101,125,118
339.2031344771385,695,720,720
359.1680011153221,2575,2608,2521
379.1328677535057,4780,4911,4788
399.0977343916893,4882,4958,4668
419.0626010298729,2529,2687,2544
439.0274676680565,788,776,710
458.9923343062401,133,132,140
478.9572009444237,19,12,8
498.92206758260727,2,6,0
518.8869342207909,0,2,0
538.8518008589745,0,0,0
558.816667497158,0,0,1
578.7815341353416,52,133,20
598.7464007735252,52,166,15
618.7112674117088,45,138,15
638.6761340498924,48,154,14
658.641000688076,48,128,19
678.6058673262596,60,143,15
698.5707339644432,44,152,18
718.5356006026268,38,140,14
738.5004672408104,52,123,20
758.465333878994,48,156,19
778.4302005171776,45,125,17
798.3950671553612,45,142,14
818.3599337935448,44,118,19
838.3248004317284,51,150,22
858.289667069912,41,125,28
878.2545337080956,52,142,29
898.2194003462791,40,157,38
918.1842669844627,46,140,40
938.1491336226463,48,139,53
958.1140002608299,43,123,53
978.0788668990135,37,150,63
998.0437335371971,44,134,39
1018.0086001753807,41,130,28
1037.9734668135643,48,131,32
1057.938333451748,33,126,49
1077.9032000899315,39,158,40
1097.868066728115,37,127,37
1117.8329333662987,38,125,37
1137.7978000044823,39,123,39
1157.7626666426659,61,113,27
1177.7275332808495,46,127,40
1197.692399919033,43,101,52
1217.6572665572166,27,114,37
1237.6221331954002,43,116,40
1257.5869998335838,38,113,53
1277.5518664717674,40,100,36
1297.516733109951,42,116,44
1317.4815997481346,40,120,29
1337.4464663863182,42,125,31
1357.4113330245018,40,113,49
1377.3761996626854,35,94,68
1397.341066300869,43,117,201
1417.3059329390526,41,108,525
1437.2707995772362,53,127,1108
1457.2356662154198,61,151,1972
1477.2005328536034,75,141,2226
1497.165399491787,68,107,2054
1517.1302661299706,59,123,1459
1537.0951327681541,57,99,763
1557.0599994063377,36,105,365
1577.0248660445213,47,113,208
1596.989732682705,43,117,114
1616.9545993208885,26,119,183
1636.919465959072,42,98,478
1656.8843325972557,47,109,1376
1676.8491992354393,39,126,3591
1696.814065873623,81,122,6995
1716.7789325118065,115,145,10402
1736.74379914999,139,152,11528
1756.7086657881737,123,135,9920
1776.6735324263573,66,126,6497
1796.6383990645409,52,117,3468
1816.6032657027245,43,110,1656
1836.568132340908,46,112,835
1856.5329989790916,37,117,504
1876.4978656172752,30,124,263
1896.4627322554588,39,121,145
1916.4275988936424,31,113,115
1936.392465531826,21,106,84
1956.3573321700096,25,117,70
1976.3221988081932,27,97,70
1996.2870654463768,25,117,83
2016.2519320845604,25,127,79
2036.216798722744,25,109,79
2056.1816653609276,25,105,61
2076.146531999111,27,105,58
2096.1113986372948,37,100,82
2116.0762652754784,26,101,62
2136.041131913662,19,117,57
2156.0059985518456,29,117,67
2175.970865190029,29,95,64
2195.9357318282127,24,110,61
2215.9005984663963,21,107,75
2235.86546510458,22,120,80
2255.8303317427635,19,109,128
2275.795198380947,21,113,169
2295.7600650191307,37,102,194
2315.7249316573143,13,105,220
2335.689798295498,10,98,198
2355.6546649336815,23,117,198
2375.619531571865,24,95,190
2395.5843982100487,22,100,148
2415.5492648482323,17,103,136
2435.514131486416,19,115,129
2455.4789981245995,21,104,139
2475.443864762783,13,102,103
2495.4087314009666,17,96,129
2515.3735980391502,15,91,134
2535.338464677334,21,106,158
2555.3033313155174,18,100,188
2575.268197953701,24,97,295
2595.2330645918846,20,88,456
2615.197931230068,18,110,763
2635.162797868252,16,131,1246
2655.1276645064354,25,91,1881
2675.092531144619,26,117,2622
2695.0573977828026,19,84,2832
2715.022264420986,18,86,2605
2734.9871310591698,23,98,2013
2754.9519976973534,20,87,1548
2774.916864335537,25,89,1271
2794.8817309737206,22,107,1332
2814.846597611904,22,93,1549
2834.8114642500877,18,82,1783
2854.7763308882713,25,86,1653
2874.741197526455,15,87,1522
2894.7060641646385,28,86,1416
2914.670930802822,40,99,1512
2934.6357974410057,39,89,1563
