Instrument,800N8573
Date,2023/02/23
Time,12:47:14
Assay #,0001
Application,Geo
Method,Geo
Assay Duration (set),30s
Assay Duration (total actual),42.65s
Phase Count,3
Phases,"Phase 1(10s): 30.0kV, 40.0uA (Ti:25um/Al:300um)","Phase 2(10s): 50.0kV, 25.0uA (Cu:75um/Ti:25um/Al:200um)","Phase 3(10s): 15.0kV, 32.5uA (No Filter)"
eV Channel Start,0.21256723999977112,0.10640470683574677,0.46022316813468933
eV per Channel,19.983224868774414,19.983224868774414,19.983224868774414
Detector Temperature,{'-27.5°C'}
Ambient Temperature,"{""51.33°C')""}"
 
 
RESULTS:
Z,Compound,Concentration(%),Error(1SD)
2917.763398081064,69,58,799
2937.7466229498386,102,53,1028
2957.729847818613,104,52,1033
2977.7130726873875,86,53,948
2997.696297556162,72,47,732
3017.6795224249363,46,47,472
3037.6627472937107,41,53,339
3057.645972162485,35,51,185
3077.6291970312595,31,55,135
3097.612421900034,33,48,131
3117.5956467688084,41,35,151
3137.578871637583,38,49,166
3157.562096506357,45,50,238
3177.5453213751316,55,52,213
3197.528546243906,72,60,261
3217.5117711126804,88,63,265
3237.494995981455,148,58,333
3257.4782208502293,183,115,399
3277.4614457190037,195,122,436
3297.444670587778,226,128,499
3317.4278954565525,189,122,469
3337.411120325327,143,84,436
3357.3943451941013,103,72,373
3377.3775700628757,60,47,344
3397.36079493165,56,56,325
3417.3440198004246,82,56,320
3437.327244669199,88,63,374
3457.3104695379734,114,80,398
3477.293694406748,148,101,431
3497.2769192755222,142,90,453
3517.2601441442966,154,91,462
3537.243369013071,140,96,472
3557.2265938818455,129,63,506
3577.20981875062,135,85,576
3597.1930436193943,179,75,619
3617.1762684881687,179,106,736
3637.159493356943,272,100,820
3657.1427182257175,273,134,877
3677.125943094492,314,132,930
3697.1091679632664,275,116,899
3717.092392832041,192,94,772
3737.075617700815,128,77,658
3757.0588425695896,87,69,547
3777.042067438364,68,64,546
3797.0252923071384,54,41,436
3817.008517175913,33,50,442
3836.9917420446873,40,42,480
3856.9749669134617,43,42,439
3876.958191782236,49,37,459
3896.9414166510105,45,48,442
3916.924641519785,45,39,435
3936.9078663885593,39,55,441
3956.8910912573338,44,32,419
3976.874316126108,56,48,397
3996.8575409948826,45,38,438
4016.840765863657,43,24,446
4036.8239907324314,47,44,430
4056.807215601206,30,35,418
4076.7904404699802,62,43,364
4096.773665338755,44,27,387
4116.756890207529,54,44,379
4136.7401150763035,60,46,379
4156.723339945078,75,42,401
4176.706564813852,79,42,377
4196.689789682627,73,54,376
4216.673014551401,78,49,377
4236.656239420176,66,45,343
4256.63946428895,59,49,334
4276.622689157724,55,30,289
4296.605914026499,54,45,287
4316.589138895273,50,39,248
4336.572363764048,47,46,259
4356.555588632822,48,44,243
4376.538813501596,43,32,227
4396.522038370371,46,41,234
4416.505263239145,48,40,225
4436.48848810792,48,35,234
4456.471712976694,40,37,221
4476.4549378454685,55,40,242
4496.438162714243,56,41,265
4516.421387583017,73,57,250
4536.404612451792,96,45,269
4556.387837320566,115,45,298
4576.371062189341,181,83,397
4596.354287058115,239,104,389
4616.337511926889,314,117,540
4636.320736795664,346,115,560
4656.303961664438,409,132,617
4676.287186533213,382,118,623
4696.270411401987,312,95,521
4716.2536362707615,228,89,357
4736.236861139536,173,72,357
4756.22008600831,125,52,270
4776.203310877085,91,46,256
4796.186535745859,56,42,222
4816.169760614634,66,45,213
4836.152985483408,49,38,230
4856.136210352182,65,47,249
4876.119435220957,70,34,263
4896.102660089731,83,45,302
4916.085884958506,80,57,352
4936.06910982728,95,69,354
4956.0523346960545,125,56,386
4976.035559564829,101,62,367
4996.018784433603,97,60,367
5016.002009302378,96,53,338
5035.985234171152,78,35,301
5055.9684590399265,85,44,291
5075.951683908701,105,56,286
5095.934908777475,96,44,317
5115.91813364625,109,53,319
5135.901358515024,111,50,413
5155.884583383799,113,44,401
5175.867808252573,170,67,457
5195.851033121347,220,81,567
5215.834257990122,306,95,686
5235.817482858896,496,137,974
5255.800707727671,927,238,1796
5275.783932596445,1887,499,3676
5295.7671574652195,4116,1068,7616
5315.750382333994,7978,2086,15061
5335.733607202768,14337,3910,26778
5355.716832071543,22652,6171,43007
5375.700056940317,31274,8677,60679
5395.683281809092,38356,10565,74244
5415.666506677866,40854,11611,80288
5435.64973154664,38133,11053,76646
5455.632956415415,31559,9134,63555
5475.616181284189,22475,6403,46177
5495.599406152964,14110,4138,29754
5515.582631021738,7875,2412,17093
5535.5658558905125,4023,1178,9019
5555.549080759287,1991,535,4592
5575.532305628061,941,268,2457
5595.515530496836,516,133,1500
5615.49875536561,310,79,974
5635.4819802343845,282,84,769
5655.465205103159,227,72,675
5675.448429971933,246,95,580
5695.431654840708,241,63,564
5715.414879709482,251,88,577
5735.398104578257,256,92,683
5755.381329447031,333,128,755
5775.364554315805,534,164,1017
5795.34777918458,875,248,1494
5815.331004053354,1399,389,2363
5835.314228922129,2255,663,3891
5855.297453790903,3461,971,5695
5875.2806786596775,4843,1444,7998
5895.263903528452,6301,1818,10555
5915.247128397226,7369,2073,12580
5935.230353266001,7767,2243,13735
5955.213578134775,7586,2334,13520
5975.19680300355,6722,2003,11714
5995.180027872324,5027,1517,9494
6015.163252741098,3568,1119,6798
6035.146477609873,2210,688,4496
6055.129702478647,1416,421,2628
6075.112927347422,819,205,1612
6095.096152216196,444,126,1069
6115.0793770849705,340,84,685
6135.062601953745,297,98,601
6155.045826822519,271,75,569
6175.029051691294,383,107,605
6195.012276560068,519,147,784
6214.9955014288425,905,238,1200
6234.978726297617,1885,403,2283
6254.961951166391,3894,936,4546
6274.945176035166,7881,1916,9308
6294.92840090394,15569,3764,18366
6314.911625772715,27324,6795,32198
6334.894850641489,42795,10978,51184
6354.878075510263,59912,15503,73081
6374.861300379038,76458,19931,92505
6394.844525247812,85535,22386,104552
6414.827750116587,84254,22198,105148
6434.810974985361,75023,20046,94015
6454.7941998541355,59238,16044,76018
6474.77742472291,41644,11308,54070
6494.760649591684,26040,7200,35367
6514.743874460459,15140,4078,20777
6534.727099329233,7806,2095,11275
6554.710324198008,3890,967,5840
6574.693549066782,1958,480,3165
6594.676773935556,924,238,1804
6614.659998804331,576,130,1158
6634.643223673105,410,101,756
6654.62644854188,300,89,572
6674.609673410654,280,84,417
6694.5928982794285,223,58,421
6714.576123148203,210,63,338
6734.559348016977,200,61,375
6754.542572885752,230,62,367
6774.525797754526,201,63,412
6794.509022623301,245,74,416
6814.492247492075,296,80,466
6834.475472360849,337,110,509
6854.458697229624,410,137,624
6874.441922098398,522,154,805
6894.425146967173,797,218,1043
6914.408371835947,1352,353,1515
6934.391596704721,2176,580,2389
6954.374821573496,3409,877,3728
6974.35804644227,5348,1377,5832
