Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/11/17,15:56:16,GeoExploration,Oxide3phase,32.5s,0,0
0002,800C5780,2023/11/17,15:57:02,GeoExploration,Oxide3phase,12.51s,0,0
