Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:47:45,Spectrometer Mode,,5.59s,0,0
0002,800C5780,2023/07/21,16:47:53,Spectrometer Mode,,5.39s,0,0
0003,800C5780,2023/07/21,16:48:03,Spectrometer Mode,,7.85s,0,0
