Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:10:06,Spectrometer Mode,,3.27s,0,0
0002,800C5780,2023/07/21,16:10:12,Spectrometer Mode,,4.2s,0,0
