Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,900G11501,2023/05/30,10:57:42,Spectrometer Mode,,30.72s,0,0
0002,900G11501,2023/05/30,10:59:49,Spectrometer Mode,,30.59s,0,0
