Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Au,Au Err
0001,800N5760,2023/05/29,13:36:46,GeoExploration,Oxide3phase,71.99s,8316.0,2871.0,0.0,629.0,1000000.0,3731.0,10.0,48.0,204.0,32.0,0.0,67.0,153.0,30.0,90.0,19.0,0.0,20.0,0.0,20.0,120.0,21.0,0.0,8.0,0.0,17.0,1.0,3.0,0.0,6.0,12.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,3.0,16.0,7.0,0.0,3.0,5.0,5.0,0.0,2.0,5.0,17.0,8.0,26.0,52.0,41.0,35.0,20.0,0.0,0.0,19.0,15.0,0.0,13.0,0.0,6.0,5.0,6.0,3.0,3.0,0.0,4.0,1.0,3.0,9.0,3.0,1.0,1.0,,
0002,800N5760,2023/05/29,13:37:45,GeoExploration,Oxide3phase,56.29s,0.0,7673.0,0.0,1707.0,1000000.0,9583.0,0.0,124.0,187.0,90.0,0.0,173.0,62.0,81.0,160.0,52.0,0.0,53.0,8.0,19.0,131.0,22.0,0.0,9.0,0.0,17.0,0.0,3.0,0.0,7.0,13.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,4.0,21.0,7.0,0.0,3.0,5.0,5.0,0.0,2.0,45.0,16.0,63.0,26.0,16.0,41.0,0.0,20.0,0.0,0.0,10.0,16.0,0.0,13.0,0.0,6.0,10.0,6.0,2.0,3.0,0.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,19.0,9.0
