Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Pd,Pd Err,Au,Au Err
0001,800N8573,2023/05/25,14:33:51,GeoExploration,Oxide3phase,44.57s,2745.0,3375.0,184777.0,2872.0,425304.0,2949.0,152.0,78.0,0.0,65.0,0.0,113.0,3142.0,84.0,1261.0,48.0,12695.0,73.0,77.0,79.0,642.0,60.0,283.0,30.0,158050.0,348.0,0.0,54.0,352.0,18.0,345.0,14.0,27.0,5.0,28.0,6.0,11.0,5.0,3.0,2.0,36.0,4.0,28.0,3.0,18.0,3.0,156.0,4.0,16.0,3.0,0.0,10.0,1.0,5.0,0.0,19.0,11.0,19.0,353.0,53.0,147.0,84.0,207.0,94.0,1.0,3.0,0.0,37.0,5.0,17.0,17.0,11.0,3.0,7.0,3.0,8.0,19.0,8.0,6.0,8.0,5.0,6.0,13.0,5.0,,,,
0002,800N8573,2023/05/25,14:34:37,GeoExploration,Oxide3phase,43.97s,3980.0,3628.0,184646.0,2884.0,430553.0,2971.0,94.0,78.0,0.0,65.0,0.0,113.0,2974.0,85.0,1156.0,49.0,12887.0,73.0,142.0,79.0,585.0,57.0,326.0,30.0,157517.0,348.0,0.0,52.0,377.0,18.0,316.0,13.0,23.0,5.0,19.0,5.0,11.0,4.0,5.0,2.0,32.0,3.0,26.0,3.0,15.0,3.0,151.0,4.0,21.0,3.0,0.0,10.0,9.0,5.0,0.0,18.0,19.0,18.0,176.0,51.0,97.0,82.0,199.0,91.0,0.0,3.0,12.0,40.0,31.0,18.0,,,2.0,8.0,2.0,9.0,10.0,8.0,3.0,8.0,1.0,6.0,9.0,5.0,0.0,7.0,0.0,5.0
