Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:58:22,Spectrometer Mode,,3.29s,0,0
0002,800C5780,2023/07/21,16:58:28,Spectrometer Mode,,5.15s,0,0
