Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:27:05,Spectrometer Mode,,4.65s,0,0
0002,800C5780,2023/07/21,16:27:10,Spectrometer Mode,,4.65s,0,0
