Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/24,10:01:10,Spectrometer Mode,,3.07s,0,0
0002,800C5780,2023/07/24,10:01:21,Spectrometer Mode,,3.12s,0,0
0003,800C5780,2023/07/24,10:03:09,Spectrometer Mode,,3.01s,0,0
