Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:56:53,Spectrometer Mode,,4.44s,0,0
0002,800C5780,2023/07/21,16:57:01,Spectrometer Mode,,6.19s,0,0
0003,800C5780,2023/07/21,16:57:25,Spectrometer Mode,,5.99s,0,0
