Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/24,09:42:02,Spectrometer Mode,,3.06s,0,0
0002,800C5780,2023/07/24,09:46:51,Spectrometer Mode,,3.06s,0,0
