Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/27,12:05:26,Spectrometer Mode,,6.09s,0,0
0002,800C5780,2023/07/27,12:05:46,Spectrometer Mode,,6.08s,0,0
