Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/24,09:55:54,Spectrometer Mode,,3.03s,0,0
0002,800C5780,2023/07/24,09:56:44,Spectrometer Mode,,3.08s,0,0
