Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/27,12:23:44,Spectrometer Mode,,6.05s,0,0
0002,800C5780,2023/07/27,12:23:55,Spectrometer Mode,,6.06s,0,0
