Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:23:54,Spectrometer Mode,,3.37s,0,0
0002,800C5780,2023/07/21,16:24:00,Spectrometer Mode,,4.39s,0,0
