Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/27,12:01:54,Spectrometer Mode,,6.15s,0,0
0002,800C5780,2023/07/27,12:02:13,Spectrometer Mode,,5.99s,0,0
