Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/28,16:16:57,Spectrometer Mode,,16.08s,0,0
0002,800C5780,2023/07/28,16:17:32,Spectrometer Mode,,16.0s,0,0
