Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/11/07,10:05:31,Spectrometer Mode,,31.21s,0,0
0002,800C5780,2023/11/07,10:05:40,Spectrometer Mode,,6.79s,0,0
