Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:04:56,Spectrometer Mode,,9.35s,0,0
0002,800C5780,2023/07/21,16:05:06,Spectrometer Mode,,7.37s,0,0
