Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,900G6277,2023/06/29,13:39:31,Spectrometer Mode,,13.09s,0,0
0002,900G6277,2023/06/29,13:39:37,Spectrometer Mode,,1.33s,0,0
0003,900G6277,2023/06/29,13:39:38,Spectrometer Mode,,2.29s,0,0
