Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800N5760,2023/06/30,11:49:27,GeoExploration,Oxide3phase,2.73s,0,0
0002,800N5760,2023/06/30,11:49:28,GeoExploration,Oxide3phase,3.66s,0,0
