Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),No Results,No Results Err
0001,800C5780,2023/07/21,16:27:51,Spectrometer Mode,,3.62s,0,0
0002,800C5780,2023/07/21,16:28:00,Spectrometer Mode,,5.39s,0,0
