Assay #,Serial #,Date,Time,Application,Method,Duration (Actual),MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Pd,Pd Err
0001,800N8573,2023/05/25,13:38:38,GeoExploration,Oxide3phase,43.36s,0.1773,0.3266,18.2834,0.2855,42.3564,0.2939,0.0243,0.008,0.0087,0.0067,0.0,0.0112,0.324,0.0085,0.1228,0.0049,1.2802,0.0073,0.0086,0.008,0.0704,0.0057,0.0241,0.003,15.8541,0.0349,0.0,0.0053,0.0328,0.0018,0.0311,0.0013,0.0023,0.0005,0.001,0.0005,0.001,0.0005,0.0003,0.0002,0.003,0.0003,0.003,0.0004,0.0019,0.0003,0.0156,0.0004,0.0019,0.0003,0.0,0.001,0.0,0.0006,0.0004,0.0005,0.0,0.0019,0.001,0.0019,0.0262,0.0052,0.011,0.0084,0.0211,0.0096,0.0,0.0003,0.0043,0.0042,0.0,0.0018,0.0012,0.0005,0.0,0.0008,0.0008,0.0008,0.0012,0.0008,0.0009,0.0009,0.0016,0.0006,0.0005,0.0004,,
0002,800N8573,2023/05/25,13:39:23,GeoExploration,Oxide3phase,43.59s,0.3021,0.3714,18.1599,0.2864,42.3603,0.2944,0.0014,0.0078,0.0028,0.0066,0.0,0.0113,0.3239,0.0085,0.1162,0.0048,1.2696,0.0073,0.0168,0.0083,0.0523,0.0058,0.0287,0.0031,15.7853,0.0348,0.0,0.0053,0.0376,0.0019,0.0337,0.0014,0.0025,0.0005,0.0024,0.0006,0.0014,0.0005,0.0001,0.0002,0.0033,0.0003,0.0028,0.0003,0.0019,0.0003,0.0159,0.0004,0.0014,0.0003,0.0,0.001,0.0,0.0006,0.0,0.0005,0.0,0.0019,0.0015,0.0019,0.0263,0.0053,0.0216,0.0085,0.0131,0.0096,0.0,0.0003,0.0022,0.0038,0.003,0.0019,0.0,0.0005,0.0,0.0007,0.0002,0.0008,0.0028,0.0009,0.0012,0.0008,0.0002,0.0006,0.0011,0.0005,0.0,0.0007
